name,url,number,category,position,person_name
0G,http://0g.ai, +1 416 978 6055,Board,CEO,Michael Heinrich
0x Labs,http://www.0x.org, +1 650 838 4434,Board,Co-CEO,Will Warren
01.AI,http://01.ai, +86 571 8376 8429,Board,CEO,Kai-Fu Lee
01net,http://www.01net.com, +33 171 191 191,N1,COO,Vincent Bouvier
1&1,http://www.1und1-drillisch.de, +49 6181 4123,Board,CEO,Ralph Dommermuth
1&1 Telecommunication,http://www.1und1.de/Datenschutz, +49 721 9600,Board,CEO,Alessandro Nava
1-800 Contacts,http://www.1800contacts.com, +1 801 924 9800,N1,CFO,Brett Gappmayer
1&1 Internet,http://www.1und1.de, +49 721 9600,Board,CEO,Ralph Dommermuth
1&1 Versatel,http://www.versatel.de/business, +49 308 188 1000,Board,CEO,Frank Rosenberger
1+1 Media,http://1plus1.ua, +380 444 900 101,Board,CEO,Yaroslav Pakholchuk
1/ST,http://www.1st.com, +1 226 918 7060,Board,Chairman & President,Belinda Stronach
1-800-Flowers.com,http://www.1800flowers.com, +1 516 237 6000,Board,Chairman & CEO,James McCann
1-800-Got-Junk?,http://1800gotjunk.com, +1 800 468 5865,Board,CEO,Brian Scudamore
1-Source Electronic Components,http://www.1sourcecomponents.com, +1 631 642 2479,Board,CEO,Richard Lodato
1-800-Radiator,http://1800radiator.com, +1 800 723 4286,Board,CEO,David Gruner
10 Thousand Design,http://www.10thousanddesign.com, +1 612 305 6002,Board,Managing Director,Kristin Woxland
100 Thieves,http://100thieves.com, +1 206 389 4586,Board,CEO,Matthew Haag
1001pneus,http://www.1001pneus.fr, +33 892 494 900,Board,Managing Director,Marc Villemur
1001 Vies Habitat,http://www.1001vieshabitat.fr, +33 146 912 525,Board,CEO,Philippe Bry
1010data,http://www.1010data.com, +1 212 405 1010,Board,Chairman & CEO,Nomi Bergman
1047 Games,http://www.splitgate.com, +1 775 589 4907,Board,CEO,Ian Proulx
1060 Research,http://www.1060research.com, +1 862 772 1060,Board,CEO,Peter Rodgers
10D,http://10d.vc, +972 733 229 462,Board,Co-Managing Partner,Rotem Eldar
10X Genomics,http://www.10xgenomics.com, +1 925 401 730,Board,CEO & Director,Serge Saxonov
10Pearls,http://10pearls.com, +1 703 935 1919,Board,CEO,Imran Aftab
1105 Media,http://www.1105media.com, +1 818 814 5200,Board,CEO,Rajeev Kapur
11880 Solutions,http://www.11880.com, +49 898 9540,Board,CEO,Christian Maar
11:11 Systems,http://www.1111systems.com, +1 267 262 8429,Board,CEO & Director,Mike Robinson
10xbanking,http://www.10xbanking.com, +44 203 912 0160,Board,Chairman & CEO,Antony Jenkins
111,http://www.111.com.cn, +86 212 053 6666,Board,CEO,Junling Liu
11FS,http://11fs.com, +44 203 322 1743,Board,CEO,David Brear
13News Now,http://www.13newsnow.com, +1 757 625 1313,N1,Creative,J...
160over90,http://www.160over90.com/, +1 215 732 3200,Board,President,Ed Horne
12NewsNow,http://www.12newsnow.com, +1 409 833 7512,N1,Digital Content,J...
15Five,http://www.15five.com, +1 415 967 3483,Board,CEO,Jim Morrisroe
17Capital,http://www.17capital.com, +44 207 493 2462,Board,Managing Partner,Robert de Corainville
17zuoye,http://www.17zuoye.com, +86 400 160 1717,Board,CEO & Chairman,Chang Liu
174 Power Global,http://174powerglobal.com, +1 833 461 7474,Board,CEO,Shane Kim
180 Amsterdam,http://www.180amsterdam.com, +31 204 222 180,Board,CEO,Sander Volten
17Live,http://17.live, +886 227 208 688,Board,Chairman & CEO,Joseph Phua
180 Global,http://www.180la.com, +1 310 382 1400,Board,CEO,Sander Volten
180 Degree Capital,http://www.180degreecapital.com, +1 973 746 4500,Board,Chairman & CEO,Kevin Rendino
1822direkt,http://www.1822direkt.de, +49 69 941700,Board,CEO,Wolfgang Degenkolb
180 Medical,http://www.180medical.com, +1 877 688 2729,Board,CEO,Seth Segel
180 Life Sciences,http://www.180lifesciences.com, +1 678 570 6791,Board,Interim CEO & Director,Blair Jordan
1847 Holdings,http://1847holdings.com, +1 212 417 9800,Board,CEO & Chairman,Ellery Roberts
1847Financial,http://1847financial.com, +1 855 598 9370,Board,President,Heather Nagengast
1859 Inc,http://www.1859.ai, +1 562 522 2882,Board,CEO,Sanket Agrawal
1916 Company,http://www.the1916company.com, +1 954 602 9251,Board,Global CEO,Justin Reis
1901 Group,http://www.1901group.com, +1 703 773 6240,Board,President,James Christopher
1970 Group,http://www.1970group.com, +1 949 424 2906,Board,Chairman & CEO,Stephen Roseman
1E,http://www.1e.com, +44 208 326 3880,Board,CEO,Mark Banfield
1933 Industries,http://www.1933industries.com, +1 604 674 4756,Board,CEO & Chairman,Paul Rosen
1919 Investment Counsel,http://www.1919ic.com, +1 410 539 1050,Board,CEO,Harry O'Mealia
1Concier,http://www.1concier.com, +1 305 805 8085,Board,CEO,Tony Smith
1Global,http://www.1global.com, +61 128 999 4206,Board,CEO,Hakan Koç
1E Therapeutics,http://www.1etx.com, +1 781 786 2405,Board,Founder,Marius Nacht
1inch Network,http://1inch.io, +1 602 268 1699,Board,Co-founder,Sergej Kunz
1HQ Brand Agency,http://www.1hqglobal.com, +44 175 362 4242,Board,CEO,Mark Artus
1KMXC,http://www.1kmxc.com, +86 400 673 0088,Board,CEO,Hengzhi Shi
1Rivet,http://www.1rivet.com, +1 703 738 9078,Board,CEO,Eric Middleton
1Komma5°,http://www.1komma5grad.com, +49 172 651 5896,Board,CEO,Philipp Schroeder
1Password,http://www.1password.com, +1 416 546 1397,Board,Chairman & CEO,Jeff Shiner
1Spatial,http://www.1spatial.com, +44 122 342 0414,Board,CEO & Director,Claire Milverton
1NCE,http://www.1nce.com, +49 151 5792 4472,Board,CEO,Alexander Sator
1st Bank Yuma,http://www.1stbankyuma.com, +1 928 7833334,Board,CEO,Wayne Gale
1st Capital Bank,http://www.1stcapital.bank, +1 831 264 4000,Board,CEO,Samuel Jimenez
1st Phorm,http://www.1stphorm.com, +1 800 409 9732,N1,COO,Greig Debow
1st Colonial Bancorp,http://www.1stcolonial.com, +1 856 858 8402,Board,CEO,Robert White
1st Century Bank,http://www.1cbank.com, +1 310 270 9500,Board,CEO,Jason Dinapoli
1st Source Bank,http://www.1stsource.com/about, +1 574 235 2254,Board,CEO & Director,Andrea Short
1st Source Corporation,http://www.1stsource.com, +1 574 235 2000,Board,Chairman & CEO,Christopher Murphy III
1st Security Bank,http://www.fsbwa.com, +1 425 697 8086,Board,CEO & Director,Joseph Adams
1stWest Mergers and Acquisitions,http://1stwestmergersandacquisitions.com, +1 303 551 0593,Board,CEO,Ted Rieple
1stdibs,http://www.1stdibs.com, +1 212 627 3927,Board,CEO,David Rosenblatt
1WorldSync,http://www.1worldsync.com, +1 937 610 4223,Board,CEO,Steve Sivitter
2 Sisters Food,http://www.2sfg.com, +44 870 458 9700,Board,President,Ranjit Singh
1X Technologies,http://www.1x.tech, +47 9324 0225,Board,CEO,Bernt Bornich
2-10 Home Buyers Warranty,http://www.2-10.com, +1 720 531 6717,Board,CEO,Ryan O'Hara
1upHealth,http://www.1up.health, +1 888 344 7187,N1,CFO,Mark Wolf
20 minutes,http://www.20minutes.fr, +33 153 266 565,Board,President,Frederic Daruty
20Med Therapeutics,http://www.20medtx.com, +31 534 899 939,Board,CEO,Michiel Lodder
20th Television,http://www.20thtv.com, +1 310 369 6000,Board,President,Karey Burke
2.718 Marketing,http://www.2718marketing.com, +1 312 661 1050,Board,CEO,Liz Brohan
20 Microns,http://www.20microns.com, +91 265 305 7000,Board,CEO,Atil Parikh
2112,http://2112comms.com, +44 206 806 571,Board,CEO,Phil Hawkins
20th Television Animation,http://thewaltdisneycompany.com/disney-general-entertainment-content-and-disney-television-studios-unveil-the-infinity-on-disney-stage-1/, +1 818 460 6360,Board,Executive Vice President,Marci Proietto
215 McCann,http://215mccann.com, +1 415 262 3500,N1,Business,P...
21c Museum Hotels,http://www.21cmuseumhotels.com, +1 502 217 6300,Board,CEO & COO,Sarah Robbins
21.co,http://www.21.co, +1 415 580 2136,Board,CEO & Director,Hany Rashwan
22squared,http://www.22squared.com, +1 404 347 8700,Board,CEO,Erica Hoholick
21Seeds,http://21seeds.com, +1 415 254 7115,Board,CEO,Kat Hantas
22nd Century Group,http://www.xxiicentury.com, +1 716 270 1523,Board,CEO & Chairman,Larry Firestone
21sportsgroup,http://www.21sportsgroup.com, +49 621 400 7000,N1,CTO,F...
21st Real Estate,http://www.21re.de, +49 309 486 8314,Board,Managing Director,Anastasia Mashtakova
