name,url,number,category,position,person_name
A Brown,http://www.abrown.ph, +63 917 793 8785,Board,CEO,Robertino Pizarro
A & B Rail Services,http://www.abrail.com, +1 780 449 7699,Board,General Manager,Paul Leveridge
A Energi,http://www.aenergi.no, +47 3860 7000,Board,CEO,Steffen Syvertsen
A Plus Finance,http://aplusfinance.com, +33 140 080 340,Board,CEO,Fabrice Imbault
A Promotora,http://www.apromotora.cv, +238 260 8470,Board,CEO,Aldino dos Reis de Sousa
A&A Material,http://www.aa-material.co.jp, +81 455 035 760,Board,President,Toru Makino
A&K Energy,http://www.akenergy.com, +1 800 2285241,Board,CEO,Pattie Cagle
A&D,http://www.aandd.co.jp, +81 353 916 132,Board,President & Director,Yasunobu Morishima
A Vendre A Louer,http://www.avendrealouer.fr, +33 156 775677,Board,Managing Director,Stéphane Anfosso
A&L Goodbody,http://www.algoodbody.com, +353 1 649 2240,Board,Managing Partner,David Widger
A&T Bank,http://www.atbank.com.tr, +90 212 373 6200,Board,General Manager & Director,Wail Belgasem
A&T Leasing,http://www.atleasing.com.tr, +90 216 445 5701,Board,General Manager & Director,Moataz Tamer
A&W Restaurants,http://awrestaurants.com, +1 859 219 0019,Board,CEO & Chairman,Kevin Bazner
A&R Solar,http://www.a-rsolar.com, +1 206 707 9937,Board,CEO,Ernie Antin
A&O Hotels and Hostels,http://www.aohostels.com, +49 308 0947 5109,Board,CEO,Oliver Winter
A'Saffa Foods,http://www.asaffa.com, +968 2459 1800,Board,CEO,Mohamed Al Shanfari
A-Alpha Bio,http://www.aalphabio.com, +1 858 405 7116,Board,CEO & Director,David Younger
A-C Equipment Services,http://www.a-cequipment.com, +1 414 475 2554,Board,Managing Director,Bill Hankes
A+E Networks,http://www.aenetworks.com, +1 212 210 1400,Board,President & Chairman,Paul Buccieri
A+E Networks EMEA,http://www.aenetworks.com/contact, +44 207 824 9230,Board,Managing Director,Dean Possenniskie
A-Dec,http://www.a-dec.com, +1 503 538 7478,Board,CEO,Scott Parrish
A-Gas Australia,http://www.agas.com/au, +61 393 689 222,Board,Managing Director,Brett Ferguson
A-Gas Americas,http://www.agas.com/us, +1 419 867 8990,Board,President,Mike Armstrong
A-Cap Energy,http://www.acap.com.au, +61 892 209 850,Board,CEO,Andrew Tunks
A-Gas,http://www.agas.com, +44 127 537 6600,Board,CEO,Jack Govers
A-Gas Europe,http://www.agas.com/eu, +44 127 537 6600,Board,Managing Director,John Ormerod
A-lehdet,http://www.a-lehdet.fi, +358 975 961,Board,CEO,Heli Arantola
A-Lign,http://a-lign.com, +1 813 343 0770,Board,CEO,Scott Price
A-Gas South Africa,http://www.agas.com/za, +27 215 518 790,Board,Managing Director,Carte Lubbe
A-Insinöörit,http://www.ains.fi, +358 207 911 888,Board,CEO,Kari Kauniskangas
A-Living Services,http://www.agileliving.com.cn, +86 208 883 9888,Board,CEO & Director,Dalong Li
A-Seeds,http://www.a-seeds.co.jp, +81 263 315 882,N1,Development,T...
A-W Software,http://a-w.com, +49 640 420 510,Board,CEO,Peter Dixen
A-Sonic Aerospace,http://www.asonic-aerospace.com, +65 6226 2072,Board,CEO & Chairman,Janet Tan
A-Mark Precious Metals,http://www.amark.com, +1 310 319 0200,Board,CEO,Greg Roberts
A. Duda & Sons,http://www.duda.com, +1 407 365 2111,Board,CEO,Sammy Duda
A. E. Parnell,http://www.aeparnell.com, +1876 923 7561,Board,Managing Director,Kim Clarke
A. Lange & Sohne,http://www.alange-soehne.com, +49 3505 3440,Board,CEO,Wilhelm Schmid
A. Hartrodt,http://www.hartrodt.com, +49 402 3900,Board,CEO,Jan Van Tienhoven
A. Kayser Automotive Systems,http://www.kayser-automotive.com, +49 556 179 020,Board,CEO,Meinolf Lehmkul
A. Smith & Co. Productions,http://www.asmithco.com, +1 818 432 2900,Board,CEO,Caroline Baumgard
A. Panayides Contracting,http://www.apco.com.cy, +357 2266 3333,Board,President,Stavros Theodosiou
A. Soriano,http://www.anscor.com.ph, +63 2819 0251,Board,Chairman & CEO,Andres Soriano
A.D.Works,http://www.re-adworks.com, +81 352 517 642,Board,CEO,Hideo Tanaka
A. Stucki Company,http://www.stucki.com, +1 412 424 0560,Board,CEO,John O'Bryan
A.G. Barr,http://www.agbarr.co.uk, +44 123 685 2400,Board,CEO,Euan Sutherland
A.G. Spanos,http://www.agspanos.com, +1 209 478 7954,Board,Chairman & CEO,Dean Spanos
A.I.M. Mutual,http://www.aimmutual.com, +1 781 221 1600,Board,CEO,Dan Landers
A.F. Blakemore and Son,http://www.afblakemore.com, +44 190 236 6066,Board,CEO,Carol Welch
A.M. Best Company,http://www.ambest.com, +1 908 439 2200,Board,Chairman & CEO,Arthur Snyder
A.P. Moller Holding,http://www.apmoller.com, +45 6118 1020,Board,CEO,Robert Uggla
A.R.C Transit,http://www.arctransit.com, +1 910 344 0700,Board,CEO,Gary Winstead
A.P. Moller Capital,http://www.apmollercapital.com, +45 6163 2021,Board,CEO,Kim Fejfer
A.S. Watson Group,http://www.aswatson.com, +852 2606 8833,Board,CEO,Malina Ngai
A.O. Smith,http://www.aosmith.com, +1 414 359 4000,Board,CEO & Chairman,Kevin Wheeler
A.Y. McDonald,http://www.aymcdonald.com, +1 563 583 7311,Board,CEO,Robert McDonald
a.k.a. Brands,http://www.aka-brands.com, +1 310 626 0888,Board,CFO & Interim CEO,Ciarán Long
A1,http://www.a-1.com, +7 495 967 0000,Board,CEO,Alexander Fayn
A.Team,http://www.a.team, +1 917 887 3590,Board,CEO,Raphael Ouzan
Aéma Groupe,http://www.aemagroupe.fr, +33 141 274 825,Board,CEO,Adrien Couret
A1 Belarus,http://www.velcom.by, +375 296 000 544,Board,CEO,Helmut Duhs
A1 Digital,http://www.a1.digital, +43 506 644 5881,Board,CEO,Elisabetta Castiglioni
A1 Bulgaria,http://www.a1.bg, +359 2485 1420,Board,CEO,Alexander Dimitrov
A1 Croatia,http://www.a1.hr, +385 1469 1091,Board,CEO,Dejan Turk
A1 Industrial Trucks,http://a1industrialtrucks.co.uk, +44 191 229 0303,Board,Managing Director,Stuart Dawson
A1 Telekom Austria,http://www.a1.net, +43 506 640,Board,CEO,Marcus Grausam
A10 Networks,http://www.a10networks.com, +1 408 325 8668,Board,CEO,Dhrupad Trivedi
A10 Capital,http://a10capital.com, +1 208 577 5050,Board,CEO,Anuj Gupta
A1 Slovenia,http://www.a1.si, +386 4040 4040,Board,CEO,Dejan Turk
A1 Telekom Austria Group,http://www.a1.group, +43 506 640,Board,CEO,Alejandro Plater
A2 Biotherapeutics,http://www.a2bio.com, +1 805 491 1988,Board,CEO,James Robinson
A123 Systems,http://www.a123systems.com, +1 734 772 0300,N1,Automotive Sales,S...
A16z Crypto,http://a16zcrypto.com, +1 650 798 5800,Board,Managing Partner,Chris Dixon
A2B,http://www.a2baustralia.com, +61 293 329 222,Board,CEO,Nick Yap
A24 Films,http://www.a24films.com, +1 646 568 6015,Board,CEO,Sasha Lloyd
A2Dominion Housing Group,http://www.a2dominiongroup.co.uk, +44 208 825 1000,Board,CEO,Ian Wardle
A2Vip,http://www.a2vip.fr, +33 180 499 690,Board,CEO,Jean Levoir
a2 Milk,http://thea2milkcompany.com, +64 9972 9802,Board,CEO,David Bortolussi
A2Z Group,http://www.a2zgroup.co.in, +91 -124-430042,Board,Managing Director & CEO,Amit Mittal
A2i Systems,http://www.a2isystems.com, +45 2611 2085,Board,CEO,Frodi Hammer
A4Europe,http://a4e.eu, +32 27 93 09 11,Board,Acting Managing Director,Laurent Donceel
A360,http://www.a360inc.com, +1 813 466 1100,Board,CEO,Scott Brinkley
A360 Media,http://a360media.com, +1 212 545 4800,N1,Content,A...
A9.com,http://www.a9.com, +1 650 331 2600,N1,Advertising Finance,S...
a2a,http://www.a2a.eu, +39 303 5531,Board,CEO,Renato Mazzoncini
AA,http://www.aa.co.nz, +64 9966 8800,Board,CEO,Nadine Tereora
AA Insurance,http://www.aainsurance.co.nz, +64 9966 8071,Board,CEO,Michelle James
AAA Aktiengesellschaft Allgemeine Anlageverwaltung,http://www.aaa-ffm.de, +49 692 400 0811,Board,CEO,Sven Rothenberger
AA Metals,http://aametals.com, +1 407 377 0246,Board,CEO & Founder,Jack Cheng
AAA Auto,http://www.aaaauto.cz, +420 284 022 076,Board,CEO,Karolina Topolova
AAA Cooper Transportation,http://aaacooper.com, +1 334 793 2284,Board,President & COO,Charlie Prickett
AAA Life Insurance,http://www.aaalife.com, +1 734 779 2604,Board,CEO,Phil Walker
AaB,http://www.aabsport.dk, +45 9635 5900,Board,CEO,Thomas Bælum
AAA Northern California,http://mwg.aaa.com, +1 650 623 3200,Board,CEO,Marshall Doney
AAA Parking,http://aaaparking.com, +1 404 525 5959,Board,President,Kris Bowen
Aadhar Housing Finance,http://www.aadharhousing.com, +91 223 950 9900,Board,CEO,Rishi Anand
Aachener Bank,http://www.aachener-bank.de, +49 241 4620,Board,General Manager,Peter Jorias
