name,url,number,category,position,person_name
B&A,http://www.bna-inc.com, +1 703 821 0030,Board,CEO,Jonathan Evans
B&B Hotels,http://www.hotel-bb.com, +33 298 337 600,Board,CEO,Fabrice Collet
B & H Foto & Electronics,http://www.bhphotovideo.com, +1 212 239 7500,Board,President,Em Ar
B Communications,http://www.bcommunications.co.il, +972 3924 0000,Board,CEO & Director,Tomer Raved
B Capital Group,http://bcapgroup.com, +1 310 698 1270,Board,Co-CEO,Eduardo Saverin
B&C Speakers,http://www.bcspeakers.com, +39 556 5721,Board,CEO,Lorenzo Coppini
B&C Chemical,http://www.bcpharma.com, +86 213 789 5188,Board,CEO,Zhiwei Fu
B&B Italia,http://bebitalia.com, +39 3179 5111,Board,CEO,Demetrio Apolloni
B&C France,http://www.bcfrance.com, +33 145 000 202,Board,CEO,Olivier Cantie
B&C Holdings,http://bcgruppe.at/privatstiftung/, +43 153 1010,Board,Co-Managing Director,Markus Fürst
B&G Foods,http://www.bgfoods.com, +1 973 401 6500,Board,President & CEO,Kenneth Keller
B&M,http://www.bandmretail.com, +44 151 728 5400,Board,CEO,Alex Russo
B&H Worldwide,http://www.bhworldwide.com, +44 208 759 5544,Board,CEO,Stuart Allen
B&E Resources,http://berltd.com, +1 409 994 2653,Board,President,Jimmy Branch
B&L Pipeco Services,http://blpipeco.com, +1 281 955 3500,Board,CEO,Steve Tait
B&M France,http://bmstores.fr, +33 473 699 060,Board,Managing Director,Anthony Giron
B&Q,http://www.bandqcareers.com, +44 238 069 0000,Board,CEO,Graham Bell
B-next,http://www.b-next.com, +49 522 199 2800,Board,CEO,Wolfgang Fabisch
B-Reel,http://www.b-reel.com, +46 850 524 850,Board,CEO,Anders Wahlquist
B-Lot Company,http://en.b-lot.co.jp, +81 368 912 525,Board,President,Makoto Miyauchi
B-Reel Films,http://www.brf.co, +1 310 450 6666,Board,CEO,Pelle Nilsson
B. Braun APAC,http://www.bbraun.com.my, +60 4632 3100,Board,President,Chee Hong Lam
B-Stock Solutions,http://bstock.com, +1 866 993 6757,Board,CEO,Marcus Shen
B. Braun Argentina,http://www.bbraun.com.ar, +54 114 954 2030,N1,Ostomy & Wound care,P...
B. Braun America,http://www.bbraunusa.com, +1 800 523 9676,Board,CEO,Rob Albert
B. Braun Benelux,http://www.bbraun.nl, +31 412 672 411,Board,Managing Director,Phillip Orlik
B. Braun Bulgaria,http://www.bbraun.bg, +359 2807 6740,Board,General Manager,Peter Horn
B. Braun Australia,http://www.bbraun.com.au, +61 296 290 200,Board,CEO & Aesculap,Christian Gabriel
B. Braun Avitum,http://www.bbraun.com, +49 566171-0,Board,General Manager,Markus Strotmann
B. Braun Brazil,http://www.bbraun.com.br, +55 313 281 4788,Board,CEO,Philipp Braun
B. Braun Denmark,http://www.bbraun.dk, +45 3331 3141,N1,Hospital Care,S...
B. Braun Czech Republic,http://www.bbraun.cz, +420 271 091 111,Board,CEO,Jiri Lukes
B. Braun Croatia,http://www.bbraun.hr, +385 1778 9444,Board,CEO & Director,Ivan Dzepina
B. Braun France,http://www.bbraun.fr, +33 141 105 300,N1,CFO,Christophe Peressoni
B. Braun Finland,http://www.bbraun.fi, +358 201 772 700,Board,Managing Director,Mia Eklund
B. Braun Hungary,http://www.bbraun.com/en/about-us/contact/locations/bbraun-in-hungary.html, +36 1346 9700,Board,CEO,Peter Horn
B. Braun Ireland,http://www.bbraun.ie, +353 709 1800,Board,CEO & CFO,Paul Mullaly
B. Braun India,http://www.bbraun.co.in, +91 226 668 2222,Board,Managing Director,Aditya Banerjee
B. Braun Italy,http://www.bbraun.it, +39 266 2181,Board,Managing Director,Klaus Pannes
B. Braun Indonesia,http://www.bbraun.co.id, +62 215 290 7177,Board,Managing Director,Rainer Ruppel
B. Braun Melsungen,http://www.bbraun.com, +49 566 1710,Board,CEO,Anna Maria Braun
B. Braun Norway,http://www.bbraun.no, +47 3335 1800,Board,Managing Director,Michael Schock
B. Braun Medical South Africa,http://www.bbraun.co.za, +27 102 223 000,Board,Managing Director,Jens Papperitz
B. Braun Medical,http://www.bbraun.com/en/company/contact/locations/bbraun-in-usa.html, +1 610 691 5400,Board,CEO & Chairman,Jean Dubacher
B. Braun Pakistan,http://www.bbraun.pk, +92 213 581 0230,Board,CEO,Ali Jaleel
B. Braun Switzerland,http://www.bbraun.ch, +41 582 585 000,Board,CEO,Román Kübler
B. Braun Philippines,http://www.bbraun.ph, +63 588 5600,Board,Managing Director,Sinon Esermann
B. Braun Thailand,http://www.bbraun.co.th, +66 2617 5000,Board,Managing Director,Sayan Roy
B. Braun Romania,http://www.bbraun.ro, +40 256 284 905,Board,CEO,Gheorghe Bulat
B. Braun UK,http://www.bbraun.co.uk, +44 114 225 9000,N1,Communications & PR,R...
B. Riley Financial,http://brileyfin.com, +1 310 966 1444,Board,Chairman & Co-CEO,Bryant Riley
B. E. Billimoria & Co,http://www.bebanco.com, +91 226 654 5000,Board,Managing Director,Digant Kapadia
B. Riley Advisory Services,http://brileyfin.com/capabilities/advisory-services, +1 310 966 1444,Board,Co-CEO,Michael Marchlik
B. Braun Vietnam,http://www.bbraun.com.vn, +84 435 110 088,Board,Managing Director,Torben Minko
B. Dettmer Reederei,http://www.dettmer-reederei.de, +49 401 813 0090,Board,CEO,Heiner Dettmer
B. Riley Principal Investments,http://brileyfin.com/principalinvestments, +1 818 884 3737,Board,CEO,Kenny Young
B. Riley Real Eastate,http://brileyfin.com/capabilities/real-estate-solutions, +1 310 966 1444,Board,President,Michael Jerbich
B. Riley Securities,http://brileyfbr.com, +1 703 312 9500,Board,CEO,Andy Moore
B. Riley Retail Solutions,http://brileyfin.com/capabilities/retail-solutions, +1 310 966 1444,Board,CEO,Scott Carpenter
B. Riley Wealth,http://brileyfin.com/capabilities/wealth, +1 901 251 1330,Board,CEO,Michael Mullen
B.Grimm Power,http://www.bgrimmpower.com, +66 2710 3400,Board,President,Harald Link
