name,url,number,category,position,person_name
C Spire,http://www.cspire.com, +1 855 277 4735,Board,CEO,Hu Meena
C Ahead Info Technologies,http://www.cahead.com, +91 224 071 9999,Board,CEO,Sandeep Sekhar
C&A,http://www.c-and-a.com, +49 2119 8720,Board,Chairman of the Board,Allan Leighton
C Space,http://cspace.com, +1 617 316 4000,Board,CEO,Jessica DeVlieger
C&A Brazil,http://www.cea.com.br, +55 112 166 7646,Board,CEO,Paulo Correa Junior
C&D International Investment Group,http://www.cndintl.com, +852 2525 7922,Board,CEO & Director,Weiguo Lin
C&A France,http://www.c-and-a.com/fr/fr/corporate/qui-sommes-nous/, +49 2119 8720,Board,Managing Director,Nadia Bothorel
C&C Group,http://www.candcgroupplc.com, +353 1506 3900,Board,CEO,Ralph Findlay
C&A Europe,http://www.c-and-a.com/de/de/corporate/company/, +49 2119 8720,Board,Interim CEO,Edward Brenninkmeijer
C&B Operations,http://deerequipment.com, +1 605 765 2434,Board,CEO,Matt Cronin
C&I Leasing,http://www.c-ileasing.com, +234 1270 3700,Board,CEO,Lenin Ugoji
C&F Wealth,http://www.candfinvest.com, +1 804 843 4584,Board,President,William Morrison
C&D Technologies,http://www.cdtechno.com, +1 215 619 2700,Board,CEO,Rick Heller
C&K Switches,http://www.ckswitches.com, +1 617 969 3700,Board,Vice President,Bruno Prevot
C&F  Financial,http://www.cffc.com, +1 804 843 2360,Board,CEO,Thomas Cherry
C&N Wealth Management,http://www.cnbankpa.com/Personal/Invest/Wealth-Management-Team/Wealth-Management-Team-Leadership, +1 570 723 2157,Board,Wealth Management,Matthew Bower
C&S Wholesale Grocers,http://www.cswg.com, +1 603 354 7000,Board,CEO,Eric Winn
C&L Aviation,http://cla.aero, +1 207 217 6050,Board,CEO,Chris Kilgour
C&W Services,http://cwservices.com, +1 314 746 0342,Board,CEO,Mia Mends
C&S Paper,http://zhongshun.en.china.cn, +86 760 8788 3333,Board,Chairman & President,Peng Liu
C-III Capital Partners,http://www.c3cp.com, +1 972 868 5300,Board,Chairman & CEO,Andrew Farkas
C+M Utescheny Spritzgießtechnik,http://utescheny.de, +49 7258 9020,Board,Managing Director,Thomas Dangelmaier
C-Edge Technologies,http://www.cedge.in, +91 226 102 3471,Board,Co-CEO,Rahul Kulkarni
C-Com Satellite Systems,http://www.c-comsat.com, +1 613 745 4110,Board,CEO,Leslie Klein
C'Bon Cosmetics,http://www.cbon-global.com, +81 449 791 234,Board,CEO & Director,Kazuhiro Sakiyama
C-Quest,http://www.c-quest.com, +971 2 417 3000,Board,CEO,Ken Newcombe
C. & E. Fein,http://fein.com, +49 7173 1830,Board,Co-CEO,Michael Fischer
C-Quadrat Investment Group,http://www.c-quadrat.com, +43 151 5660,Board,CEO,Alexander Schutz
C-Rad,http://www.c-rad.com, +46 1866 6930,Board,CEO,Cecilia De Leeuw
C. Cramer,http://ccc-fabrics.com, +49 256 893 150,Board,CEO,Bob Cramer
C. Hoare & Co,http://www.hoaresbank.co.uk, +44 207 353 4522,Board,CEO,Diana Brightmore-Armour
C. Thomsen,http://auto-thomsen.de, +49 410 147 2800,Board,Managing Director,Hermann-Josef Poth
C. Illies & Co. Handelsgesellschaft,http://illies.de, +49 4035 9030,Board,CEO & Chairman,Michael Illies
C. Steinweg,http://www.steinweg.com, +31 104 879 555,Board,CEO,Peter Pesselse
C.Banner International,http://www.cbanner.com.cn, +86 258 479 1001,Board,Chairman & Executive Director,Yixi Chen
C.I. Takiron,http://www.takiron-ci.co.jp, +81 367 113 709,Board,President & Director,Kazuya Saito
C.I. Holdings,http://www.cih.com.my, +60 321 827 333,Board,Managing Director,Mohammad Bin Alwi
C.D. Wälzholz,http://waelzholz.com, +49 2331 9640,Board,CEO,Pascal Erlmann
C.D. Smith,http://www.cdsmith.com, +1 920 924 2900,Board,CEO,Justin Smith
C.J. Hughes,http://www.cjhughes.com, +1 304 522 3868,Board,President,Chuck Austin
C.R. England,http://www.crengland.com, +1 801 886 4570,Board,CEO,Chad England
C1,http://www.onec1.com, +1 763 400 709,Board,CEO,Jeffrey Russell
C.W. Roberts Contracting,http://www.cwrcontracting.com, +1 850 385 5060,Board,President,Robert Flowers
C2,http://www.c2international.com, +1 514 380 8755,Board,CEO,Anick Beaulieu
Côte Restaurants,http://www.cote.co.uk, +44 207 287 9280,Board,Managing Director,Ashley Hamilton
C2 Technologies,http://www.c2ti.com, +1 703 448 7900,Board,CEO,Dolly Oberoi
C2 Education,http://www.c2educate.com, +1 770 623 2800,Board,Director,David Kim
C2FO,http://c2fo.com, +1 913 956 6521,Board,Chairman & CEO,Alexander Kemper
C2N Diagnostics,http://www.c2n.com, +1 314 464 0009,Board,CEO & President,Joel Braunstein
C3 Creative Code and Content,http://www.c3.co, +49 3044 0320,Board,CEO,Adel Gelbert
C3 Risk & Insurance,http://c3insurance.com, +1 619 233 8000,Board,President,Gabe Erle
C3.ai,http://c3.ai, +1 650 503 2200,Board,Chairman & CEO,Thomas Siebel
C3 Industries,http://c3industries.com, +1 734 412 4600,Board,CEO,Ankur Rungta
C3 Metals,http://www.c3metals.com, +1 613 839 3258,Board,CEO,Dan Symons
C3 Rentals,http://www.c3rentals.com, +1 629 262 5027,Board,CEO,Craig Tatum
C6 Bank,http://www.c6bank.com.br, +55 800 660 0060,Board,CEO,Marcelo Kalim
C4X Discovery Holdings,http://www.c4xdiscovery.com, +44 161 235 5085,Board,CEO & Interim Chairman,Clive Dix
C3i Solutions,http://www.c3isolutions.com, +1 267 942 3300,Board,CEO,Mario Cervantes
C4 Therapeutics,http://www.c4thera.com, +1 781 235 3060,Board,CEO & Director,Andrew Hirsch
C8,http://www.mycanal.fr/chaines/c8, +33 171 353 535,Board,Managing Director,Franck Appietto
CA Immo,http://www.caimmo.com, +43 1532 5907,Board,CEO,Keegan Viscius
CA Global Markets Financing & Funding Solutions,http://www.ca-cib.com/pressroom/news/appointments-global-markets, +33 141 890 000,Board,Managing Director,Arnaud d'Intignano
CA Group,http://www.cagroup.co.uk, +44 138 883 4242,Board,Managing Director,Des Webster
CA Auto Bank,http://www.ca-autobank.com, +39 11 448 8203,Board,CEO,Giacomo Carelli
CA Indosuez,http://www.ca-indosuez.com, +41 583 219 000,Board,CEO,Jacques Prost
CA Indosuez Hong Kong,http://www.ca-indosuez.com/hongkong/, +852 3763 6888,Board,CEO,Olivier Livenais
CA Indosuez Uruguay,http://www.ca-indosuez.com/uruguay/, +598 2623 4270,Board,CEO,Nicolas Bonneau
CA Indosuez Wealth Belgium,http://www.ca-indosuez.com/belgium/, +32 3233 1170,Board,CEO,Baudouin de Marnix
CA Indosuez Switzerland,http://www.ca-indosuez.com/switzerland/, +41 583 219 000,Board,CEO,Marc-André Poirier
CA Indosuez Asia,http://www.singapore.ca-indosuez.com, +65 6423 0325,Board,CEO,Omar Shokur
CA Indosuez Wealth Europe,http://www.ca-indosuez.com/luxembourg/, +352 24 671,Board,CEO & Luxembourg,Olivier Carcy
CA Sega Joypolis,http://www.casegajp.com/en, +81 355 001 801,Board,CEO,Takeshi Yoshimoto
CA Indosuez Wealth Portugal,http://www.portugal.ca-indosuez.com, +351 211 255 360,Board,CEO,Nuno Vilar Gomes
