name,url,number,category,position,person_name
D&D Pharmatech,http://www.ddpharmatech.com, +82 318 019 7771,Board,Co-CEO,Yoo Seok Hong
D&D Drotaru,http://www.drotaru.hu, +36 4651 9165,Board,CEO,Radim Mrózek
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,Board,CEO,Raza Mansha
D&B Properties,http://dandbdubai.com, +971 4871 9200,Board,CEO,Adham Younis
D&G Technology,http://dgtechnology.com, +852 2542 2872,Board,CEO,Kwan Li Choi
D' Amico International Shipping,http://www.damicointernationalshipping.com, +352 2626 2929,Board,CEO,Carlos Balestra di Motto...
D'Decor,http://www.ddecor.com, +91 226 678 2000,Board,Co-Managing Director,Ajay Arora
D&H Distributing,http://dandh.com, +1 717 731 1902,Board,CEO,Izzy Schwab
D&W Fine Pack,http://dwfinepack.com, +1 847 378 1200,Board,CEO,Gary Rehwinkel
D&L Industries,http://www.dnl.com.ph, +63 2635 0680,Board,CEO & Director,Alvin Lao
D-Box Technologies,http://www.d-box.com, +1 450 442 3003,Board,CEO & Interim CFO,Sebastien Mailhot
D-Edge Hospitality Solutions,http://www.d-edge.com, +33 158 625 810,Board,CEO,Pierre-Charles Grob
D-Link,http://www.dlink.com, +886 266 000 123,Board,CEO,CJ Chang
D'Ieteren,http://www.dieteren.be, +32 2536 5111,Board,CEO,Francis Deprez
D-Link Europe,http://www.dlink.com/uk/en, +44 208 955 9000,Board,President,Kevin Wen
D-Link Middle East & Africa,http://www.dlinkmea.com, +971 4880 9033,Board,Director,Harrison Albert
D-Marin,http://www.d-marin.com, +385 2333 3036,Board,CEO,Oliver Doerschuck
D-Orbit,http://www.dorbit.space, +39 237 920 900,Board,CEO,Luca Rossettini
D-Link India,http://www.dlink.co.in, +91 832 285 6300,Board,CEO,Tushar Sighat
D-Wave Systems,http://www.dwavesys.com, +1 604 630 1428,Board,CEO & Director,Alan Baratz
D.A. Davidson Investment Banking,http://dadavidson.com/WHAT-WE-DO/Investment-Banking, +1 406 727 4200,N1,Technology Investment Banking,G...
D.A. Davidson Fixed Income Capital Markets,http://dadavidson.com/WHAT-WE-DO/Fixed-Income-Capital-Markets, +1 406 727 4200,Board,President,Marc Dispense
D.A. Davidson Companies,http://dadavidson.com, +1 406 727 4200,Board,CEO,Lawrence Martinez
D.A. Davidson Brokered CD Underwriting,http://dadavidson.com/WHAT-WE-DO/Fixed-Income-Capital-Markets/Products-Services/Brokered-CD-Underwriting, +1 406 727 4200,Board,Managing Director,Dan Fiandaca
D.A. Davidson Equity Capital Markets,http://dadavidson.com/WHAT-WE-DO/Equity-Capital-Markets, +1 406 727 4200,Board,CEO,Rory McKinney
D.A. Davidson Trust Services,http://dadavidson.com/WHAT-WE-DO/Trust-Services, +1 406 727 4200,Board,President,Steven Condon
D.A. Davidson Special District,http://dadavidson.com/WHAT-WE-DO/Fixed-Income-Capital-Markets/Products-Services/Special-District-Group, +1 406 727 4200,Board,Managing Director,Brennen Brown
D.A. Davidson Wealth Management,http://dadavidson.com/WHAT-WE-DO/Wealth-Management, +1 406 727 4200,Board,President,Michael Purpura
