name,url,number,category,position,person_name
F Secure,http://www.f-secure.com, +358 925 200 700,Board,CEO,Timo Laaksonen
F & J Prince Holdings Corporation,http://fjprince.com, +63 2892 7133,Board,President & Chairman,Robert Cokeng
F&M Bank,http://www.fmbonline.com, +1 209 367 2300,Board,Chairman & CEO,Kent Steinwert
F&C Investment Trust,http://www.bmogam.com/fandc-investment-trust, +44 345 600 3030,Board,Managing Director,Paul Niven
F&F Holdings,http://www.fnf.co.kr, +82 2520 0001,Board,CEO,Ui-Heon Park
F&N Food & Beverage,http://fn.com.my, +60 392 352 288,Board,CEO,Yew Hoe Lim
F-Star Biotechnology,http://www.f-star.com, +44 1223 948 09,Board,CEO & Director,Neil Brewis
F-Tech,http://www.ftech.co.jp, +81 480 855 211,Board,CEO,Yuichi Fukuda
F&M Trust,http://www.fmtrust.bank, +1 717 264 6116,Board,CEO & Director,Timothy Henry
F.biz,http://www.fbiz.com.br, +55 113 097 1001,Board,Co-CEO,Fernand Alphen
F.H. Paschen,http://www.fhpaschen.com, +1 773 444 3474,Board,President & CEO,James Blair
F.W. Hempel Unternehmensgruppe,http://www.fwhempel.de, +49 208 456 780,Board,General Manager,Hans-Rudolf Orgs
F.C.C.,http://www.fcc-net.co.jp, +81 535 232 400,Board,President & Director,Yoshitaka Saito
F.EE,http://www.fee.de, +49 9672 5060,Board,Co-Managing Director,Hans Fleischmann
F.L.Putnam,http://www.flputnam.com, +1 781 235 6323,Board,CEO,Thomas Manning
Fédération Nationale Banques Populaires,http://www.fnbp.fr, +33 140 396 771,Board,CEO,Alain Giron
Förde Reederei Seetouristik,http://www.frs.de, +49 461 864 670,Board,Managing Director,Christian Baumberger
Första AP-Fonden,http://www.ap1.se, +46 856 620 200,Board,CEO,Kristin Bernard
Fédération Nationale des Caisses d'Epargne,http://www.federation.caisse-epargne.fr, +33 144 385 050,Board,Managing Director,Pierre Macé
F.W. Webb,http://www.fwwebb.com, +1 781 273 9322,Board,President,Jeff Pope
Fürst von Hohenzollern Group,http://hohenzollern.com, +49 7571 7290,Board,Co-Managing Director,Peter Brodmann
Füngers Feinkost,http://www.fuengers.de, +49 349 044 080,Board,Managing Director,Philip Harland
F5 Networks,http://www.f5.com, +1 206 272 5555,Board,CEO,Francois Locoh-Donou
F2G,http://www.f2g.com, +44 161 785 1270,Board,CEO & Director,Francesco Lavino
F45 Training,http://f45training.com, +1 206 905 8345,Board,CEO,Tom Dowd
FAAC,http://www.faac.com, +1 734 627 1032,Board,CEO,Kurt Flosky
FAB,http://www.bankfab.com, +971 2635 8001,Board,CEO,Hana Al Rostamani
F5 Networks India,http://www.f5.com/company/contact/regional-offices, +91 806 792 0946,Board,Managing Director,Dhananjay Ganjoo
FAB Egypt,http://www.bankfab.com/en-eg/, +20 219 977,Board,CEO,Mohamed Abbas Fayed
FAB Oman,http://www.bankfab.com/en-om/, +968 2476 1076,Board,CEO,Mohammed Ali Ba Omar
Fabasoft,http://www.fabasoft.com, +43 732 606 1620,Board,CEO,Helmut Fallmann
Faber-Castell,http://www.faber-castell.com, +49 9119 9650,Board,CEO,Stefan Leitz
Fabege,http://www.fabege.se, +46 855 514 800,Board,CEO,Stefan Dahlbo
