name,url,number,category,position,person_name
H Mart,http://www.hmart.com, +1 201 636 5250,Board,CEO,Il Yeon Kwon
H World International,http://int.hworld.com, +49 696 656 401,Board,CEO,Oliver Bonke
H Company,http://www.hcompany.ai, +33 141 798 000,Board,CEO,Charles Kantor
H World Group,http://www.hworld.com, +86 400 812 1121,Board,CEO,Hui Jin
H&E Equipment Services,http://www.he-equipment.com, +1 225 298 5333,Board,CEO & Director,Bradley Barber
H&H Insurance Brokers,http://www.hhinsurancebrokers.co.uk, +44 122 840 6290,Board,Managing Director,Paul Graham
H&H Group,http://www.hhgroupplc.co.uk, +44 122 840 6330,Board,CEO,Richard Rankin
H&H Reeds Printers,http://www.hhreedsprinters.co.uk, +44 176 886 4214,Board,Managing Director,Andy Jackson
H&H Land & Estates,http://www.hhlandestates.co.uk, +44 122 840 6260,Board,Managing Director,Mark Johnson
H&M,http://www.hm.com, +46 8796 5500,Board,President & CEO,Daniel Ervér
H&M Americas,http://www2.hm.com, +1 646 336 3200,N1,Communications,L...
H&M ANZ,http://www2.hm.com/en_au/index.html, +61 130 040 1300,Board,Managing Director,Anna Baldwin
H&M France,http://www2.hm.com/fr_fr/index.html, +33 805 088 888,Board,Managing Director,Ralf Wein
H&M Germany,http://about.hm.com/de_de/news.html, +49 403 509 550,Board,Country Manager,Maximilian Schuessler
H&M Canada,http://www2.hm.com/en_ca/customer-service/contact.html, +1 416 623 4300,Board,Country Manager,Frédéric Tavoukdjian
H&M UK & Ireland,http://www2.hm.com/en_gb/index.html, +44 344 736 9000,Board,CEO,Henrik Nordvall
H&R AG,http://www.hur.com, +49 4043 2180,Board,CEO,Niels Hansen
H&MV Engineering,http://www.hmvengineering.com, +353 6135 7496,Board,CEO,PJ Flanagan
H&M Greater China,http://career.hm.com/content/hmcareer/en_om/workingathm/get-to-know-us/Contacts/contact-details/hm.html/cn, +86 212 330 5200,N1,eCommerce Mktg & PR,A...
H&M India,http://www2.hm.com/en_in/index.html, +91 117 107 1300,N1,CFO & Control,Louis Coucke
H&S Aviation,http://www.hsaviation.co.uk, +44 239 230 4000,N1,Sales,C...
H&R Real Estate Investment Trust,http://www.hr-reit.com, +1 416 635 7520,Board,CEO & Chairman,Thomas Hofstedter
H&R Block,http://www.hrblock.com, +1 816 854 3000,Board,CEO,Jeff Jones
H+H Germany,http://www.hplush.de, +49 4554 7000,Board,Managing Director,Markus Blum
H+H Denmark,http://www.hplush.dk, +45 7024 0050,Board,CEO,Dorthe Storm
H+H UK,http://www.hhcelcon.co.uk, +44 173 288 6333,Board,Managing Director,Calum Forsyth
H+H International,http://www.hplush.com, +45 3527 0200,Board,CEO,Jörg Brinkmann
H+H Poland,http://www.hplush.pl, +48 225 184 000,Board,CEO,Wojciech Zdziechowski
H+K Strategies Asia,http://th.hkstrategies.com, +66 2627 3501,Board,President,HS Chung
H+H Sweden,http://www.hplush.se, +46 4055 2300,Board,CEO,Dorthe Storm
H+K Strategies Belgium,http://www.hkstrategies.be, +32 2737 9500,Board,Chairman of the Board,Thomas Tindemans
H+K Strategies Canada,http://hkstrategies.ca, +1 416 413 1218,Board,CEO,Sheila Wisniewski
H+K Strategies France,http://www2.hkstrategies.com/france/en/about/, +33 141 054 400,Board,General Manager,Valérie Lecasble
H+K Strategies Germany,http://www.hkstrategies.de/en, +49 6997 3620,Board,CEO,Geraldine Schroeder
H+K Strategies Greater China,http://hkstrategies.com/china/, +86 106 512 8811,Board,CEO,Claire Li
H+K Strategies Italy,http://www.hkstrategies.it/en/, +39 697 7991,Board,CEO,Sergio Pisano
H+K Strategies UAE,http://www.hkstrategies.com/united-arab-emirates/en, +971 4553 9543,Board,CEO,Bashar AlKadhi
H+K Strategies Norway,http://www.hkstrategies.no/no/, +47 2204 8200,N1,Brand Strategy & Market Comm,K...
H+K Strategies Sweden,http://www.hkstrategies.se, +46 8402 8900,Board,Acting CEO,Åsa Mogerud
H+K Strategies Singapore,http://www.hkstrategies.com.sg, +65 6338 2881,Board,CEO,Justin Then
H-Farm,http://www.h-farm.com, +39 422 789 611,Board,CEO & Chairman,Riccardo Donadon
H-Hotels,http://www.h-hotels.com, +49 569 1878 9203,Board,CEO,Alexander Fitz
H+K Strategies USA,http://www.hkstrategies.us, +1 212 885 0300,Board,CEO,Craig Buchholz
H+K Strategies UK,http://hillandknowlton.co.uk, +44 207 413 3000,N1,CFO,Louise Leuschke
H-E Parts International,http://www.h-eparts.com, +1 678 443 2140,Board,CEO,Simon Pelletier
H.C. Starck,http://hcstarck.com, +49 5321 7510,Board,CEO,Hady Seyeda
H.C. Starck Solutions,http://www.hcstarcksolutions.com, +1 617 630 5800,Board,CEO,Homiller Jacob
