name,url,number,category,position,person_name
I K,http://www.ai-kei.co.jp, +81 528 563 101,Board,Chairman & CEO,Hiroshi Iida
I&M Bank Uganda,http://www.imbankgroup.com, +256 414 236 012,Board,CEO,Robin Bairstow
I'LL,http://www.ill.co.jp, +81 662 921 170,Board,President,Tetsuo Iwamoto
I G Petrochemicals,http://www.igpetro.com, +91 223 028 6100,Board,CEO & Director,Nikunj Dhanuka
I Squared Capital,http://isquaredcapital.com, +1 786 693 5700,Board,Chairman & Managing Partner,Sadek Wahba
I+E Berlin Research,http://ie-research.de, +49 305 900 220,Board,CEO,Barbara Gotz
I-Car Australia,http://www.i-car.com.au, +61 732 199 088,Board,General Manager,Vanessa Harrison
I'rom,http://www.iromgroup.co.jp, +81 332 643 148,Board,CEO & President,Toyotaka Mori
I-Car,http://www.i-car.com, +1 847 590 1198,Board,CEO,John Alstyne
I-80 Gold,http://www.i80gold.com, +1 807 346 1390,Board,CEO,Ewan Downie
I-Med Radiology Network,http://www.i-med.com.au, +61 282 741 000,Board,CEO & Director,Shrey Viranna
I-net,http://www.inet.co.jp, +81 456 820 800,Board,President & Director,Mitsuru Sakai
I-Minerals,http://www.imineralsinc.com, +1 604 303 6573,Board,CEO,John Theobald
I-Mab Biopharma,http://www.i-mabbiopharma.com, +86 216 057 8000,Board,CEO & Director,Raj Kannan
I-NE,http://i-ne.co.jp, +81 664 430 881,Board,President & CEO,Yohei Onishi
I-O Data Device,http://www.iodata.jp, +81 762 603 377,Board,President,Naonori Hamada
I-Sec,http://www.i-sec.com, +31 207 163 410,Board,CEO,Rom Shaked
I-Sprint,http://i-sprint.com, +65 6244 3900,Board,CEO,Dutch Ng
I-Pex,http://corp.i-pex.com, +81 756 117 155,Board,President,Tsuchiyama Takaharu
I-Tech AB,http://www.i-tech.se, +46 103 033 999,Board,Acting CEO & CFO,Magnus Henell
I.C. System,http://www.icsystem.com, +1 651 481 6333,Board,CEO,John Erickson
I.G.Bauerhin,http://www.bauerhin.com, +49 6051 8260,Board,CEO,Josef Hilmer
i-D,http://i-d.co, +1 718 599 3101,N1,COO,Kevin Johan Wong
