name,url,number,category,position,person_name
J Alexanders,http://www.jalexanders.com, +1 615 269 1900,Board,Lead Director,Frank Martire
J & P Avax,http://www.jp-avax.gr, +30 210 637 5000,Board,Managing Director,Konstantinos Mitzalis
J García Carrión,http://garciacarrion.com, +34 926 260 104,Board,CEO,Jose Garcia-Carrion
J J Gumberg,http://www.jjgumberg.com, +1 412 244 4000,Board,CEO & Chairman,Ira Gumberg
J Lindeberg,http://www.jlindeberg.com, +46 850 685 000,Board,CEO,Meyer Hans-Christian
J O Hambro Capital Management,http://www.johcm.co.uk, +44 207 747 5678,N1,CFO,Stephen Lynn
J&J Innovative Medicine Cardiovascular & Metabolism,http://www.janssen.com/cardiovascular-and-metabolism/leadership, +1 908 704 4000,Board,President,James List
J Smart,http://www.jsmart.co.uk, +44 131 336 2181,Board,Joint Managing Director,David Smart
J&J Health & Wellness,http://www.jnjhws.com, +1 734 623 0000,Board,President,Len Greer
J&F Investimentos,http://jfinvest.com.br, +55 112 505 0400,Board,CEO,Joesley Batista
J&T Banka,http://www.jtbanka.sk, +421 259 418 111,Board,CEO,Patrik Tkac
J&J Snack Foods,http://www.jjsnack.com, +1 856 665 9533,Board,Chairman & CEO,Daniel Fachner
J&T Express,http://jet.co.id, +62 130 080 9000,Board,CEO,Robin Lo
J&J Innovative Medicine Infectious Diseases & Vaccines,http://www.janssen.com/infectious-diseases-and-vaccines/leadership, +1 609 730 2000,Board,General Manager,Penny Heaton
J&K Bank,http://www.jkbank.com, +91 194 248 1928,Board,CEO,Baldev Prakash
J&T Express Philippines,http://jtexpress.ph, +63 289 111 888,Board,General Manager,Zoren Sun
J&T Express Viet Nam,http://jtexpress.vn, +84 1900 1088,Board,Managing Director,Huang Zirui
J-Oil Mills,http://www.j-oil.com, +81 351 487 100,Board,President,Tatsuya Sato
J-Lease,http://www.j-lease.jp, +81 975 342 277,Board,CEO & Chairman,Hiraku Nakashima
J'ai Lu,http://www.jailu.com, +33 140 513 100,Board,President,Anna Pavlowitch
J-Star,http://www.j-star.co.jp, +81 362 699 701,Board,Managing Partner,Kenichi Harada
J-Pac Medical,http://www.j-pacmedical.com, +1 603 692 9955,Board,CEO,Jeff Barrett
J-tec,http://www.j-tec.co.jp, +81 726 432 292,Board,CEO,Takashi Tsumura
J-Stream,http://www.stream.co.jp, +81 357 657 000,Board,President & Director,Toshio Ishimatsu
J-W Energy,http://www.jwenergy.com, +1 972 233 8191,Board,CEO,Howard Westerman
J-Yuan Trust,http://www.anxintrust.com, +86 216 341 0710,Board,General Manager,Xu Zeng
J. Barbour & Sons,http://www.barbour.com/eu, +44 191 455 4444,Board,Managing Director,Steve Buck
J. H. Findorff & Son,http://www.findorff.com, +1 608 257 5321,Board,CEO,Jim Yehle
J. Bauer,http://en.bauer-gruppe.de, +49 8071 1090,Board,CEO,Heiko Modell
J. Grady Randolph,http://jgr-inc.com, +1 864 488 9030,Board,General Manager,Mike Harlan
J. Mendel,http://www.jmendel.com, +1 212 967 6260,Board,CEO,Gilles Mendel
J. J. Keller & Associates,http://www.jjkeller.com, +1 920 722 2848,Board,CEO,Rustin Keller
J. McLaughlin,http://www.jmclaughlin.com, +1 718 532 9000,Board,CEO,Mary Ellen Coyne
J. Hilburn,http://www.jhilburn.com, +1 214 631 2601,Board,CEO,Stein Ove Fenne
J. Lauritzen,http://www.j-l.com, +45 3396 8000,Board,CEO,Kristian Moerch
J. Safra Sarasin,http://www.jsafrasarasin.com, +41 583 174 444,Board,CEO,Daniel Belfer
