name,url,number,category,position,person_name
K Health,http://www.khealth.ai, +1 781 744 8253,Board,CEO,Allon Bloch
K Fund,http://kfund.vc, +1 859 257 6300,Board,Managing Partner,Iñaki Arrola
K Friese + Associates,http://kfriese.com, +1 512 338 1704,N1,Executive Vice President,T...
K S Oils,http://ksoils.com, +91 753 230 0000,Board,CEO,Ramesh Garg
K Wah International,http://www.kwih.com, +852 2880 0178,Board,CEO,Che Woo Lui
K&L Gates,http://www.klgates.com, +1 617 261 3267,Board,Chairman,Michael Caccese
K&H Bank,http://www.kh.hu, +36 1437 0810,Board,CEO,Guy Libot
K&S,http://www.ks-gruppe.de, +49 426 483 090,Board,CEO,Ulrich Krantz
K&O Energy Group,http://k-and-o-energy.co.jp, +81 475 271 011,Board,President,Akio Midorikawa
K&S Corporation,http://www.ksgroup.com.au, +61 387 443 500,Board,Managing Director,Paul Sarant
K+S Kali,http://www.kali-gmbh.com, +49 5619 3010,Board,Managing Director,Bastian Siebert
K+S,http://www.k-plus-s.com, +49 5619 3010,Board,CEO,Burkhard Lohr
K+B,http://www.k-b.de, +49 9971 3930,Board,Managing Director,Josef Kappenberger
K'S,http://www.ksdenki.com, +81 292 249 600,Board,President,Tadashi Hiramoto
K+K Klaas & Kock,http://www.klaas-und-kock.de, +49 256 218 362,Board,Co-Managing Director,Hans-Jürgen Klaas
K-Electric,http://www.ke.com.pk, +92 213 263 7133,Board,CEO & Director,Moonis Alvi
K-Auto,http://k-auto.fi, +358 105 333 700,Board,Vice President,Jukka Kiuru
K-Swiss,http://www.kswiss.com, +1 818 706 5100,Board,Chairman & CEO,Truman Kim
K+S Potash Canada,http://www.ks-potashcanada.com, +1 306 385 8000,Board,President,Sam Farris
K-Fast Holding,http://k-fastigheter.com, +46 103 300 069,Board,President & CEO,Jacob Karlsson
K.K. Birla Group,http://www.birla-sugar.com, +91 332 243 0497,N1,Hindustan Media Ventures,S...
Köbig,http://www.koebig.de, +49 6131 6940,Board,CEO,Markus Thurn
K.Line,http://www.k-line.fr, +33 801 803 803,Board,Managing Director,Bruno Leger
Köhler + Bracht,http://www.koehler-bracht.de, +49 440 297 4770,Board,Co-Managing Director,Tina Koehler
Kährs Group,http://www.kahrs.com, +46 4814 6000,Board,CEO,Johan Magnusson
