name,url,number,category,position,person_name
L S Telcom,http://www.lstelcom.com, +49 722 7953 5600,Board,CEO,Georg Schoene
L Catterton Europe,http://www.lcattertoneurope.com, +33 1 44132206,N1,CFO,Nicolas Desbois
L Catterton Asia,http://www.lcattertonasia.com, +65 6672 7600,Board,Managing Partner,Scott Chen
L Catterton,http://www.lcatterton.com, +1 203 629 4901,Board,Co-CEO,Michael Chu
L E Lundbergforetagen,http://www.lundbergforetagen.se, +46 1121 6500,Board,CEO & Director,Fredrik Lundberg
L&T IDPL,http://www.lntidpl.com, +91 442 252 6666,Board,Managing Director,D.K. Sen
L&K Saatchi & Saatchi,http://lksaatchi.com, +91 226 146 0000,Board,CEO,Paritosh Srivastava
L&T Financial Services,http://www.ltfs.com, +91 226 621 7300,Board,CEO,Sudipta Roy
L&T Hydrocarbon Engineering,http://www.lnthydrocarbon.com, +91 226 177 4200,Board,CEO,Subramanian Sarma
L&B Realty Advisors,http://lbrealty.com, +1 214 989 0800,Board,CEO,Andrews Smith
L&T Precision Engineering,http://lt-engineering.com, +1 408 441 1890,Board,President,Luc Tran
L&T Metro Rail,http://www.ltmetro.in, +91 406 729 5500,Board,CEO,K. V. B Reddy
L&T Technology Services,http://www.ltts.com, +91 265 245 4000,Board,CEO & Managing Director,Amit Chadha
L&T-MHI Power Boilers,http://www.lntmhipower.com, +91 294 291 000,Board,CEO,Srinivas Sirupa
L&T-MHPS Turbine Generators,http://www.lmtg.in, +91 261 280 8080,Board,CEO & Director,Deepak Kumar Sinha
L'Assurance Retraite,http://www.lassuranceretraite.fr, +33 971 103 960,Board,CEO,Renaud Villard
L&T-Sargent & Lundy,http://www.lntsnl.com, +91 265 245 6000,Board,CEO,Yogendra Mishra
L' Alsacienne de Restauration,http://alsaciennederestauration.fr, +33 388 186 806,N1,Marketing,C...
L'Auxiliaire,http://www.auxiliaire.fr, +33 472 745 252,Board,CEO,Olivier Bedeau
L'Atelier BNP Paribas,http://atelier.net, +1 415 503 4156,Board,CEO,John Egan
L'Bri,http://lbri.com, +1 262 363 9674,Board,CEO,Linda Kaminski
L'Express,http://www.votreargent.lexpress.fr, +33 155 567 104,Board,President,Alain Weill
L'Occitane Americas,http://www.loccitane.com/en-us/, +1 212 580 1875,N1,North America,Y...
L'Occitane,http://www.loccitane.com , +33 155 351 757,Board,CEO & Director,Laurent Marteau
L'Occitane APAC,http://hk.loccitane.com, +852 2480 6155,Board,Managing Director,Lina Ly-Dutron
L'Oréal APAC,http://www.loreal.hk, +852 3180 1694,Board,South APAC MEA & NA,Vismay Sharma
L'Occitane EMEA,http://fr.loccitane.com, +33 139 467 316,Board,Managing Director,Alia Hawa
L'Ocirp,http://ocirp.fr, +33 144 562 256,Board,CEO,Marie-Anne Montchamp
L'Olivier,http://www.lolivier.fr, +33 183 777 589,Board,CEO,Pascal Gonzalvez
L'Oréal,http://www.loreal.com, +33 147 567 000,Board,CEO,Nicolas Hieronimus
L'Oréal Argentina,http://www.loreal.com/es-ar/argentina/, +54 114 124 0333,Board,CEO,Jean-Noel Divet
L'Oréal Canada,http://www.loreal.ca/en-ca, +1 416 304 1248,Board,CEO,An Verhulst-Santos
L'Oréal China,http://www.lorealchina.com, +86 216 272 1988,Board,CEO,Vincent Boinay
L'Oréal Bold Ventures,http://www.lorealboldventures.com, +33 147 567 000,Board,CEO,Laurent Schmitt
L'Oréal Australia,http://www.loreal.com/en/australia/, +61 386 800 000,Board,CEO,Rodrigo Pizarro
L'Oréal Germany,http://www.loreal.de, +49 211 437 801,Board,Austria Germany Switzerland,Kenneth Campbell
L'Oréal Europe,http://www.loreal.com/group/diversity/our-main-actions/europe, +33 147 567 000,Board,President,Vianney Derville
L'Oréal Consumer Products,http://www.loreal.com/brand/consumer-products-division, +33 147 567 000,Board,President,Alexis Perakis-Valat
L'Oréal France,http://www.loreal.fr, +33 147 567 000,Board,General Manager,Celine Brucker
L'Oréal India,http://www.loreal.co.in, +91 226 700 3000,Board,Managing Director,Aseem Kaushik
L'Oréal New Zealand,http://www.loreal.nz, +64 9583 4000,Board,Managing Director,Aurelie de Cremiers
L'Oréal Luxe,http://www.loreal.com/brand/l’oréal-luxe, +33 147 567 000,Board,President,Cyril Chapuy
L'Oréal Indonesia,http://www.loreal.co.id, +62 212 988 6666,Board,CEO,Junaid Murtaza
L'Oréal Luxe UK & Ireland,http://www.loreal.co.uk/brands/loreal-luxe.htm, +44 208 762 4270,Board,Managing Director,Suriya Parksuwan
L'Oréal Malaysia,http://www.loreal.my, +60 376 518 000,Board,Managing Director,Tomas Hruska
L'Oréal Portugal,http://www.loreal.com/fr/portugal/, +351 214 128 500,Board,General Manager,Juan Alonso de Lomas
L'Oréal Professional Products,http://www.loreal.com/brand/professional-products-division, +33 147 567 000,Board,President,Omar Hajeri
L'Oréal Taiwan,http://www.loreal.com.tw, +886 281 016 000,Board,General Manager,Amy Chen
L'Oréal Spain,http://www.loreal.com/es-es/, +34 911 778 000,Board,General Manager,Juan Alonso de Lomas
L'Oréal North America,http://www.lorealusa.com, +1 212 818 1500,Board,CEO,David Greenberg
L-Bank,http://www.l-bank.de, +49 721 1500,Board,CEO,Edith Weymayr
L. Possehl,http://www.possehl.de, +49 451 1480,Board,CEO,Joachim Brenk
L'Oréal Thailand & Cambodia,http://www.lorealthailand.com, +66 2684 3000,Board,CEO,Patrick Girod
L-Nutra,http://www.l-nutra.com, +1 888 618 1281,Board,CEO & Chairman,Joseph Antoun
L'Oréal UK & Ireland,http://www.loreal.co.uk, +44 208 762 4000,Board,Managing Director,Thierry Cheval
L. Stroetmann,http://www.stroetmann.de, +49 2517 1820,Board,CEO,Lutz Stroetmann
