name,url,number,category,position,person_name
M Booth,http://www.mbooth.com, +1 212 481 7000,Board,CEO,Dale Bornstein
M Benefit Solutions,http://mben.com, +1 503 238 1813,N1,BusDev,J...
M Cash Integrasi,http://mcash.id, +62 213 048 0710,Board,CEO,Martin Suharlie
M Booth Health,http://mboothhealth.com, +1 212 886 2200,Board,CEO,Stacey Bernstein
M Financial Group,http://www.mfin.com, +1 503 232 6960,Board,CEO,Russell Bundschuh
M Group Services,http://www.mgroupservices.com, +44 143 874 3744,Board,CEO,Andrew Findlay
M I Homes,http://www.mihomes.com, +1 614 418 8800,Board,Chairman & CEO,Robert Schottenstein
M Oriental Bank,http://www.moriental.co.ke, +254 202 228 461,Board,CEO,Nitin Shendye
M Publicité,http://www.mpublicite.fr, +33 157 282 000,Board,Managing Director,Elisabeth Cialdella
M Science,http://mscience.com, +1 646 751 1433,Board,CEO,Michael Marrale
M Squared Lasers,http://www.m2lasers.com, +44 141 945 0500,Board,CEO,Graeme Malcolm
M Ventures,http://www.m-ventures.com, +49 615 1720,Board,Managing Director,Hakan Goker
M&A Capital Partners,http://www.ma-cp.com, +81 368 803 800,Board,President,Satoru Nakamura
M&C Saatchi,http://www.mcsaatchi.com, +44 207 543 4500,Board,CEO,Zaid Al-Qassab
M&A Research Institute,http://masouken.com, +81 364 555 875,Board,CEO,Shunsaku Sagami
M&C Saatchi AUNZ,http://mcsaatchi.com.au, +61 290 196 000,Board,CEO,Michael McEwan
M&C Saatchi Asia,http://mcsaatchi.com.asia, +65 9826 5656,Board,CEO,Richard Morewood
M&C Saatchi Abel,http://www.mcsaatchiabel.co.za, +27 214 211 024,Board,CEO,Mike Abel
M&C Saatchi GAD,http://mcsaatchigad.fr, +33 155 801 000,Board,President,Gilles Masson
M&C Saatchi Berlin,http://www.mcsaatchi.de, +49 306 096 0000,N1,Account,S...
M&C Saatchi One to One,http://www.mcsaatchi121.com, +44 207 544 3700,N1,Creative,B...
M&C Saatchi Malaysia,http://mcsaatchi.com.my, +60 320 946 355,Board,CEO,Sharifah Menyalara
M&C Saatchi Performance,http://www.mcsaatchiperformance.com, +44 207 543 4600,Board,CEO,Kabeer Chaudhary
M&C Saatchi Indonesia,http://www.mcsaatchi.egnyte.com/dl/Z2uNv36y3m, +62 215 020 1330,N1,Creative,D...
M&C Saatchi MENA,http://www.mcsaatchi.me, +961 120 4060,Board,CEO,Eli Khoury
M&C Saatchi Singapore,http://mcsaatchi.com.sg, +65 9826 5656,Board,Managing Director,Madina Kalyayeva
M&C Saatchi Sport & Entertainment,http://www.sportandentertainment.mcsaatchi.com, +1 646 619 2809,Board,President,Andrea Nirsimloo
M&C Saatchi Switzerland,http://www.mcsaatchi.ch, +41 225 961 890,Board,Founder & Creative,Olivier Girard
M&C Saatchi Tokyo,http://www.mcsaatchi.co.jp, +81 354 566 355,Board,CEO,Tamio Koshino
M&C Saatchi Talk,http://talk.global, +44 207 544 3600,Board,CEO,Jane Boardman
M&C Saatchi Turkey,http://mcsaatchi.com.tr, +90 216 485 0544,N1,CFO,Oktay Ustungor
M&G,http://www.mandgplc.com, +44 207 626 4588,Board,CEO,Andrea Rossi
M&G Investments Asia,http://www.mandg.sg, +65 6349 9000,Board,CEO,Andrea Rossi
M&G Investments,http://www.mandg.com/investments/charities/en-gb, +44 207 626 4588,Board,CEO,Joseph Pinto
M&C Saatchi United Kingdom,http://mcsaatchi.london, +44 207 543 4500,Board,CEO,Jo Bacon
M&R Hotel Management,http://www.mrhotelgroup.com, +1 516 279 4888,Board,CEO,Amit Gandhi
M&G Real Estate,http://www.mandg.co.uk/institutions/realestate/, +44 207 548 2375,Board,Director,Jonathan McClelland
M&S Bank,http://bank.marksandspencer.com, +44 1244 879080,Board,CEO,Paul Spencer
M&S Food,http://www.marksandspencer.com/c/food-and-wine, +44 208 718 5999,Board,Managing Director,Alex Freudmann
M&T Bank,http://www.mtb.com/about-mt, +1 716 842 5445,Board,Chairman & CEO,Rene Jones
M&T Bank Corp,http://www.mtb.com, +1 716 842 5445,Board,Chairman & CEO,Rene Jones
M&T Bank Connecticut,http://www3.mtb.com/peoples/main/small-business/financing/business-banking-expertstabs-1, +1 203 338 3942,N1,Business Banking Relationship,G...
M&T Bank New Hampshire,http://www.mtb.com/nh, +1 603 773 4025,Board,President,Dianne Mercier
M&T Bank Markets,http://www.newsroom.mtb.com/delaware, +1 716 842 544,Board,Markets,Mike Keegan
M&T Bank Massachusetts,http://https://locations.mtb.com/ma, +1 617 603 9316,N1,Commercial Lending Central ...,J...
M&T Bank New York,http://www.peoples.com/peoples/Main/Small-Business/Financing/Business-Banking-Expertstabs-5, +1 631 637 3722,Board,President,John Mast
M&T Bank Washington,http://www.mtb.com/wa/, +1 202 296 6886,Board,President,Cecilia Hodges
M-Files Corporation,http://www.m-files.com, +1 972 516 4210,Board,CEO,Antti Nivala
M+S Hydraulic,http://www.ms-hydraulic.com, +359 4316 5167,Board,Co-CEO,Milko Angelov
M&T Realty Capital,http://www.mandtrealtycapital.com, +1 410 5452450,Board,CEO,Michael Edelman
M-Net,http://www.mnetcorporate.dstv.com, +27 116 866 000,N1,Channels,J...
M-net Telekommunikations,http://www.m-net.de, +49 89 452000,Board,CEO,Nelson Kilius
M-KOPA Solar,http://www.m-kopa.com, +254 707 333 222,Board,CEO,Jesse Moore
M. P. Evans Group,http://www.mpevans.co.uk, +44 189 251 6333,Board,CEO & Director,Matthew Coulson
M. Holland Company,http://www.mholland.com, +1 847 272 7370,Board,CEO & Chairman,Edward Holland
M.J. Soffe,http://soffe.com, +1 910 483 2500,N1,Apparel Development,T...
M.E.N.S,http://m-e-n-s.de, +49 572 228 000,Board,CEO,Peter Klaproth
M.J. Maillis Group,http://www.maillis.com, +40 213 050 800,Board,CEO,Maria Glynou
M.H. Alshaya,http://www.alshaya.com, +971 4454 9000,Board,CEO,John Hadden
M.C. Dean,http://www.mcdean.com/, +1 571 262 8263,Board,CEO,Bill Dean
M.Jurgensen,http://www.m-juergensen.de, +49 4635 2990,Board,CEO,Andreas Willim
M.K. Real Estate Development,http://www.mk.co.th, +66 2216 6600,Board,CEO,Vorasit Pokachaiyapat
M.M.Warburg & Co Group,http://www.mmwarburggruppe.com, +49 403 2820,Board,CEO,Jan-Frederik Belling
M.M. Lafleur,http://www.mmlafleur.com, +1 212 300 4592,Board,CEO,Sarah LaFleur
M.M.Warburg & Co,http://www.mmwarburg.de, +49 403 2820,Board,Managing Director,Markus Bolder
M/A/R/C Research,http://www.marcresearch.com, +1 800 884 6272,Board,CEO,Merrill Dubrow
M.Video-Eldorado Group,http://www.mvideo.ru, +7 495 777 7775,Board,CEO,Sergey Li
M/H VCCP,http://mh-vccp.com, +1 415 255 6363,N1,Strategy,B...
Märklin,http://www.maerklin.de, +49 7161 6080,Board,Co-Managing Director,Wolfrad Bächle
Média Participations,http://www.media-participations.com, +32 153 263 151,Board,CEO,Julien Papelier
Médicis,http://www.mutuelle-medicis.com, +33 147 272 020,Board,CEO,Michel Clerc
MédiaKiosk,http://www.mediakiosk.fr, +33 1 41321830,Board,Managing Director,Marc Bollaert
Méliuz,http://www.meliuz.com, +55 312 516 6258,Board,CEO,Israel Salmen
Möbel Pfister,http://www.pfister.ch, +41 628 553 090,Board,CEO,Paul Holaschke
Médiamétrie,http://www.mediametrie.com, +33 147 589 758,Board,Chairman & CEO,Yannick Carriou
Müller Fleisch,http://www.mueller-fleisch.de, +49 723 148 380,Board,Managing Director,Stefan Mueller
Müller - Die lila Logistik,http://www.lila-logistik.com, +49 7143 8100,Board,CEO & Chairman,Michael Mueller
Mühl & Co.,http://www.cnc-muehl.de, +49 521 4599 7275,Board,Managing Director,Carola Landhäuser
Müller Group,http://www.muellergroup.com, +352 2663 0973,Board,Managing Director,Andreas Hoh
Mühlbauer,http://www.muehlbauer.de, +49 9461 9520,Board,CEO,Josef Muehlbauer
Müller Handels,http://www.mueller.de, +49 731 1740,Board,CEO,Erwin Mueller
Müller Martini Europe,http://https://www.mullermartini.com/de/system/standorte/europa/osterreich, +43 1706 4777,Board,Managing Director,Bernd Gosewehr
Müller Martini North America,http://www.mullermartini.com/de/system/standorte/nordamerika/kanada/team/, +1 631-582-434,Board,CEO,Andrew Fetherman
Müller Martini,http://www.mullermartini.com, +41 627 454 545,Board,CEO,Bruno Müller
Müller Martini Latam,http://www.mullermartini.com/en/system/contact/latin-america/mexico, +52 555 061 0070,Board,CEO,Hector Castro
Müller UK & Ireland,http://www.muller.co.uk, +44 125 236 6966,N1,South & Sales Ireland,D...
Müller Milk & Ingredients,http://www.muller.co.uk/our-brands/mueller-milk-ingredients/, +44 125 236 6966,Board,CEO,Rob Hutchison
Müller Textil,http://www.mullertextiles.com, +49 226 280 766,Board,Managing Director,Frank Müller
Müller Yogurt & Desserts,http://www.muller.co.uk/contact/mueller-yogurt-desserts/, +44 1980 677600,N1,COO,Jan Wegenaar
Münchener Hypothekenbank,http://www.muenchenerhyp.de, +49 895 387 800,Board,CEO,Holger Horn
Møllerens,http://www.mollerens.no, +47 5522 4610,Board,Managing Director,Jan Erik Eikeland
m-up,http://www.m-upholdings.co.jp, +81 354 677 125,Board,CEO,Koichiro Mitou
M1,http://www.m1.com.sg, +65 6655 1111,Board,CEO,Manjot Mann
M1 Finance,http://www.m1finance.com, +1 312 600 2883,Board,CEO,Brian Barnes
M1 Group,http://www.m1group.com, +961 135 6666,Board,CEO,Azmi Mikati
M1 Support Services,http://www.m1services.com, +1 940 323 1119,Board,CEO,George Krivo
M13,http://m13.co, +1 630 642 0215,Board,Managing Partner,Karl Alomar
M12,http://m12.vc, +1 573 639 9428,Board,Managing Director,Michelle Gonzalez
m2 Equipment Finance,http://www.m2equipmentfinance.com, +1 262 789 6670,Board,CEO,Richard Couch
M2 Orthopedics Partners,http://www.m2orthopartners.com, +1 860 889 7345,Board,CEO,Marshall Maran
M2i Global,http://www.m2i.global, +1 775 909 6000,Board,CEO,Alberto Rosende
M2 Transport,http://m2transport.com, +1 404 608 6020,Board,CEO,Steve McDonald
M24Seven,http://www.m247.com, +44 161 822 2580,Board,CEO,Darryl Edwards
M2P Fintech,http://m2pfintech.com, +91 444 055 4800,Board,CEO,Madhusudanan R
M2Bio Sciences,http://m2bio.co, +27 723 332 148,Board,CEO,Jeff Robinson
M2X Energy,http://m2x.energy, +1 7207022364‍,Board,CEO,Josh Browne
M3 Communications Group,http://www.m3bg.com, +359 2818 7010,Board,CEO & Chairman,Maxim Behar
M3 Insurance,http://www.m3ins.com, +1 608 273 0655,Board,CEO,Michael Victorson
M3 Group,http://www.m3-grp.com, +1 514 748 7738,Board,Chairman & CEO,Luc Bernard
M3,http://www.m3.com, +81 362 298 900,Board,President,Itaru Tanimura
M3 Metals,http://www.m3metalscorp.com, +1 604 669 2279,Board,CEO,Kosta Tsoutsis
M3 USA,http://www.usa.m3.com, +1 202 293 2288,Board,CEO,Aki Tomaru
M3 Logistics,http://m3logistics.com, +61 2 8610 2000,Board,CEO,Malcolm Stanton
m3 Groupe,http://m-3.group, +41 228 090 909,Board,Chairman & CEO,Abdallah Chatila
M42 Health,http://m42.ae, +971 2311 1111,Board,CEO,Hasan Al Nowais
M7 Real Estate Croatia,http://www.m7re.eu/hr, +385 1775 7153,Board,Managing Director,Mirta Ceranac Poljak
M7 Real Estate,http://m7re.eu, +44 203 657 5500,Board,CEO & Director,David Ebbrell
M7 Real Estate Denmark,http://m7re.eu/dk, +45 8988 2616,Board,Managing Director,Mikkel Mikkelsen
M6 Publicité,http://www.m6pub.fr, +33 141 926 666,Board,CEO,Hortense Thomine-Desmazu...
M7 Group,http://www.m7group.eu, +1 352 2609 6100,Board,CEO & COO,Hans Troelstra
Ma Laboratories,http://www.malabs.com, +1 408 941 0808,Board,CEO,Christine Rao
M7 Real Estate Germany,http://www.m7re.eu/de, +49 693 487 7910,Board,Managing Director,Peter Wenzel
M7 Real Estate Hungary,http://www.m7re.eu/hu, +36 1848 0671,Board,Managing Director,Balázs Magyar
M7 Real Estate Netherlands,http://www.m7re.eu/nl, +31 207 609 777,Board,Managing Director,Remko Dickhaut
M7 Real Estate UK,http://www.m7re.eu/contact/our-offices, +44 203 657 5500,Board,Managing Director,John Murnaghan
MAA,http://www.maac.com, +1 901 682 6600,Board,CEO & Chairman,Eric Bolton
MAA Group,http://www.maa.my, +60 362 568 000,Board,Executive Chairman,Yaacob Khyra
MAA Coastal,http://www.maac.com/florida/jacksonville, +1 901 682 6600,Board,Managing Director,Bob Donnelly
MAA East Region,http://www.maac.com/north-carolina/charlotte/cornelius, +1 901 682 6600,Board,Managing Director,Amber Fairbanks
MAA North Region,http://www.maac.com/tennessee/nashville, +1 901 682 6600,Board,Managing Director,Kim Banks
MAA South Region,http://www.maac.com/georgia/atlanta, +1 901 682 6600,Board,Managing Director,Jana Ellis
Maaf,http://www.maaf.fr, +33 549 343 536,Board,CEO,Antoine Ermeneux
MAA West Region,http://www.maac.com/texas/dallas/bella-casita, +1 901 682 6600,Board,Managing Director,Kylee Lambert
Maaco,http://maaco.com, +1 704 978 7112,Board,President,Daryl Hurst
Maaden,http://www.maaden.com.sa, +966 118 748 000,Board,CEO,Robert Wilt
Maandag,http://www.maandag.nl, +31 299 405 305,Board,CEO,Jacqueline Post
Maaf Health,http://www.maaf.fr/fr/mutuelle-sante, +33 549 343 536,Board,CEO,Nathalie Thool
Maamba Collieries,http://www.maambacoal.com, +260 211 256 010,Board,CEO,Cyrus Minwalla
Maan Aluminium,http://maanaluminium.com, +91 112 324 7870,Board,CEO,Viksit Chadha
Maanshan Iron and Steel,http://magang.com.cn, +86 555 288 3492,Board,General Manager & Finance,Zhang Wenyang
MaaT Pharma,http://www.maatpharma.com, +33 616 489 250,Board,CEO,Hervé Affagard
Mabey Group,http://www.mabey.com, +1 410 379 2800,Board,CEO,Kate Beauchamp
Mabanee,http://www.mabanee.com, +965 2224 4444,Board,CEO,Waleed AlSharian
Mabey Hire,http://www.mabeyhire.co.uk, +44 192 458 8757,Board,CEO,David Adams
Mabanaft,http://www.mabanaft.com, +49 4037 0040,Board,CEO,Jonathan Perkins
Mabuhay,http://www.mabuhayholdingscorp.com, +63 2750 2000,Board,President & Director,Esteban Pena Sy
Mabrey Bank,http://www.mabreybank.com, +1 918 366 4000,Board,CEO,Scott Mabrey
Mabl,http://www.mabl.com, +1 630 202 0847,Board,Co-Founder,Dan Belcher
MabPlex,http://www.mabplexinc.com, +86 535 611 3888,Board,CEO,Wei Chen
Mabuchi Motor,http://www.mabuchi-motor.co.jp, +81 477 101 111,Board,President & Director,Tohru Takahashi
MAC Air Group,http://www.macairgroup.com, +1 207 780 1811,Board,CEO,Allyn Caruso
MAC Cosmetics,http://www.maccosmetics.com, +1 212 572 4200,Board,General Manager,Aïda Moudachirou Rébois
Mabwell Biotech,http://www.mabwell.com, +86 215 858 5793,Board,President,Datao Liu
MacAndrews,http://www.macandrews.com, +49 4036 1580,Board,CEO,Rob Waterman
MAC Mode,http://mac-jeans.com, +49 9463 8550,Board,CEO,Karl-Heinz Gansbuehler
Macau Property Opportunities Fund,http://mpofund.com, +852 2292 6700,Board,Chairman of the Board,Mark Huntley
MacArthur Minerals,http://macarthurminerals.com, +61 732 211 796,Board,CEO,Cameron McCall
Macatawa Bank,http://www.macatawabank.com, +1 616 820 1444,Board,CEO,Jon Swets
MacAndrews & Forbes,http://www.macandrewsandforbes.com, +1 212 572 8600,Board,Chairman & CEO,Ronald Perelman
Macau Legend Development,http://www.macaulegend.com, +853 2822 2211,Board,CEO & Chairman,Chu Kwan Li
Maccaferri Latin America,http://www.maccaferri.com/br/en/company-profile, +55 114 525 5000,Board,CEO,Alexandre Marcos Texeira
Maccura Biotechnology,http://www.maccura.com, +86 288 173 1888,Board,CEO & Director,Mingjian Wu
Maccaferri Mexico,http://www.maccaferri.com.mx, +52 442 229 4300,Board,Managing Director,Giovanni Bellei
Macchi,http://www.macchiboiler.it, +39 331 738 111,Board,CEO,Roberto Testore
Maccaferri Group,http://www.maccaferri.com, +39 516 436 000,Board,CEO,Lapo Vivarelli Colonna
Macduff Shellfish Group,http://macduffshellfish.co.uk, +44 177 162 4000,N1,Fleet Operations,M...
Macdonald Real Estate Group,http://macdonaldpm.com, +1 604 263 1911,Board,CEO & Chairman,Lynn Hsu
Macdonald Mines Exploration,http://www.macdonaldmines.com, +1 416 364 4986,Board,Interim CEO,Mike England
Mace Group,http://www.macegroup.com, +44 289 092 3475,Board,Chairman & CEO (Jan 2025 -> ...,Mark Reynolds
Mace Group Construction,http://www.macegroup.com/sectors-and-services/construct, +44 289 092 3475,Board,CEO,Andrew Jackson
Macerich,http://www.macerich.com, +1 310 394 6000,Board,CEO,Jackson Hsieh
Mace Group Consultancy,http://www.macegroup.com/sectors-and-services/consult, +44 289 092 3475,Board,CEO,Davendra Dabasia
Mace Operate,http://www.macegroup.com/sectors-and-services/operate, +44 203 522 3000,Board,CEO,Ross Abbate
Mace Group Development,http://www.macegroup.com/sectors-and-services/develop, +44 289 092 3475,Board,Managing Director,Kevin Cowin
Mace Security International,http://www.mace.com, +1 216361​9555,Board,CEO & Chairman,Sanjay Singh
Macherey-Nagel,http://www.mn-net.com, +49 2421 9690,Board,CEO,Carolin Wagner
MacFarlane Group,http://www.macfarlanegroup.com, +44 141 333 9666,Board,CEO,Peter Atkinson
Mach 1 Global Services,http://www.mach1global.com, +1 480 921 3900,Board,CEO,Jamie Fletcher
Mach7 Technologies,http://www.mach7t.com, +1 802 861 7745,Board,CEO,Mike Lampron
