name,url,number,category,position,person_name
N Field Co,http://www.nfield.co.jp, +81 663 430 600,Board,CEO & President,Akira Kubo
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,Board,Interim Executive Chairman &...,Steve Johnson
N-Able Solutions,http://www.n-able.com, +44 138 230 9040,Board,CEO,John Pagliuca
N-Ergie Aktiengesellschaft,http://www.n-ergie.de, +49 9118 0201,Board,CEO,Josef Hasler
N-able,http://www.n-able.biz, +94 114 625 000,Board,CEO,Asanka Rajasinghe
NürnbergMesse Brasil,http://www.nuernbergmesse-brasil.com.br, +55 113205-5000,Board,CEO,João Picolo
Néovacs,http://www.neovacs.fr, +33 153 109 300,Board,CEO & Chairman,Hugo Brugière
N-Power Medicine,http://www.npowermedicine.com, +1 609 356 4363,Board,CEO,Mark Lee
Nürnberger,http://www.nuernberger.de, +49 911 5310,Board,CEO,Harald Rosenberger
N1 Holdings,http://www.n1holdings.com.au, +61 292 626 262,Board,Chairman & CEO,Ren Hor Wong
N26 DACH & Northern Europe,http://www.n26.com/en/careers/positions/3519770, +49 303 6428 6880,Board,General Manager,Daniel Lappas
N2 Publishing,http://www.n2pub.com, +1 910 202 0917,Board,CEO,Duane Hixon
N26,http://n26.com, +49 303 6428 6880,Board,Co-CEO,Valentin Stalf
N26 France,http://n26.com/fr-fr/, +33 977 559 666,Board,Managing Director,Jeremie Rosselli
N2G,http://www.n2g.com, +1 551 280 8244,Board,CEO,Kevin Strong
N2Growth,http://www.n2growth.com, +1 503 544 4297,Board,CEO,Kelli Vukelic
N3B Los Alamos,http://n3b-la.com, +1 505 661 5918,Board,CEO,Brad Smith
n2y,http://www.n2y.com, +1 419 433 9800,Board,CEO,Martin McKay
N2V,http://www.n2v.com, +966 114 774 245,N1,Office,N...
Na-kd.com,http://www.na-kd.com, +46 7225027 56,Board,CEO,Mattias Jacobsson
Nabaltec,http://www.nabaltec.de, +49 943 1530,Board,CEO,Johannes Heckmann
NaaS,http://ir.enaas.com, +86 8551 1868,Board,CEO & Director,Yang Wang
Naarmann,http://www.naarmann.de, +49 597 3300,Board,Managing Director,Claus Naarmann
Nabertherm,http://www.nabertherm.com, +49 4298 9220,Board,Managing Partner,Timm Grotheer
Nabholz,http://www.nabholz.com, +1 501 505 5800,Board,CEO,Jake Nabholz
Nabr,http://nabr.com, +44 855 373 5722,Board,CEO,Roni Bahar
Nabil Investment,http://www.nabilinvest.com.np, +977 1441 0554,Board,CEO,Manish Joshi
Nabriva Therapeutics,http://www.nabriva.com, +353 1649 2000,Board,Interim CEO,Christopher Naftzger
Nabil Bank,http://www.nabilbank.com, +977 1422 1718,Board,CEO,Gyanendra Dhungana
Nabors Industries,http://www.nabors.com, +1441 292 1510,Board,Chairman & CEO,Anthony Petrello
Nabtesco,http://www.nabtesco.com, +81 352 131 133,Board,CEO & Director,Kazumasa Kimura
Nacarat,http://www.nacarat.com, +33 320 148 484,Board,President,Ludovic Montaudon
NAC,http://www.nacoo.com, +81 333 462 111,Board,President & Director,Hiroshi Yoshimura
Nacap,http://www.nacap.com.au, +61 388 481 888,Board,President,Matthew O'Connell
Nabsys,http://www.nabsys.com, +1 401 276 9100,Board,CEO,Barrett Bready
Nacelle,http://www.nacelle.com, +1 212 843 8030,Board,CEO,Brian Anderson
NACO,http://naco.nl, +31 88 348 1300,Board,Director,Esther Kromhout
NACCO Natural Resources,http://nacco.com, +1 440 229 5151,Board,CEO,John Butler
Nachi-Fujikoshi,http://www.nachi-fujikoshi.co.jp, +81 764 235 111,Board,President & Director,Tsutomu Kurosawa
Nacon,http://www.nacongaming.com, +33 320 907 230,Board,Chairman & CEO,Alain Falc
Nadex,http://www.nadex.com, +1 312 884 0100,Board,CEO & Risk,Travis McGhee
Nadara,http://nadara.com, +44 131 243 1380,Board,CEO,Toni Volpe
Nadec,http://www.nadec.com, +966 112 027 777,Board,CEO,Solaiman Altwaijri
NAEEM,http://www.naeemholding.com, +20 235 316 142,Board,CEO & Vice Chairman,Youssef ElFar
Naef Holding,http://www.naef.ch, +41 228 393 939,Board,Managing Director,Virginie Galland
Naes,http://www.naes.com, +1 425 961 4700,Board,CEO,Mark Dobler
Naftna Indrustries Serbia,http://nis.eu, +381 214 811 111,Board,CEO,Kirill Tyurdenev
Naf Naf,http://www.nafnaf.com, +33 143 551 057,Board,Chairman & CEO,Selçuk Yilmaz
Nafpaktos Textile Industry,http://www.nafpaktos-yarns.gr, +30 263 402 7757,Board,CEO,Dimitrios Polychronos
Naftogaz,http://www.naftogaz.com, +380 445 863 537,Board,CEO,Oleksiy Chernyshov
Naga Architects,http://www.naga.ae, +971 2 642 9762,N1,COO,Hazar Al Jaber
NAGA Group,http://naga.com, +49 405 247 7910,Board,CEO,Octavian Patrascu
Nagad,http://www.nagad.com.bd, +880 960 961 6167,Board,CEO,Tanvir Mishuk
NagaCorp,http://www.nagacorp.com, +852 2877 3918,Board,CEO,Yiy Fon Chen
Nagahori,http://www.nagahori.co.jp, +81 338 364 711,Board,President,Keita Nagahori
Nagano Keiki,http://www.naganokeiki.co.jp, +81 337 765 311,Board,President & Chairman,Masatsugu Sato
Nagano Japan Radio,http://www.njrc.jp, +81 262 851 111,Board,President,Shoji Kubota
Nagaileben,http://www.nagaileben.co.jp, +81 352 898 200,Board,President,Ichiro Sawanobori
Nagano Bank,http://www.naganobank.co.jp, +81 263 273 311,Board,President,Hitoshi Nishizawa
Nagarro,http://www.nagarro.com, +1 408 436 6170,Board,CEO,Manas Fuloria
Nagawa,http://www.nagawa.co.jp, +81 352 888 666,Board,President,Osamu Takahashi
Nagatanien,http://www.nagatanien.co.jp, +81 334 322 514,Board,President,Taijiro Nagatani
Nagel & Sohn,http://www.nagelcargroup.de, +49 5423 2070,Board,CEO,Rolf Nagel
Nagel-Group,http://www.nagel-group.com, +49 5423 9600,Board,CEO,Carsten Taucke
NaGase,http://www.nagase.co.jp, +81 665 352 114,Board,CEO & Director,Kenji Asakura
Nagoya Stock Exchange,http://www.nse.or.jp, +81 382 2022 9710,Board,President,Masaki Takeda
Nahana Communications Group,http://www.nahanagroup.com, +27 115 666 000,Board,CEO,Thabang Skwambane
Nagomi Security,http://nagomi.security, +1 800 588 1656,Board,CEO,Emanuel Salmona
Nagra - Kudelski Group,http://www.nagra.com, +41 217 320 101,Board,CEO & Chairman,Andre Kudelski
Nagra Digital TV,http://www.dtv.nagra.com, +41 217 320 311,Board,Chairman & CEO,Andre Kudelski
Nahdi Medical,http://www.nahdi.sa, +966 800 119 1198,Board,CEO,Yasser Joharji
Nahar Spinning Mills,http://owmnahar.com/spinning/about.php, +91 161 260 0701,Board,Managing Director,Dinesh Oswal
NAI Black,http://www.naiblack.com, +1 509 623 1000,Board,CEO,Dave Black
NAHL Group,http://www.nahlgroupplc.co.uk, +44 1536527500,Board,CEO,James Saralis
Nahar Group of Companies,http://www.owmnahar.com, +91 161 260 0701,Board,Managing Director,Dinesh Oswal
NAI Charter,http://www.naicharter.com, +1 423 267 6549,Board,CEO,David DeVaney
NAI Brannen Goddard,http://www.naibg.com, +1 404 812 4000,Board,CEO & Chairman,Mitchell Brannen
Nai Desco,http://www.naidesco.com, +1 314 994 4444,Board,President,Mark Schnuck
NAI Chase Commercial,http://www.chasecommercial.com, +1 205 201 7300,Board,President,Charles Grelier
NAI Dileo Bram and Co,http://naidb.com, +1 732 985 3000,Board,Managing Director,Christopher Galiano
NAI Farbman,http://www.naifarbman.com, +1 248 353 0500,Board,CEO,Andrew Farbman
NAI FMA Realty,http://www.naifmarealty.com, +1 402 441 5800,Board,CEO,Drew Stange
NAI Geis Realty Group,http://www.naigeis.com, +1 610 989 0300,Board,President,Dean Geis
NAI Elliott,http://www.naielliott.com, +1 503 224 6791,Board,President,Jordan Elliott
NAI Global,http://www.naiglobal.com, +1 212 405 2500,Board,CEO,Jay Olshonsky
NAI Hanson,http://www.naihanson.com, +1 201 488 5800,Board,President,William Hanson
NAI Horizon,http://www.naihorizon.com, +1 602 955 4000,N1,Development & Industrial,I...
NAI Group,http://www.nai-group.com, +1 480 556 6066,N1,CFO,George Walter
NAI Indonesia,http://www.naiindonesia.com, +62 218 378 7868,Board,President,Hendrik Joewono
NAI Hunneman,http://www.hunnemanre.com, +1 617 457 3400,Board,CEO & COO,Stephen Prozinski
NAI Mertz,http://www.naimertz.com, +1 856 234 9600,Board,CEO & Chairman,Barry Mertz
NAI Michael,http://www.naimichael.com, +1 301 459 4400,Board,President,Gary Michael
NAI Northern California,http://nainorcal.com, +1 510 336 4712,Board,President,James Kilpatrick
NAI NP Dodge,http://www.nainpdodge.com, +1 402 255 6060,Board,President,Debra Graeve
NAI Ohio Equities,http://www.ohioequities.com, +1 614 224 2400,Board,President,Michael Simpson
NAI Robert Lynn,http://nairl.com, +1 214 256 7100,Board,CEO,George Dutter
NAI Pleasant Valley,http://naipvc.com, +1 216 831 3310,Board,Co-CEO,Gino Faciana
NAI Plotkin,http://sdplotkin.com, +1 413 781 8000,Board,CEO,Evan Plotkin
NAI Puget Sound Properties,http://www.nai-psp.com, +1 425 586 5600,Board,President,Tina Pappas
NAI Realvest,http://www.nairealvest.com, +1 407 875 9989,Board,CEO,Patrick Mahoney
NAI Summit,http://www.naisummit.com, +1 610 264 0200,N1,COO,Kelly Berfield
NAI Ruhl Commercial Company,http://www.ruhlcommercial.com, +1 563 355 4000,Board,President,Chris Beason
NAI Saig Company,http://www.saigcompany.com, +1 901 526 3100,Board,President,Edward Saig
NAI Terramont Commercial,http://www.naiterramont.ca, +1 514 866 3333,Board,Co-Managing Partner,Paul-Éric Poitras
NAI Southern Real Estate,http://www.srenc.com, +1 704 375 1000,Board,President,Caldwell Rose
Naim Holdings,http://www.naimproperties.com.my, +60 8241 1667,Board,Managing Director,Hasmi Hasnan
Naigai Trans Line,http://www.ntl-naigai.co.jp/en/, +81 662 604 701,Board,President,Akira Tsuneta
Naigai,http://www.naigai.co.jp, +81 358 223 800,Board,President,Kenji Imaizumi
Naikai Zosen,http://www.naikaizosen.co.jp, +81 845 272 111,Board,President,Kosaku Hara
Najafi Companies,http://www.najafi.com, +1 602 476 0600,Board,CEO,Jahm Najafi
Nakamuraya,http://www.nakamuraya.co.jp, +81 333 526 161,Board,CEO,Hiroyuki Shimada
Najm,http://najm.sa, +966 920 000 560,Board,CEO,Mohammed Al Shehri
