name,url,number,category,position,person_name
Q BioMed,http://www.qbiomed.com, +1 212 588 0022,Board,CEO,Denis Corin
Q Underwriting,http://www.qunderwriting.com, +44 330 058 9700,N1,Underwriting,M...
Q&K International Group,http://us.qk365.com, +86 105 900 1548,Board,CEO & Chairman,Chengcai Qu
Q Life and Medical Insurance,http://www.qlm.com.qa, +974 4453 3666,Board,CEO,Fahad Al Suwaidi
Q Holding,http://qholding.com, +971 4323 1141,Board,CEO,Bill O'Regan
Q-free,http://www.q-free.com, +351 214 227 170,Board,Chairman of the Board,Mark Talbot
Q-Lab,http://www.q-lab.com, +1 440 835 8700,Board,CEO,Doug Grossman
Q'Apel Medical,http://www.qapelmedical.com, +1 510 738 6255,Board,CEO,Jodie Fam
Q-Centrix,http://www.q-centrix.com, +1 603 294 1145,Board,CEO,Milton Silva-Craig
Q-Gold Resources,http://www.qgoldresources.com, +1 928 779 0166,Board,Director,Tito Ghandi
Q-Park UK,http://www.q-park.co.uk, +44 113 238 4200,Board,Managing Director,Adam Bidder
Q-linea,http://www.qlinea.com, +46 8444 3610,Board,CEO,Stuart Gander
Q-Park Résa,http://www.q-park-resa.fr/en, +33 810 077 275,Board,General Director,Michele Salvadoretti
Q-Park,http://q-park.com, +31 900 446 6880,Board,CEO & Chairman,Frank De Moor
Q-Park Denmark,http://www.q-park.dk/dk, +45 7025 7212,Board,Managing Director,Alex Pedersen
Q_Perior,http://www.q-perior.com, +49 8945 5990,N1,CFO & Ventures,Michael Girke
Q2,http://www.q2.com, +1 512 275 0072,Board,Chairman & CEO,Matt Flake
Q1Media,http://www.q1media.com, +1 512 388 2300,Board,CEO,Bill Wiemann
Q2 Solutions,http://www.q2labsolutions.com, +1 855 277 9929,Board,CEO,Brian O'Dwyer
q.beyond,http://www2.qbeyond.de, +49 221 669 8000,Board,CEO,Thies Rixen
Q32 Bio,http://www.q32bio.com, +1 917 548 1582,Board,CEO,Jodie Morrison
QA Higher Education,http://www.qahighereducation.com, +44 207 656 8400,Board,CEO,Simon Nelson
Q4,http://www.q4inc.com, +1 416-626-782,Board,CEO,Darrell Heaps
QA,http://www.qa.com, +44 845 757 3888,Board,Chairman of the Board,Charlie Mayfield
