name,url,number,category,position,person_name
S Immo,http://www.simmoag.at, +43 501 002 7521,Board,Chairman of the Board,Martin Matula
S Science,http://www.s-science.jp, +81 335 733 721,Board,President,Yasuhiro Fukumura
S Foods,http://www.sfoods.co.jp, +81 798 431 065,Board,President,Shinnosuke Murakami
S Line Co,http://sline.co.jp, +81 125 698,Board,President,Yoshihiko Yamaguchi
S&B Engineers and Constructors,http://www.sbec.com, +1 713 645 4141,Board,CEO,Jeff Sipes
S&B Foods,http://www.sbfoods.co.jp, +81 336 680 551,Board,President,Kazuya Ikemura
S&C Electric,http://www.sandc.com, +1 773 338 1000,Board,CEO,Anders Sjoelin
S&P Commodity Insights,http://www.spglobal.com/commodityinsights/en/about, +44 207 176 6111,Board,President,Saugata Saha
S&ME,http://www.smeinc.com, +1 513 771 8471,Board,CEO,Matt Ryan
S&G,http://www.sug.de, +49 7219 5650,Board,Managing Director,Achim Quitz
S&P Dow Jones Indices,http://www.spglobal.com/spdji/en/, +1 212 438 2000,Board,CEO,Dan Draper
S&P Global Ratings,http://www.spratings.com, +1 212 438 2000,Board,President (-> Nov 1 2024),Martina Cheung
S&P Global,http://www.spglobal.com, +1 212 438 1000,Board,CEO (Director on Nov 1 2024)...,Douglas Peterson
S&P Global Market Intelligence,http://www.spglobal.com/marketintelligence/en/index, +1 212 438 1000,Board,President,Adam Kansler
S&P Data,http://www.spdatadigital.com, +1 905 645 5610,Board,CEO,Dan Plashkes
S&P Global Sustainable 1,http://www.spglobal.com/esg/, +1 212 438 1000,Board,President,Christopher Heusler
S&S Activewear,http://www.ssactivewear.com, +1 630 679 9940,Board,CEO,Frank Myers
S&T Bancorp,http://www.stbancorp.com, +1 724 465 4457,Board,CEO,Christopher McComish
S&T Bank Business,http://www.stbank.com/content/business/our-team/default.aspx, +1 877 442 8348,Board,Business Banking,Evan Dickinson
S&T Bank,http://www.stbank.com, +1 724 465 4457,Board,CEO,Christopher McComish
S&T Dynamics,http://www.hisntd.com, +82 552 805 000,Board,Senior Managing Director,Jin Young Kim
S&W Seed Company Australia,http://www.swseedco.com.au, +61 882 716 000,Board,President,Travis Dillon
S&U,http://www.suplc.co.uk, +44 121 705 7777,Board,Chairman of the Board,Anthony Coombs
S-Communication Services,http://www.s-communication.de, +49 30 246 3683,Board,Managing Director,Jochen Maetje
S&W Seed Company,http://www.swseedco.com, +1 559 884 2535,Board,CEO,Mark Herrmann
S-Pankki,http://s-pankki.fi, +358 1076 8011,Board,CEO,Riikka Laine-Tolonen
S-One Holdings Corporation,http://sone.com, +1 941 256 7800,Board,CEO,Ron Simkins
S-Oil,http://www.s-oil.com, +82 237 725 151,Board,CEO,Anwar Al-Hejazi
S-Payment,http://www.s-payment.com, +49 711 7829 9230,Board,General Manager,Frank Buettner
S-Kreditpartner,http://www.s-kreditpartner.de, +49 306 2008 0400,Board,Managing Director,Heinz-Guenter Scheer
S.A.G. Solar,http://www.sagsolar.com, +49 761 4770 41,Board,CEO,David Hogg
S-Pool,http://www.spool.co.jp, +81 368 595 559,Board,President & Chairman,Sohei Urakami
S. M. Wilson,http://www.smwilson.com, +1 314 645 9595,Board,Interim President,Rebecca Cornatzer
S-Pensionsmanagement,http://www.s-pension.de, +49 22198 544 0,Board,CEO,Thomas Gruentker
S.A. Talke,http://www.sa-talke.com, +966 3359 9448,Board,Managing Director,Mark Benzahia
S.i. Systems,http://www.sisystems.com, +1 403 263 1200,Board,CEO,Traci Fiatte Thomas
S.P. Hinduja,http://www.sphinduja.com, +41 229 060 808,Board,CEO,Karam Hinduja
S:t Erik Forsakring,http://www.sterikforsakring.se, +46 850 829 000,Board,Managing Director,Mattias Westerlund
S.Oliver,http://soliver-gruop.com, +49 9302 3090,N1,CFO,Kai Bauknecht
S.S.C Napoli,http://www.sscn.it, +39 815 095 344,Board,President,Aurelio Laurentiis
Sähkö Saarelainen,http://www.sahko-saarelainen.fi, +358 103 975 004,Board,CEO,Antti Saarelainen
Sýn,http://www.syn.is, +354 599 9000,Board,CEO,Páll Ásgrímsson
S:t Erik Markutveckling,http://www.sterikmark.se, +46 850 829 000,Board,Acting CEO,Magnus Thulin
S2 Capital,http://www.s2cp.com, +1 214 646 9901,Board,CEO,Scott Everett
Sénégalaise des Eaux,http://sde.sn, +221 338 393 737,Board,Managing Director,Abdoul Ball
S3 Connected Health,http://www.s3group.com/connected-health/, +353 1291 1000,Board,CEO,John O'Brien
SA Corporate Real Estate,http://www.sacorporatefund.co.za, +27 215 298 410,Board,CEO,Rory Mackey
s2e Technologies,http://s2etech.com, +1 519 664 3636,Board,CEO,Milfred Hammerbacher
S4Capital,http://www.s4capital.com, +44 203 793 0003,Board,Chairman of the Board,Martin Sorrell
S2W Media,http://www.s2wmedia.com, +1 866 924 9499,Board,President,Puneet Shukla
Sa.Global,http://www.saglobal.com, +1 888 350 3123,Board,CEO,Stephen James
Saab Australia,http://www.saab.com/region/saab-australia/, +61 883 433 800,Board,Managing Director,Andy Keough
Saab,http://www.saab.com, +46 8463 0000,Board,CEO,Micael Johansson
SA Taxi,http://www.sataxi.co.za, +27 674 206 708,Board,CEO,Terry Kier
SA Water,http://www.sawater.com.au, +61 874 241 735,Board,CEO,David Ryan
Saab Seaeye,http://www.seaeye.com, +44 148 989 8000,Board,Managing Director,Jon Robertson
Saab Digital Air Traffic Solutions,http://www.saab.com/sites/saab-digital-air-traffic-solutions, +46 1318 0000,Board,CEO,Per Ahl
Saab North America,http://www.saabgroup.com/en/Markets/Saab-North-America/, +1 703 406 7900,Board,CEO,Michael Andersson
Saacke,http://www.saacke.com, +49 4216 4950,Board,CEO,Christian Ausfelder
Saagie,http://www.saagie.com, +33 272 883 169,Board,CEO,Patrick Samama
Saalex Solutions,http://www.saalex.com, +1 805 482 1070,Board,CEO & Chairman,Travis Mack
Saama,http://www.saama.com, +1 408 371 1900,Board,CEO,Bhaskar Sambasivan
Saankhya Labs,http://saankhyalabs.com, +91 804 922 1000,Board,CEO,Parag Naik
SAAIA,http://www.saaia.com, +1 310 553 3252,Board,CEO,Nelson Algaze
Saam Assurance,http://www.saam-assurance.com, +33 149 641 168,Board,CEO,Laurent Haumont
SaarLB,http://www.saarlb.de, +49 681 3831391,Board,CEO,Thomas Bretzger
Saarloha Advanced Materials Private,http://saarloha.com, +91 206 621 5000,Board,CEO,V. Balasubramanian
Saarbruecker Zeitung,http://www.saarbruecker-zeitung.de, +49 681 502 502,Board,CEO,Thomas Deicke
