name,url,number,category,position,person_name
U M Cables,http://umcablesltd.com, +91 223 064 5400,Board,CEO,DM Karandikar
U and I Group,http://www.uandiplc.com, +44 207 828 4777,Board,CEO,Mike Hood
U Power,http://upincar.com, +86 191 0178 6831,Board,Chairman & CEO,Jia Li
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,Board,Vice Chairman & Managing Dir...,Shachindra Nath
U Microfinance Bank,http://www.ubank.com.pk, +92 511 1128 2265,Board,Acting CEO,Mohamed Essa Al Taheri
U-Haul,http://www.uhaul.com, +1 602 263 6601,Board,CEO,Edward Shoen
U-Haul Holding,http://investors.uhaul.com, +1 775 688 6300,Board,Chairman & President,Edward Shoen
U-Next Holdings,http://www.unext.co.jp, +81 368 232 000,Board,Managing Director,Kimimasa Tamura
U-Boat Worx,http://uboatworx.com, +31 765 713 096,Board,CEO,Bert Houtman
U-Ming Marine,http://www.uming.com.tw, +886 227 338 000,Board,General Manager,Choo Kiat Ong
U-shin,http://www.u-shin-ltd.com, +81 354 014 670,Board,CEO & Director,Hidenori Kawakami
U.S. GoldMining,http://goldmining.com, +1 630 1000,Board,CEO,Tim Smith
U.S. Mobile Phones,http://usmphones.com, +1 908 845 3844,Board,CEO,David Mosseri
U.S. Pipe,http://uspipe.com, +1 866 347 7473,Board,President,Ray Torok
U.S. Borax,http://borax.com, +1 773 270 6500,Board,General Manager,Renny Dillinger
U10,http://www.u10.fr, +33 437 431 260,Board,CEO,Thierry Lievre
u-blox,http://www.u-blox.com, +41 447 227 444,Board,CEO,Stephan Zizala
UAC,http://www.uacrussia.ru, +7 495 926 1420,Board,President,Yuri Slyusar
UAB Merko Statyba,http://www.merko.lt, +370 5210 5330,Board,Managing Director,Saulius Putrimas
U2L Learning Solutions,http://u2lacademy.com, +91 730 473 2368,Board,CEO,Ramkumar Venkateswaran
UAC Berhad,http://www.uac.com.my, +60 377 219 393,Board,CEO,Loon Wai
UAC of Nigeria,http://www.uacnplc.com, +234 1266 3176,Board,Managing Director,Folasope Aiyesimoju
Uala,http://www.uala.com.ar, +54 810 345 8252,Board,CEO,Pierpaolo Barbieri
UACJ Foil,http://ufo.uacj-group.com, +81 358 472 800,Board,President,Akito Imaizumi
UACJ,http://uacj.co.jp, +81 362 022 600,Board,President,Shinji Tanaka
UAP Insurance Tanzania,http://www.uaptanzania.co.tz, +255 222 137 324,Board,Managing Director,Donald Muthe
UAP Insurance Uganda,http://www.uapoldmutual.co.ug, +256 414 332 700,Board,Managing Director,Stephen Chikovore
UAW Trust,http://www.uawtrust.org, +1 866 637 7555,Board,Chairman of the Board,Robert Naftaly
UBA America,http://www.ubany.com, +1 212 308 7222,Board,CEO,Adesola Yomi-Ajayi
UAP Life Assurance Uganda,http://www.uapoldmutual.co.ug/about-uap-old-mutual/, +256 414 332 870,Board,Managing Director,Patrick Kimathi
UBA Ghana,http://www.ubagroup.com/countries/gh/, +233 302 689 511,Board,CEO,Uzoechina Molokwu
UBA Kenya Bank,http://www.ubakenya.com, +254 203 612 0002,Board,CEO,Mary Mulili
UBA Liberia,http://www.ubaliberia.com, +231 880 560 509,Board,Managing Director,Ayokunle Olajubu
UBA Benin,http://www.ubabenin.com, +229 2131 2424,Board,CEO,Charles Kone
UBA Cameroon,http://www.ubacameroon.com, +237 233 506 782,Board,Managing Director,Jude Anele
UBA Pensions Custodian,http://ubapensions.com, +234 127 180 004,Board,Managing Director,Benediction Ogwu
UBA Mali,http://www.ubamali.com, +223 4497 9599,Board,Managing Director,Hacko Rokia Koné
UBA Sierra Leone,http://www.ubasierraleone.com, +232 7820 0200,Board,CEO,Mohamed Alhaji Samoura
UBA Senegal,http://www.ubasenegal.com, +221 338 595 100,Board,CEO,Tony Odeigah
UBA Tanzania,http://www.ubatanzania.co.tz, +255 222 863 451,Board,CEO,Gbenga Makinde
UBA Zambia,http://www.ubazambia.com, +260 9211255 951,Board,CEO,Chinedu Obeta
UBA Uganda,http://www.ubauganda.com, +256 780 142 329,Board,CEO,Chioma Mang
UBA UK,http://www.ubagroup.com/uk/leadership/, +44 207 766 4600,Board,Managing Director,Theresa Henshaw
UBAE,http://www.bancaubae.it, +39 642 3771,Board,General Manager,Maurizio Valfré
UBank,http://www.ubank.com.au, +61 2 8756 0855,Board,CEO,Philippa Watson
UBB,http://www.ubb.bg, +359 2981 0529,Board,CEO & Bulgaria,Peter Roebben
Ubee Interactive,http://www.ubeeinteractive.com, +886 3560 0010,Board,CEO,Leonard Kao
Ube Industries,http://www.ube-ind.co.jp, +81 354 196 110,Board,President & Director,Masato Izumihara
Ubeeqo,http://ubeeqo.be, +32 178 164 570,N1,Finance,G...
Uber,http://uber.com, +1 415 986 2715,Board,CEO,Dara Khosrowshahi
Uber Australia,http://uber.com/cities/sydney, +1 300 091 272,Board,Managing Director,Emma Foley
Uber APAC,http://uber.com/cities/singapore/, +65 800 101 3611,Board,General Manager,Pradeep Parameswaran
Uber Belgium,http://www.uber.com/cities/brussels, +27 800 172 956,Board,CEO,Laurent Slits
Uber EMEA,http://www.uber.com/cities/amsterdam, +31 208 082 778,N1,Business,E...
Uber Canada,http://uber.com/en-CA/drive/toronto/, +1 800 593 7069,Board,General Manager,Rex Shrwatz
Uber France,http://uber.com/fr/, +1 800 593 7069,Board,General Manager,Laureline Serieys
Uber Health,http://www.uberhealth.com, +1 415 801 4068,Board,General Manager,Caitlin Donovan
Uber LATAM,http://www.uber.com/en-VN/cities/mexico-city, +1 415 801 4068,Board,Latin America,Eduardo Donnelly
Uber Freight,http://www.uberfreight.com, +1 415 801 4068,Board,CEO,Lior Ron
Uber India,http://www.uber.com/cities/new-delhi, +91 789 990 0011,Board,President,Prabhjeet Singh
Uber US,http://uber.com/cities/new-york, +1 415 801 4068,N1,Safety US & Canada,G...
Uberall,http://uberall.com, +49 302 0847 9320,Board,CEO,Anthony Foy
Uberflip,http://www.uberflip.com, +1 416 900 3830,Board,CEO,Jeremy Schultz
UberEats,http://ubereats.com, +1 415 801 4068,Board,CEO,Dara Khosrowshahi
Uber UK,http://uber.com/en-GB/cities/london-ont/, +44 7916 264207,Board,General Manager,Andrew Brem
Ubicom,http://www.ubicom-hd.com, +81 358 037 339,Board,CEO,Masayuki Aoki
Ubiquiti,http://www.ubnt.com, +1 408 942 3085,Board,CEO & Chairman,Robert Pera
Ubiik Mimomax,http://ubiikmimomax.com, +1 -8444300599,Board,President,Paul Reid
Ubicquia,http://www.ubicquia.com, +1 484 542 3998,Board,CEO,Ian Aaron
Ubiik,http://www.ubiik.com, +886 3668 4886,Board,CEO,TH Peng
Ubiquity Global Services,http://ubiquity.com, +1 212 375 1500,Board,CEO,Matthew Nyren
Ubiqus Belgium,http://www.ubiqus.be, +32 2725 2370,N1,Sales,L...
Ubiqus On Demand,http://www.ubiqus.io, +33 144 141 516,Board,CEO & CFO,Guillaume Dumortier
Ubisoft Entertainment,http://www.ubisoft.com, +33 148 185 000,Board,Chairman & CEO,Yves Guillemot
Ubiquitous Energy,http://ubiquitous.energy, +1 617 416 7080,Board,CEO,Susan Stone
UBL,http://www.ubldigital.com, +92 111 825 888,Board,CEO,Muhammad Jawaid Iqbal
UBL UK,http://www.ubluk.com, +44 207 290 8000,Board,CEO,Brian Firth
UBL Insurers,http://www.ublinsurers.com, +92 213 531 4504,Board,CEO,Zeeshan Raza
UBM Development,http://www.ubm-development.com, +43 506 260,Board,CEO,Thomas Winkler
UBL Fund Managers,http://www.ublfunds.com.pk, +92 213 529 0080,Board,CEO,Yasir Qadri
UBN Insurance Brokers,http://www.ubninsurancebrokersltd.com, +234 1271 6800,Board,CEO,Tunji Orisabinone
UBP,http://www.ubp.com, +41 588 192 111,Board,CEO,Guy De Picciotto
UBP Singapore,http://www.ubp.com/fr/nos-bureaux/ubp-singapour, +65 6730 8088,Board,CEO,Eric Morin
