name,url,number,category,position,person_name
V&A,http://www.vaengineering.com, +1 510 903 6600,Board,President,Debra Kaye
V Technology,http://www.vtec.co.jp, +81 453 381 980,Board,CEO,Shigeto Sugimoto
V-Cube,http://www.vcube.com, +81 354 757 250,Board,CEO,Naoaki Mashita
V-Guard Industries,http://www.vguard.in, +91 484433 5000,Board,Managing Director,Mithun K Chittilappilly
V B H,http://www.vbh.de, +49 715 0150,Board,Co-Managing Director,John Smits
V-Markt,http://www.v-markt.de, +49 8341 8070,Board,Managing Director,Helmut Hermann
V-Mart,http://www.vmart.co.in, +91 931 369 9995,Board,Managing Director,Lalit Agarwal
V-Soft Consulting,http://www.vsoftconsulting.com, +1 502 425 8425,Board,CEO,Radhika Veer
V-Trans,http://www.vtransgroup.com, +91 226 739 999,Board,Managing Director,Mahendra Shah
V-me,http://www.vmetv.com, +1 212 273 4800,Board,CEO,Carmen DiRienzo
V-Wave,http://www.vwavemedical.com, +972 773 168 550,Board,CEO,Neal Eigler
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,Board,CEO & Director,René Kofod-Olsen
Vālenz Health,http://www.valenzhealth.com, +1 877 601 2200,Board,CEO,Rob Gelb
V-Zug,http://www.vzug.com, +41 417 676 767,Board,CEO,Peter Spirig
V/Line,http://vline.com.au, +61 396 192 727,Board,CEO,Matt Carrick
Va-Q-Tec,http://www.va-q-tec.com, +49 931 359 420,Board,CEO,Joachim Kuhn
V2X,http://gov2x.com, +1 571 481 2000,Board,CEO,Jeremy Wensinger
Vía Augusta,http://www.via-augusta.com, +34 976 570 930,Board,CEO,Carmelo Gonzalez
V3 Insurance Partners,http://www.v3ins.com, +1 877 430 0085,Board,Chairman of the Board,Jim Stanard
Vaal Central Water,http://vaalcentralwater.co.za, +27 514 030 800,Board,CEO,L Moorosi
Vacansoleil,http://vacansoleil.nl, +31 402 392 092,Board,CEO,Jan Verschoor
Vaalco Energy,http://vaalco.com, +1 713 623 0801,Board,CEO & Director,George Maxwell
Vacasa,http://www.vacasa.com, +1 503 345 9399,Board,CEO,Rob Greyber
Vacco Industries,http://www.vacco.com, +1 626 443 7121,Board,President,Ahmed Tanahy
Vaccinex,http://www.vaccinex.com, +1 585 271 2700,Board,CEO & Director,Maurice Zauderer
Vacheron Constantin,http://www.vacheron-constantin.com, +41 229 302 005,Board,Interim CEO & Commercial,Laurent Perves
Vaco,http://www.vaco.com, +1 615 324 8226,Board,CEO,Brian Waller
Vacuumschmelze,http://vacuumschmelze.com, +49 618 1380,Board,CEO,Erik Eschen
VAG,http://www.vag-group.com, +49 621 7490,Board,CEO,Jan Nopper
Vade Secure,http://www.vadesecure.com, +33 328 328 888,Board,CEO,Georges Lotigier
Vagaro,http://vagaro.com, +1 925 464 1932,Board,CEO,Fred Helou
VAIA Technologies,http://vaia-tech.com, +1 508 366 1106,Board,President,Scott Crawley
Vahdam Teas,http://www.vahdam.com, +91 114 107 3406,Board,CEO,Bala Sarda
Vaibhav Global,http://www.vaibhavglobal.com, +91 141 277 0648,Board,Managing Director,Sunil Agrawal
Vail Resorts,http://vailresorts.com, +1 303 404 1800,Board,CEO,Kirsten Lynch
Vaillant Germany,http://www.vaillant.de, +49 219 157 6792,N1,Data & Analytics,I...
Vaio,http://www.vaio.com, +81 263 870 810,Board,CEO,Masaki Yamano
Vaisala,http://www.vaisala.fi, +358 989 491,Board,CEO,Kai Öistämö
Vakif Factoring,http://www.vakiffactoring.com.tr, +90 212 355 5555,Board,General Manager,Bulent Atilgan
Vaillant Group,http://www.vaillant-group.com, +49 219 1180,Board,CEO,Norbert Schiedeck
Vakif Leasing,http://www.vakifleasing.com.tr, +90 212 337 6767,Board,General Manager,Mustafa Erdin
VakifBank,http://www.vakifbank.com.tr, +90 212 398 1022,Board,CEO,Abdi Serdar Ustunsalih
Vakifbank International,http://www.vakif-bank.de, +49 221 2806 4670,Board,CEO,Taner Ayhan
Valard,http://www.valard.com, +1 780 436 9876,Board,President,Carey Kostyk
Vakrangee,http://www.vakrangee.in, +91 222 850 4028,Board,CEO,Dinesh Nandwana
Valaris,http://www.valaris.com, +1 713 789 140,Board,CEO,Anton Dibowitz
Valartis Group,http://www.valartis.ch, +41 417 607 020,Board,Chairman & CEO,Gustav Stenbolt
Valbiotis,http://www.valbiotis.com, +33 546 286 258,Board,CEO & Chairman,Sébastien Peltier
Valbridge Property Advisors,http://www.valbridge.com, +1 239 514 4646,Board,Interim CEO,Pledger Bishop
Valcom,http://www.valcom.co.jp, +81 668 571 811,Board,President,Hideo Nemoto
Vale,http://www.vale.com, +55 213 814 4477,Board,CEO (-> Dec 2024),Eduardo Bartolomeo
Vale Group,http://vulcanrealestate.com, +1 206 342 2000,Board,Chairman,Jody Allen
Valdel,http://www.valdel.com, +91 804 191 0000,Board,Managing Director,MJ Shantharam
Vale Base Metal,http://www.vale.com/basemetals, +1 416 361 7511,Board,CEO (Dec 2024 ->),Shaun Usmar
Valdel Engineers & Constructors,http://www.valdelec.com, +91 120 439 8500,Board,Managing Director,M J Shantharaam
Vale Indonesia,http://www.vale.com/indonesia/, +62 215 249 000,Board,CEO,Febriany Eddy
Vale Japan,http://valejapan.com, +81 598 511 771,N1,Sales Iron Ore,R...
Vale TV,http://www.valetv.com, +58 212 793 2146,Board,Founding Director,Maria Eugenia Mosquera
Valencia CF,http://valenciacf.com, +34 963 372 626,Board,President,Anil Murthy
Valence Surface Technologies,http://www.valencesurfacetech.com, +1 323 770 0240,Board,CEO,Chris Celtruda
Valent BioSciences,http://www.valentbiosciences.com, +1 847 968 4700,N1,HR,C...
Valent de Mexico,http://www.valent.mx, +52 33 3110 016,Board,General Director,César Parada
Valent Group,http://www.valentgroup.com, +1 205 262 2700,Board,President,Kurt Close
Valens,http://www.valens.com, +972 9762 6900,Board,CEO & Director,Gideon Ben-Zvi
Valent USA,http://www.valent.com, +1 925 256 2700,Board,CEO,Matt Plitt
Valeo Germany,http://www.valeo.de, +49 714 2730,Board,Managing Director,Holger Schwab
Valentino Americas,http://www.valentino.com/en-ca, +1 390 262 4921,Board,CEO,Daniel Paltridge
Valeo Foods,http://www.valeofoodsgroup.com, +353 1 405 1500,Board,CEO,Ronald Kers
Valentino,http://www.valentino.com, +39 262 4921,Board,CEO,Jacopo Venturini
Valeo,http://www.valeo.com, +33 148 988 600,Board,CEO & Director,Christophe Perillat-Pira...
Valerio Therapeutics,http://www.valeriotx.com, +33 145 587 600,Board,CEO & Director,Shefali Agarwal
Valerie Wilson Travel,http://valeriewilsontravel.com, +1 212 532 3400,Board,Founder & CEO,Valerie Ann Wilson
Valeo Japan,http://www.valeo.co.jp, +81 332 269 203,Board,President,Ali Ordoobadi
Valero Energy,http://valero.com, +1 210 345 2000,Board,CEO & President,Lane Riggs
Valeo Pharma,http://www.valeopharma.com, +1 514 694 0150,Board,CEO & Vice Chairman,Steve Saviuk
Valeura Energy,http://www.valeuraenergy.com, +1 403 237 7102,Board,President & CEO,Sean Guest
Valextra,http://www.valextra.com, +39 299 786 000,Board,CEO,Xavier Rougeaux
Valhi,http://www.valhi.net, +1 972 233 1700,Board,CEO,Robert Graham
Valet Living,http://valetliving.com, +1 813 248 1327,Board,President & CEO,Shawn Handrahan
Valiant,http://www.valiant.ch, +41 313 209 111,Board,CEO,Ewald Burgener
Valiant Energy Service,http://valiantenergyservice.com, +1 908 651 0938,Board,President,James Collins
Valiantys,http://valiantys.com, +33 562 244 762,Board,CEO,Emmanuel Benoit
Valid,http://ri.valid.com, +55 212 195 7200,Board,CEO,Ilson Bressan
Valicor Environmental Services,http://www.valicor.com, +1 513 733 4666,Board,CEO,Steve Hopper
Valiant Integrated Services,http://www.onevaliant.com, +1 703 462 7750,Board,CEO,Mike Devoto
Validant,http://www.validant.com, +1 415 400 2600,Board,CEO,Tim Dietlin
Validic,http://www.validic.com, +1 800 495 7934,Board,CEO,Drew Schiller
Valida,http://www.valida.at, +43 1 31648,Board,CEO,Martin Sardelic
Validis,http://validis.com, +44 844 375 9070,Board,CEO,Michael Turner
Validity,http://www.validity.com, +1 800 961 8205,Board,CEO & Chairman,Mark Briggs
Validity Finance,http://www.validityfinance.com, +1 646 798 7168,Board,CEO,Ralph Sutton
ValidSoft,http://validsoft.com, +44 203 170 8125,Board,Chairman & CEO,Pat Carroll
Validus Energy,http://validus-energy.com, +1 833 907 1848,Board,CEO,Cameron Brown
Valimail,http://www.valimail.com, +1 415 354 6179,Board,CEO,Alexander Garcia-Tobar
Valin,http://www.valin.com, +1 408 730 9850,Board,CEO,Joseph Nettemeyer
