name,url,number,category,position,person_name
W Capital Partners,http://www.wcapgroup.com, +1 212 561 5240,Board,Managing Partner,David Wachter
W Kohlhammer,http://www.kohlhammer.de, +49 7117 8630,Board,Managing Director,Leopold Freiherr von und...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,Board,CEO,Tracy Krohn
W&O Supply,http://www.wosupply.com, +1 619 656 7420,Board,President,Michael Hume
W&S Financial Group Distributors,http://www.westernsouthern.com/distributors, +1 800 325 8583,Board,President,Mark Caner
W-Scope,http://w-scope.co.jp/en/, +81 354 367 155,Board,President,Won-Kun Choi
W&W Asset Management,http://www.ww-ag.com/de/impressen_konzern/impressum__w_w_asset_management_gmbh_10986.html, +49 714 1165 1170,Board,Co-Managing Director,Alexander Mayer
W. Classen,http://classen.de, +49 2653 9800,Board,Co-Managing Director,Hans-Jurgen Hannig
W. E. O'Neil Construction,http://www.weoneil.com, +1 773 755 1611,Board,CEO,Brian Ramsay
W. & L. Jordan,http://www.jordan-kassel.de, +49 561 941 770,Board,Managing Director,Joerg Ludwig Jordan
W. R. Berkley Spain,http://www.wrberkley.es, +34 914 492 646,Board,Iberia,Carlos Palos
W. Markgraf,http://www.markgraf-bau.de, +49 921 2970,Board,CEO,Winfried Praller
W. P. Carey,http://www.wpcarey.com, +1 212 492 1100,Board,CEO,Jason Fox
W. R. Berkley Norway,http://www.berkleyforsikring.no, +47 2327 2400,Board,CEO,Sofia Pettersson
W.C. Bradley,http://www.wcbradley.com, +1 706 571 6080,Board,CEO,James Hillenbrand
W.R. Berkley Europe,http://www.berkleyeurope.com, +423 237 2747,Board,General Manager,Markus Beck
W.R. Berkley,http://www.berkley.com, +1 203 629 3000,Board,CEO & Director,Robert Berkley
W.R. Berkley Sweden,http://www.berkleyforsakring.se, +46 841 033 700,Board,CEO,Sofia Pettersson
W.J.Parnis England,http://www.wjpe.com, +356 2124 4306,Board,Managing Director,Stephen Parnis
W.R. Berkley Germany,http://www.berkleyeurope.com/berkley-deutschland/, +49 221 993 860,Board,CEO,José David Jiménez Gar...
W.W. Clyde,http://www.wwclyde.net, +1 801 802 6800,Board,President,Dustin Olson
W.R. Grace,http://www.grace.com, +1 410 531 4000,Board,CEO,Ed Sparks
Wētā FX,http://www.wetafx.co.nz, +64 4909 6000,Board,CEO,Michael McNeil
W.W Grainger,http://www.grainger.com, +1 847 535 1000,Board,CEO & Chairman,Donald Macpherson
W/R/B Underwriting,http://www.wrbunderwriting.com, +44 207 088 1900,Board,CEO,James Hastings
Württembergische Vertriebspartner,http://www.wuerttembergische-makler.de, +49 711 6620,Board,Managing Director,Rainer Gelsdorf
Württembergische Krankenversicherung,http://www.ww-ag.com/de/impressen_konzern/impressum_wk_10982.html, +49 711 6620,Board,CEO,Jacques Wasserfall
Württembergische Versicherung,http://www.wuerttembergische.de, +49 711 6620,Board,CEO,Zeliha Hanning
Wüstenrot Haus- und Städtebau,http://www.whs-wuestenrot.de, +49 141 1675 7100,Board,Co-Managing Director,Marcus Ziemer
Wüstenrot Immobilien,http://www.wuestenrot-immobilien.de, +49 714 1167 5620,Board,CEO,Jochen Dörner
Wüsthof,http://www.wuesthof.com, +49 2122 0670,N1,CFO,Florian Kohfink
W3R Consulting,http://www.w3r.com, +1 248 358 1002,Board,CEO,Eric Hardy
W9,http://www.6play.fr/w9, +33 141 926 161,Board,Managing Director,Jérôme Fouqueray
Waabi,http://waabi.ai, +1 647 774 3286,Board,CEO,Raquel Urtasun
Waasner,http://www.waasner.de, +49 9191 6120,Board,Managing Director,Michael Waasner
WAAY-TV,http://www.waaytv.com, +1 256 533 3131,Board,General Manager,Mike Wright
Wabag,http://www.wabag.com, +91 443 923 2323,Board,Managing Director,Rajiv Mittal
Wabash National,http://onewabash.com, +1 765 771 5300,Board,President & CEO,Brent Yeagy
Waberer's International,http://waberers.com, +36 1421 6666,Board,CEO & Chairman,Barna Zsolt
Wabtec,http://www.wabtec.com, +1 412 825 1000,Board,CEO,Rafael Santana
Wachs Water Services,http://www.wachsws.com, +1 443 559 5881,N1,Operations,D...
Wacai,http://www.wacai.com, +86 400 711 8718,Board,CEO,Zhiguo Li
Wackenhut,http://www.wackenhut.de, +49 7452 6030,Board,CEO,Ernst-Juergen Wackenhut ...
Wacker Chemicals China,http://www.wacker.com/cms/en/china/china_home/home.jsp, +86 216 100 3400,Board,President,Paul Lindblad
Wachsman,http://wachsman.com, +1 212 835 2511,Board,CEO,David Wachsman
Wacker Neuson,http://wackerneusongroup.com, +49 8935 4020,Board,CEO,Karl Tragl
Wacker Chemie,http://www.wacker.com, +49 896 2790,Board,CEO,Christian Hartel
Wacoal America,http://www.wacoal-america.com, +1 201 933 8400,Board,CEO,Mitch Kauffman
Wacoal Corp,http://www.wacoalholdings.jp/en/group/wacoal/, +81 756 825 111,Board,President,Keisuke Kawanishi
Wackler,http://www.wackler-group.de, +49 894 204 900,Board,CEO,Peter Blenke
Wacoal Europe,http://www.wacoal-europe.com, +44 153 676 0282,Board,CEO,Geoff Embley
Wacoal Holdings Corp,http://www.wacoalholdings.jp, +81 756 825 111,Board,President & CEO,Masaaki Yajima
Wacom China,http://www.wacom.com.cn, +86 105 166 5511,N1,Sales Distribution & Operati...,E...
Wacom,http://www.wacom.com, +81 480 781 211,Board,CEO,Nobutaka Ide
Wadia Group,http://www.wadiagroup.com, +91 226 662 0000,Board,Chairman of the Board,Nusli Wadia
Wafabail,http://www.wafabail.ma, +212 522 436 000,Board,CEO,Khadija Asouab
Wafacash,http://www.wafacash.com, +212 522 435 050,Board,Managing Director,Abdesslam Bouirig
Wafa Assurance,http://www.wafaassurance.ma, +212 522 545 555,Board,Chairman & CEO,Boubker Jai
Wafasalaf,http://www.wafasalaf.ma, +212 522 545 100,Board,CEO,Driss Fedoul
Waffle House,http://wafflehouse.com, +1 478 987 1252,N1,CFO,Bob Moore
Wafios,http://www.wafios.com, +49 7121 1460,Board,CEO,Uwe-Peter Weigmann
Wafra Capital Partners,http://www.wafracapital.com, +1 212 377 0030,Board,CEO,Robert Toan
Wag!,http://wagwalking.com, +1 323 210 4096,Board,CEO & Chairman,Garrett Smallwood
Wafra Investment Advisory Group,http://www.wafra.com, +1 212 759 3700,Board,CEO & Chairman,Fawaz Al-Mubaraki
Waga Energy,http://waga-energy.com/en/, +33 426 999 927,Board,CEO,Andrea Baldini
Wagner Logistics,http://www.wagnerlogistics.com, +1 563 241 8669,Board,CEO,Brian Smith
Waggoner National Bank,http://www.wnbvernon.com, +1 940 552 2511,Board,CEO,Trent Gillespie
Wago,http://www.wago.com, +49 571 8870,Board,CEO,Heiner Lang
Wagestream,http://wagestream.com/en, +44 190 000 0000,Board,CEO,Peter Briffett
Wagner Group,http://www.wagner-group.com, +49 511 973 830,Board,Co-CEO,Guido Bergman
Wahed Invest,http://wahedinvest.com, +1 765 212 3831,Board,CEO,Mohsin Siddiqui
Wagon Automotive,http://wagon-automotive.de, +49 7452 6060,Board,CEO,Orlando Caldari
Wahl Group,http://www.wahl-group.de, +49 271 4020,Board,CEO,Thomas Wahl
Waha Capital,http://www.wahacapital.ae, +971 2667 7343,Board,CEO,Ahmed Al Mehairi
Wahr,http://www.wahr-energie.de, +49 745 293 070,Board,Co-Managing Director,Bernd Wahr
