name,url,number,category,position,person_name
X,http://www.twitter.com, +1 415 222 9670,Board,CEO,Linda Yaccarino
X Brazil,http://www.twitter.com/Brazil,,Board,Managing Director,Giamile Rossato
X Australia,http://twitter.com/australia,,Board,Australia,Angus Keene
X APAC,http://twitter.com/fr/tos, +91 988 609 8860,Board,Head,Alan Lan
X France,http://twitter.com/?lang=fr, +33 687 656 651,Board,Country Lead,Laurent Buanec
X Financial,http://xiaoyinggroup.com, +86 755 8628 2977,Board,Chairman & CEO,Yue Tang
X DACH,http://www.twitter.com/Germany,,Board,Country Lead,Laurent Buanec
X India,http://twitter.com/india, +91 988 609 8860,N1,North & East,M...
X Ireland,http://twitter.com/ireland, +353 1639 5722,N1,Central Analytics,R...
X MENA,http://twitter.com/twittermena, +971 567 135 701,Board,Interim Regional Director,Antoine Caironi
X Train,http://www.vegasxtrain.com, +1 702 583 6715,Board,CEO,Michael Barron
X Spain,http://www.twitter.com/spain,,N2,eCommerce,C...
X Terra Resources,http://www.xterraresources.com, +1 819 762 4101,Board,CEO,Michael Ferreira
X-Change Financial Access,http://xfa.marex.com, +1 312 235 0320,Board,Senior Managing Partner,Timothy Hendricks
X-Chem,http://www.x-chemrx.com, +1 781 419 6900,Board,CEO,Karen Lackey
X-Elio,http://www.x-elio.com, +34 911 770 010,Board,CEO,Lluís Noguera
X-energy,http://www.x-energy.com, +1 301 3632839,Board,CEO,Clay Sell
X-Factor,http://xfactorcom.com, +1 201 518 1925,Board,CEO,Charles Saracino
X-FAB,http://www.xfab.com, +49 351 407 560,Board,CEO & Managing Director,Rudi de Winter
X-Rite,http://www.xrite.com, +1 616 803 2100,Board,President,Jeffrey McKee
X4 Pharmaceuticals,http://x4pharma.com, +1 857 5298300,Board,CEO & Director,Paula Ragan
X-PM,http://www.x-pm.com/en/home/, +33 153 458 565,Board,President,Bernard Etchenagucia
Xaar,http://www.xaar.com, +44 122 342 3663,Board,CEO,John Mills
X5 Retail Group,http://www.x5.ru, +7 495 662 8888,Board,CEO,Igor Shekhterman
XacBank,http://www.xacbank.mn, +976 1131 8185,Board,CEO,Gumenjav Tsevegjav
Xact Robotics,http://www.xactrobotics.com, +972 4770 0153,Board,CEO,Shai Meltzer
Xactly,http://www.xactlycorp.com, +1 408 977 3132,Board,CEO,Arnab Mishra
Xactus,http://xactus.com, +1 720 737 1206,Board,Chairman & CEO,Perry Steiner
Xaira Therapeutics,http://www.xaira.com, +1 773 380 6600,Board,CEO & Director,Marc Tessier-Lavign
Xali Gold,http://xaligold.com, +1 604 685 1946,Board,CEO,Joanne Freeze
Xanadu Mines,http://www.xanadumines.com, +61 293 324 322,Board,Chairman & Managing Director,Colin Moorhead
Xalud Therapeutics,http://www.xaludthera.com, +1 434 980 8117,Board,CEO,Diem Nguyen
Xalq Bank,http://www.xalqbank.az, +994 124 044 343,Board,CEO,Kamran Majidov
Xanadu,http://www.xanadu.ai, +1 561 260 8886,Board,CEO,Christian Weedbrook
Xandr,http://xandr.com, +1 210 351 3891,N1,CTO,B...
Xano,http://www.xano.se, +46 3631 2200,Board,CEO,Lennart Persson
Xanitos,http://www.xanitos.com, +1 484 654 2300,Board,CEO,Dave Crothall
XanEdu,http://www.xanedu.com, +1 734 302 6500,Board,CEO,Ty Field
Xanterra,http://www.xanterra.com, +1 303 600 3400,Board,CEO,Andrew Todd
Xbiome,http://www.xbiome.cn, +86 755 8653 0994,Board,CEO,Yan Tan
xAI,http://x.ai, +1 888 518 3752,Board,Co-Founder,Elon Musk
Xaxis,http://www.xaxis.com, +1 646 259 4200,Board,CEO,John Wittesaele
Xantippe Resources,http://www.xantippe.com.au, +61 861 431 840,Board,Chairman of the Board,John Featherby
Xapo,http://xapo.com, +350 2000 8161,Board,CEO,Seamus Rocca
Xbox,http://www.xbox.com, +1 425 882 8080,Board,Managing Director,Phil Spencer
Xbrane Biopharma,http://www.xbrane.com, +46 760 346 733,Board,CEO,Martin Åmark
Xceedance,http://www.xceedance.com, +91 124 421 7495,Board,CEO,Arun Balakrishnan
XBiotech,http://www.xbiotech.com, +1 512 386 2900,Board,CEO & Chairman,John Simard
Xcel Aerospace,http://www.xcelaerospace.com, +44 1708 677 80,N1,BusDev,H...
Xcel Brands,http://www.xcelbrands.com, +1 347 727 2474,Board,Chairman & CEO,Robert D'Loren
Xcel Energy,http://corporate.my.xcelenergy.com, +1 612 330 5500,Board,CEO & Chairman,Robert Frenzel
Xcenda,http://www.xcenda.com, +1 727 771 4100,N1,Control,A...
Xcimer,http://www.xcimer.energy, +44 207 042 8080,Board,CEO,Conner Galloway
Xceptor,http://www.xceptor.com, +1 512 501 7078,Board,CEO,Michiel Verhoeven
Xcitium,http://www.xcitium.com, +1 703 581 6361,Board,CEO,Ken Levine
Xcite Alghanim Electronics,http://www.xcite.com/about-us, +965 150 623 7909,Board,CEO,Michael Abagyan
Xcite Automotive,http://xciteauto.com, +1 779 292 4830,Board,CEO,Phil Penton
Xconnect,http://www.xconnect.net, +44 208 371 4800,Board,CEO,Eli Katz
XCMG Construction Machinery,http://xgjx.xcmg.com, +86 516 8773 9106,Board,President & Director,Chuan Lu
Xeal,http://xealenergy.com, +1 561 756 1403,Board,CEO,Alexander Isaacson
Xebia Group,http://www.xebia.com, +31 355 381 921,Board,CEO & Director,Anand Sahay
Xebio Holdings,http://www.xebio.co.jp, +81 249 381 111,Board,President & CEO,Tomoyoshi Morohashi
Xebia India,http://www.xebia.com/, +91 244 700 200,Board,Managing Director,Glory Nelson
Xee,http://yousee.dk/om_yousee/om_youseedk.aspx, +45 7070 4040,Board,CEO,Pil Brandstrup
Xellia North America,http://www.xellia.com/us/, +1 847 947 0200,Board,President,Craig Boyd
Xelion,http://www.xelion.pl, +48 225 654 400,Board,CEO,Krzysztof Prasal
Xeikon,http://www.xeikon.com, +31 117 375 020,Board,President,Robert Welford
Xella,http://www.xella.com, +49 203 608 800,Board,CEO,Christophe Clemente
Xellia,http://www.xellia.com, +45 3264 5500,Board,CEO,Michael Kocher
Xencor,http://www.xencor.com, +1 626 305 5900,Board,CEO & Director,Bassil Dahiyat
Xempus,http://www.xempus.com, +49 892 000 1750,Board,Co-CEO,Tobias Wann
Xendit,http://www.xendit.co, +62 217 230 763,Board,CEO,Moses Lo
Xenetic Biosciences,http://www.xeneticbio.com, +44 203 021 1500,Board,Interim CEO,James Parslow
Xeneta,http://www.xeneta.com, +47 2164 2410,Board,CEO,Patrik Berglund
XeneX,http://www.xenexsoc.com, +1 310 409 4250,Board,CEO,Kevin Nikkhoo
Xensam,http://www.xensam.com, +1 +4670249778,Board,CEO,Oskar Foesker
Xenia Venture Capital,http://www.xenia.co.il, +972 9957 5259,Board,CEO & CFO,Eli Sorzon
Xenon,http://www.xenon-pharma.com, +1 604 484 3300,Board,CEO & Director,Ian Mortimer
Xenia Hotels & Resorts,http://www.xeniareit.com, +1 407 317 6950,Board,CEO & Chairman,Marcel Verbaas
Xentral,http://xentral.com, +49 821 2684 1040,Board,CEO,Benedikt Sauter
Xepelin,http://www.xepelin.com, +56 976 304 378,Board,CEO,Sebastián Kreis
Xeris Pharmaceuticals,http://www.xerispharma.com, +1 844 445 5704,Board,CEO & Director,John Shannon
Xero,http://www.xero.com, +64 4819 4800,Board,CEO,Sukhinder Cassidy
Xeriant,http://www.xeriant.com, +1 303 953 1454,Board,CEO,Keith Duffy
Xeros Technology,http://www.xerostech.com, +44 114 269 9656,Board,CEO,Neil Austin
Xerox Canada,http://www.xerox.ca, +1 416 229 3769,Board,President,Martin Bachant
Xerox,http://www.xerox.com, +1 203 849 2359,Board,CEO & Director,Steve Bandrowczak
Xerox Business Solutions Midwest,http://midwest.xeroxbusinesssolutions.com, +1 630 771 2600,N1,CFO,Clarice McFadden
Xerox Business Solutions,http://www.xeroxbusinesssolutions.com, +1 813 960 5508,Board,CEO,Steve Bandrowczak
Xerox Europe,http://www.xerox.eu, +44 189 525 1133,Board,President,David Dyas
Xerox France,http://www.xerox.fr, +33 825 393 490,Board,President,François Bourzeix
Xerox MEA,http://www.xerox.com/index/enae.html, +971 4453 5600,Board,President,David Dyas
Xerox Mexico,http://www.xerox.com/index/esmx.html, +52 555 326 3290,Board,General Manager,Ezequiel Bardas
Xerox India,http://www.xerox.com/index/enin.html, +91 124 3940 0400,Board,Managing Director,Leo Joseph
Xerox UK & Ireland,http://www.xerox.co.uk, +44 189 525 1133,Board,Managing Director,Darren Cassidy
Xfinity,http://www.corporate.comcast.com/company/xfinity, +1 844 207 8722,Board,President,Bill Connors
Xforceplus,http://www.xforceplus.com, +86 400 630 4000,Board,CEO,Yun Wu
Xgen Venture,http://xgenventure.com, +39 236 515 119,Board,CEO & Director,Paolo Fundaro
Xevo,http://www.xevo.com, +1 425 460 0860,N1,Architecture AI,B...
