name,url,number,category,position,person_name
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,Board,CEO,Garry Tan
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,Board,General Manager,Kenji Hall
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,Board,CEO & Director,Michael Rossi
Y Media Labs,http://ymedialabs.com, +1 415 839 8584,Board,CEO,Ashish Toshniwal
Y's table,http://www.ystable.co.jp, +81 354 120 065,Board,Chairman & CEO,Seizaburo Kanayama
Yadea,http://yadea.com, +86 510 8810 0267,Board,CEO & Vice Chairman,Jinghong Qian
Yaana,http://www.yaanatech.com, +1 408 719 9000,Board,CEO & Founder,Raj Puri
Yacht Management,http://www.yachtmauritius.com, +230 483 7748,Board,Managing Director,Bertrand Hardy
Yac,http://www.yac.co.jp, +81 425 461 161,Board,CEO,Takefumi Momose
Yageo,http://www.yageo.com, +886 266 299 999,Board,CEO & Director,David Wang
Yager Development,http://yager.de, +49 30695976-60,Board,Managing Director,Timo Ullmann
Yagi,http://www.yaginet.co.jp, +81 662 667 300,Board,CEO,Takao Yagi
YahLive,http://www.yahlive.com, +971 2510 0000,Board,Director,Mounir Barakat
Yahoo,http://www.yahooinc.com, +1 408 349 3300,Board,CEO,Jim Lanzone
Yahagi Construction,http://www.yahagi.co.jp, +81 529 352 351,Board,President,Mitsuhiro Takayanagi
Yaizu Suisankagaku Industry,http://www.yskf.jp, +81 352 040 361,Board,President,Jun Yamada
Yahoo! France,http://www.yahoo.fr, +33 170 912 000,Board,Chairman of the Board,Reed Rayman
Yahsat,http://www.yahsat.com, +971 2510 0000,Board,CEO,Ali Al Hashemi
Yahoo LATAM,http://enterprise.verizon.com/terms/latam/, +55 199 9111 7321,N1,Finance Control,A...
Yakult Danone India,http://www.yakult.co.in/tomoyuki-iwama.php, +91 11 40626299,Board,Managing Director,Hiroshi Hamada
Yakult Europe,http://yakulteurope.com, +31 365 211 300,Board,Managing Director,Hiroyasu Matsubara
Yakult Honsha,http://www.yakult.co.jp, +81 335 748 960,Board,President,Hiroshi Narita
Yakult Mexico,http://yakult.com.mx, +52 555 272 8157,Board,President,Carlos Kasuga Osaka
Yakult UK,http://www.yakult.co.uk, +44 208 842 7600,Board,Managing Director,Hiroyasu Matsubara
Yakult Germany,http://yakult.de, +49 21 31  34 1,Board,Managing Director,Volker Baltes
Yaletown,http://www.yaletown.com, +1 604 688 7807,Board,Managing Partner,Salil Munjal
Yalco,http://www.yalco.gr, +30 2 106299999,Board,CEO,Socrates Constantinou
Yalo,http://www.yalo.com, +1 556 678 0769,Board,CEO,Javier Mata
Yakuodo Holdings,http://www.yakuodo-hd.co.jp, +81 196 972 615,Board,President,Tatsuhiro Saigo
Yalla Group,http://www.yallatech.ae, +971 4587 7388,Board,Chairman & CEO,Tao Yang
Yamada,http://www.yamadacorp.co.jp, +81 337 775 101,Board,President,Shotaro Yamada
Yamabiko,http://www.yamabiko-corp.co.jp, +81 428 326 111,Board,CEO & Chairman,Hiroshi Kubo
Yamada Consulting Group,http://yamada-cg.co.jp, +81 3-6212-2500,Board,President,Keisaku Masuda
Yamae Group Holdings,http://www.yamaegroup-hd.co.jp, +81 924 740 711,Board,CEO & Chairman,Hideto Ouda
Yamada Denki,http://www.yamada-denki.jp, +81 570 078 181,Board,CEO & Chairman,Noboru Yamada
Yamagata Bank,http://www.yamagatabank.co.jp, +81 236 231 221,Board,President,Eiji Sato
Yamae Hisano,http://www.yamaehisano.com, +81 924 740 711,Board,CEO & Chairman,Hideto Oda
Yamaha Corporation of America,http://www.usa.yamaha.com, +1 714 522 9011,Board,President,Tom Sumner
Yamaha,http://www.yamaha.co.jp, +81 534 602 158,Board,President & Director,Atsushi Yamaura
Yamaguchi Financial,http://www.ymfg.co.jp, +81 832 235 511,Board,CEO & Director,Keisuke Mukunashi
Yamaha Guitar Group,http://yamahaguitargroup.com, +1 818 575 3600,Board,President,Joe Bentivegna
Yamaha Motor Europe,http://www.yamaha-motor.eu, +31 206 546 000,Board,CEO,Olivier Prevost
Yamaha Motor India,http://www.yamaha-motor-india.com, +91 989 924 2295,Board,Chairman of the Board,Eishin Chihana
Yamaha Motor,http://global.yamaha-motor.com, +81 538 329 905,Board,CEO & Director,Yoshihiro Hidaka
Yamaha Motor Robotics,http://www.ymrh.co.jp, +81 425 601 231,Board,President & Director,Ryosuke Nakamura
Yamaha Unified Communications,http://europe.yamaha.com/en/products/unified_communications/index.html, +1 978 610 4040,Board,CEO,Sotaro Nishida
Yamaha Motor USA,http://yamaha-motor.com, +1 714 761 7300,Board,CEO,Michael Chrzanowski
Yamamah Cement,http://www.yamamacement.com, +966 114 085 600,Board,CEO,Jehad bin Abdul-Aziz Al-...
