name,url,number,category,position,person_name
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,Board,CEO,James Zenni
Z Energy,http://www.z.co.nz, +64 800 474 355,Board,CEO & Director,Lindis Jones
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,Board,CEO,Jack Wade
Z Holdings,http://www.z-holdings.co.jp, +81 364 406 000,Board,CEO Marketing & Sales,Takeshi Idezawa
Z Gallerie,http://www.zgallerie.com, +1 310 630 1200,Board,CEO,Joseph Zeiden
Západoslovenská Distribučná,http://www.zsdis.sk, +420 850 333 999,Board,CEO & Chairman,Tomáš Turek
Z Modular,http://www.z-modular.com, +1 312 275 1600,Board,President,Mickey McNamara
Zühlke Austria,http://www.zuehlke.com/en/locations/austria, +43 120 511 6800,Board,CEO,Nikolaus Kawka
Zühlke Group,http://www.zuehlke.com, +41 432 166 611,Board,CEO,Fabrizio Ferrandina
Západoslovenská Energetika,http://www.skupinazse.sk, +420 377 763 880,Board,CEO,Markus Kaune
Zühlke Switzerland,http://www.zuehlke.ch, +41 43 216 6611,Board,CEO,Nicolas Durville
Zürcher Kantonalbank Austria,http://www.zkb-oe.at, +43 62 8048151,Board,CEO,Christian Nemeth
Zabel Group,http://zabel-group.de, +49 201 758 580,Board,CEO,Jens Zabel
Zürcher Kantonalbank,http://www.zkb.ch, +41 844 843 823,Board,CEO,Urs Baumann
Zacco,http://zacco.com, +45 3948 8000,Board,CEO,Antonio Marsico
Zachry Construction,http://www.zachrygroup.com, +1 210 588 5000,Board,CEO & Chairman,John Zachry
Zadara,http://www.zadarastorage.com, +1 949 284 0713,Board,CEO,Yoram Novick
Zad,http://www.zad-online.de, +49 555 196 880,Board,Co-Managing Director,Irina Niesen
Zacua Ventures,http://zacuaventures.com, +1 830 268 3662,N1,APAC & Europe,J...
Zad Holding,http://www.zad.qa, +974 4441 5000,Board,CEO,Tarique Mohammad
Zag,http://www.zag.de, +49 511 126 060,Board,CEO,Thassilo Gehrke
Zadig & Voltaire,http://www.zadig-et-voltaire.com, +33 142 218 888,Board,CEO,Arnaud Gillier
Zafrens,http://www.zafrens.com, +1 215 796 0147,Board,CEO,Kandaswamy Vijayan
Zafin,http://www.zafin.com, +1 613 798 1286,Board,CEO,Charbel Safadi
Zageno,http://zageno.com, +1 857 477 8479,Board,CEO,Florian Wegener
Zagrebacka Banka,http://www.zaba.hr, +385 1377 3333,Board,Chairman of the Board,Simone Marcucci
Zagg,http://www.zagg.com, +1 801 263 0699,Board,Chairman & CEO,Daniel Allen
Zahra Group,http://zahragroup.com, +965 246 3406,Board,CEO,Saud Alajmi
Zahoransky,http://www.zahoransky.com, +49 7671 9970,Board,Co-Managing Director,Ulrich Zahoransky
Zagreb Stock Exchange,http://www.zse.hr, +385 1468 6800,Board,CEO,Ivana Gažić
Zai,http://www.hellozai.com, +353 1246 1127,Board,CEO,Shamus Hodgson
Zahran Holding,http://www.zahranholding.com, +966 114 606 444,Board,CEO,Bader Al Zahrani
ZAI Lab,http://www.zailaboratory.com, +86 216 163 2588,Board,CEO & Chairman,Samantha Du
Zain,http://www.zain.com, +965 2464 4444,Board,CEO,Bader Al-Kharafi
Zain Bahrain,http://www.bh.zain.com, +973 3603 0411,Board,CEO,Duncan Howard
Zain Saudi Arabia,http://www.sa.zain.com, +966 592 444 444,Board,Acting CEO,Saad Al Sadhan
Zain Iraq,http://www.iq.zain.com, +964 780 299 9107,Board,CEO,Emre Gurkan
Zain Kuwait,http://www.kw.zain.com, +965 2464 4444,Board,CEO,Nawaf Al-Gharabally
Zain Jordan,http://www.jo.zain.com, +962 797 900 900,Board,CEO,Fahad AlJasem
Zain Sudan,http://www.sd.zain.com, +249 9000 1111,Board,CEO,Hisham Allam
Zakład Remontowo-Produkcyjny,http://korporacja.pgg.pl/o-firmie/oddzial/zrp, +48 327 170 301,N1,Economic Affairs,T...
Zalando,http://www.zalando.de, +49 308 1459 0400,Board,Co-CEO,Robert Gentz
Zais Group,http://www.zaisgroup.com, +1 732 530 3610,Board,President & ESG Integration,Daniel Curry
Zajadacz,http://www.zajadacz.de, +49 407 0077 0040,Board,Co-Managing Director,Ralf Moormann
Zales,http://www.zales.com, +1 330 668 5000,Board,President,Kecia Caffie
Zalora,http://www.zalora.com, +60 320 356 622,Board,CEO,Gunjan Soni
Zalk Josephs Fabricators,http://www.zalkjosephs.com, +1 608 873 6646,Board,President,Joseph Lammers
Zamano,http://www.zamano.com, +353 1554 7313,Board,CEO,Michael Connolly
Zama AI,http://www.zama.ai, +33 684 665 341,Board,CEO,Rand Hindi
Zall Smart Commerce,http://www.zallcn.com, +86 276 190 6848,Board,Co-Chairman & Co-CEO,Zhi Yan
Zambeef,http://zambeefplc.com, +260 211 369 000,Board,CEO,Faith Mukutu
Zambon,http://www.zambon.com, +39 266 5241,Board,CEO & Interim HR,Giovanni Magnaghi
Zambezi,http://www.zmbz.com, +1 310 450 6800,Board,CEO,Jean Freeman
Zambon Germany,http://www.zambonpharma.com/de/, +49 301 202 120,Board,General Manager,Ad Van Der Vliet
Zambon France,http://www.zambonpharma.com/fr/, +33 158 044 141,Board,CEO,Aurelia Jantzem
Zambon Italy,http://www.zambonpharma.com/it/, +39 444 968 940,Board,General Manager,François Bernard
Zambon Iberia,http://www.zambonpharma.com/es/, +34 935 446 400,Board,General Manager,Elena Zabala
Zambon Portugal,http://www.zambonpharma.com/pt/, +351 217 600 954,Board,General Manager,Elena Zabala
Zambon UK,http://www.zambonpharma.com/gb/, +44 124 385 9001,Board,General Manager,Ad Van Der Vliet
Zambon Sweden,http://www.zambonpharma.com/nordics/en/, +46 103 350 800,Board,Managing Director,AdVan Der Vliet
Zamil Industrial,http://www.zamilindustrial.com, +966 138 108 111,Board,CEO,Ahmed Zaatari
Zambrero,http://www.zambrero.com.au, +61 292 122 166,Board,CEO,Matthew Kenny
Zamtel,http://www.zamtel.zm, +260 211 333 152,Board,CEO,Jason Mwanza
Zamil Group,http://www.zamil.com, +966 138 824 888,Board,Chairman of the Board,Abdulrahman Al Zamil
Zamil Steel Vietnam,http://zamilsteel.com.vn, +84 438 378 522,Board,General Director,Krishnakanth Kodukula
Zanaco,http://www.zanaco.co.zm, +260 211 228 979,Board,CEO,Mukwandi Chibesakunda
Zaoh,http://www.zaohnet.co.jp, +81 356 000 325,Board,President,Takanori Kutsuzawa
Zanbato,http://www.zanbato.com, +1 650 557 2333,Board,CEO,Nico Sand
Zantech,http://www.zantechit.com, +1 703 286 1384,Board,CEO,Naz Islam
Zangge Mining,http://www.zanggekuangye.com, +86 979 896 2706,Board,General Manager & Vice Chair...,Yao Xiao
ZAP Engineering Services,http://www.zapecs.com, +1 720 529 4430,Board,Founder & Owner,Steve Tzap
Zap-Map,http://www.zap-map.com, +44 117 929 8855,Board,CEO,Richard Bourne
Zap Energy,http://www.zapenergyinc.com, +1 425 321 1446,Board,President,Benj Conway
Zapata Computing,http://www.zapatacomputing.com, +1 617 832 1731,Board,CEO,Christopher Savoie
ZAP Surgical,http://www.zapsurgical.com, +1 650 394 4351,Board,CEO,John Adler
Zapf Creation,http://www.zapf-creation.de, +49 9563 7250,Board,Chairman of the Board,Paul-Stefan Freiling
Zapp EV,http://zappev.com, +44 795 671 0028,Board,CEO,Swin Chatsuwan
Zapp,http://tryzapp.com, +44 208 154 5588,N1,COO,Ngoc Chu
Zapier,http://zapier.com, +1 877 381 8743,Board,CEO,Wade Foster
Zappallas,http://www.zappallas.com, +81 364 341 036,Board,CEO & Director,Mari Tamaki
Zappi,http://www.zappi.io/web, +44 401 330 0748,Board,CEO,Steve Phillips
Zara,http://www.zara.com, +34 981 185 400,Board,CEO,Oscar Pérez Marcote
Zara Home,http://www.zarahome.com, +34 981 185 369,Board,CEO,Lorena Mosquera
Zapproved,http://www.zapproved.com, +1 888 806 6750,Board,CEO,Monica Enand
Zappos,http://www.zappos.com, +1 702 943 7777,Board,CEO,Scott Schaefer
Zarclear,http://www.zarclear.com, +27 117227516 E,Board,CEO & Director,Warren Chapman
Zashchitnoye,http://www.ekoniva-apk.ru/en/zashchitnoye, +7 473 267 9777,Board,Managing Director,Yuri Vasyukov
Zarubezhneft,http://zarubezhneft.ru, +7 495 748 6500,Board,Managing Director,Sergey Kudryashov
Zattoo,http://www.zattoo.com, +41 435 002 100,Board,CEO (Oct 1 2024 ->),Roger Elsener
ZavviGroup,http://www.zavvi.com, +44 161 813 1487,Board,CEO,Leigh Amery
Zaxby's,http://zaxbysfranchising.com, +1 706 353 8107,Board,CEO,Bernard Acoca
Zazzle,http://www.zazzle.com, +1 408 983 2800,Board,CEO,Robert Beaver
Zayo,http://www.zayo.com, +1 303 381 4683,Board,CEO,Steve Smith
Żabka Group,http://zabkagroup.com, +48 618 563 700,Board,CEO,Tomasz Suchański
Żabka Poland,http://zabkagroup.com/pl, +48 618 563 700,Board,Managing Director,Adam Manikowski
ZCI,http://zci.lu, +230 210 9334,Board,CEO,Thomas Kamwendo
ZCCM Investment,http://www.zccm-ih.com.zm, +260 212 227 225,Board,CEO,Ndoba Vibetti
ZE PowerGroup,http://www.ze.com, +1 604 244 1469,Board,CEO,Zak El-Ramly
ZDB Dratovna,http://www.dratovna.cz, +420 596 090 220,Board,CEO,Petr Adamek
zData,http://www.zdatainc.com, +1 415 890 5746,Board,CEO,Niels Kasch
Zeaborn Ship Management,http://www.zea-ship.com, +49 4050 0980,Board,CEO,Michael Brandhoff
Zeal Network,http://www.zealnetwork.de, +49 408 0903 6065,Board,CEO,Helmut Becker
Zeamarine,http://www.zeamarine.com, +49 403 8917 7200,Board,Chairman of the Board,Sven Lundehn
Zeal Pak Cement Factory,http://zpcflk.wixsite.com/index, +92 213 5660 5014,Board,CEO,Jehangir Akbar
Zealand Pharma,http://www.zealandpharma.com, +45 8877 3600,Board,CEO,Adam Steensberg
Zeb,http://zeb-consulting.com, +49 251 971 280,Board,Managing Director,Markus Thiesmeyer
Zebec,http://zebec.io, +44 141 440 1434,N1,COO,Simon Babakhani
Zedcor,http://zedcor.com, +1 403 930 5430,Board,CEO,Todd Ziniuk
Zeda,http://www.zeda.co.za, +27 113 878 027,Board,CEO,Ramasela Ganda
Zebra Technologies,http://www.zebra.com, +1 847 634 6700,Board,CEO,Bill Burns
Zeder,http://www.zeder.co.za, +27 218 879 602,Board,CEO & Finance,Johann Le Roux
Zededa,http://zededa.com, +1 669 356 1380,Board,CEO,Said Ouissal
Zedra,http://www.zedra.com, +41 228 880 686,Board,CEO,Ivo Hemelraad
Zedra Guernsey,http://www.zedra.com/locations/location/guernsey/, +44 148 188 1400,N1,Funds,D...
Zedra Hong Kong,http://www.zedra.com/locations/location/hong-kong/, +852 2173 6388,Board,Managing Director,John Ashwood
Zedra Isle of Man,http://www.zedra.com/locations/location/isle-of-man/, +44 162 485 0500,Board,Managing Director,Joanna Mulhern
Zedra Jersey,http://www.zedra.com/locations/location/jersey/, +44 153 484 4200,Board,Managing Director,Henry Kierulf
Zedra Switzerland,http://www.zedra.com/locations/location/switzerland/, +41 228 880 600,Board,Managing Director,Mario Cohn
