company_name,url,number,category,position,person_name
0G,http://0g.ai, +1 416 978 6055,Board,CEO,Michael Heinrich
0G,http://0g.ai, +1 416 978 6055,N1,Special Security,F...
0G,http://0g.ai, +1 416 978 6055,N1,Business,T...
0G,http://0g.ai, +1 416 978 6055,N1,CTO,M...
0x Labs,http://www.0x.org, +1 650 838 4434,Board,Co-CEO,Will Warren
0x Labs,http://www.0x.org, +1 650 838 4434,N1,Co-CEO,Amir Bandeali
0x Labs,http://www.0x.org, +1 650 838 4434,N1,Operations,S...
0x Labs,http://www.0x.org, +1 650 838 4434,N1,Platform Engineering,D...
0x Labs,http://www.0x.org, +1 650 838 4434,N1,Product,T...
01.AI,http://01.ai, +86 571 8376 8429,Board,CEO,Kai-Fu Lee
01.AI,http://01.ai, +86 571 8376 8429,N1,Open Source,R...
01net,http://www.01net.com, +33 171 191 191,N1,COO,Vincent Bouvier
01net,http://www.01net.com, +33 171 191 191,N1,Magazine,J...
01net,http://www.01net.com, +33 171 191 191,N1,Social Media,J...
1&1,http://www.1und1-drillisch.de, +49 6181 4123,Board,CEO,Ralph Dommermuth
1&1,http://www.1und1-drillisch.de, +49 6181 4123,Board,Chairman of the Board,Kurt Dobitsch
1&1,http://www.1und1-drillisch.de, +49 6181 4123,Board,Vice Chairman of the Board,Norbert Lang
1&1,http://www.1und1-drillisch.de, +49 6181 4123,Board,Director,Matthias Baldermann
1&1,http://www.1und1-drillisch.de, +49 6181 4123,Board,Director,Vlasios Choulidis
1&1,http://www.1und1-drillisch.de, +49 6181 4123,Board,Director,Friedrich Joussen
1&1,http://www.1und1-drillisch.de, +49 6181 4123,Board,Director,Christine Schoeneweis
1&1,http://www.1und1-drillisch.de, +49 6181 4123,N1,CFO & HR,Markus Huhn
1&1,http://www.1und1-drillisch.de, +49 6181 4123,N1,COO & 1&1 Telecommunications,Alessandro Nava
1&1,http://www.1und1-drillisch.de, +49 6181 4123,N1,Product Mgmt & Online Mktg,P...
1&1,http://www.1und1-drillisch.de, +49 6181 4123,N1,Customer Mgmt,C...
1&1,http://www.1und1-drillisch.de, +49 6181 4123,N1,Mobile Radio Network,M...
1&1,http://www.1und1-drillisch.de, +49 6181 4123,N1,Technology & Dev,C...
1&1,http://www.1und1-drillisch.de, +49 6181 4123,N2,Finance,S...
1&1,http://www.1und1-drillisch.de, +49 6181 4123,N2,IR,O...
1&1,http://www.1und1-drillisch.de, +49 6181 4123,N2,Operations & Customer Care,T...
1&1 Telecommunication,http://www.1und1.de/Datenschutz, +49 721 9600,Board,CEO,Alessandro Nava
1&1 Telecommunication,http://www.1und1.de/Datenschutz, +49 721 9600,N1,CFO,Sascha D'Avis
1&1 Telecommunication,http://www.1und1.de/Datenschutz, +49 721 9600,N1,Customer Management,C...
1&1 Telecommunication,http://www.1und1.de/Datenschutz, +49 721 9600,N1,HR,M...
1&1 Telecommunication,http://www.1und1.de/Datenschutz, +49 721 9600,N1,Mobile Radio Network,M...
1&1 Telecommunication,http://www.1und1.de/Datenschutz, +49 721 9600,N1,Operations & Customer Care,T...
1&1 Telecommunication,http://www.1und1.de/Datenschutz, +49 721 9600,N1,Product Mgmt & Online Mktg,A...
1&1 Telecommunication,http://www.1und1.de/Datenschutz, +49 721 9600,N1,Technology & Development,C...
1&1 Telecommunication,http://www.1und1.de/Datenschutz, +49 721 9600,N2,Customer Sales & Dev,S...
1-800 Contacts,http://www.1800contacts.com, +1 801 924 9800,N1,CFO,Brett Gappmayer
1-800 Contacts,http://www.1800contacts.com, +1 801 924 9800,N1,President,P...
1-800 Contacts,http://www.1800contacts.com, +1 801 924 9800,N1,HR,A...
1-800 Contacts,http://www.1800contacts.com, +1 801 924 9800,N1,CTO,P...
1-800 Contacts,http://www.1800contacts.com, +1 801 924 9800,N1,New Business,A...
1-800 Contacts,http://www.1800contacts.com, +1 801 924 9800,N1,Legal & Secretary,R...
1-800 Contacts,http://www.1800contacts.com, +1 801 924 9800,N2,Financial Planning & Analysis,D...
1-800 Contacts,http://www.1800contacts.com, +1 801 924 9800,N2,Financial Reporting,P...
1-800 Contacts,http://www.1800contacts.com, +1 801 924 9800,N2,Control,B...
1-800 Contacts,http://www.1800contacts.com, +1 801 924 9800,N2,Design & CX,P...
1-800 Contacts,http://www.1800contacts.com, +1 801 924 9800,N2,Customer & Compliance,J...
1-800 Contacts,http://www.1800contacts.com, +1 801 924 9800,N2,Marketing,L...
1-800 Contacts,http://www.1800contacts.com, +1 801 924 9800,N2,Mktg Strategy & Intelligence,S...
1-800 Contacts,http://www.1800contacts.com, +1 801 924 9800,N2,HR Systems & Total Rewards,J...
1-800 Contacts,http://www.1800contacts.com, +1 801 924 9800,N2,Admin & HR,M...
