company_name,url,number,category,position,person_name
D&D Pharmatech,http://www.ddpharmatech.com, +82 318 019 7771,Board,Co-CEO,Yoo Seok Hong
D&D Pharmatech,http://www.ddpharmatech.com, +82 318 019 7771,Board,Co-CEO & Chairman,Seulki Lee
D&D Drotaru,http://www.drotaru.hu, +36 4651 9165,Board,CEO,Radim Mrózek
D&D Drotaru,http://www.drotaru.hu, +36 4651 9165,Board,Chairman of the Board,Bohdan Kozusznik
D&D Drotaru,http://www.drotaru.hu, +36 4651 9165,Board,Director,Milan Kotas
D&D Drotaru,http://www.drotaru.hu, +36 4651 9165,Board,Director,Ladislav Rajnec
D&D Drotaru,http://www.drotaru.hu, +36 4651 9165,N1,CFO,Robert Szántói
D&D Drotaru,http://www.drotaru.hu, +36 4651 9165,N1,Sales,T...
D&D Drotaru,http://www.drotaru.hu, +36 4651 9165,N1,Personnel & PR,Z...
D&D Drotaru,http://www.drotaru.hu, +36 4651 9165,N1,Production,Z...
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,Board,CEO,Raza Mansha
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,Board,Chairman of the Board,Naz Mansha
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,Board,Director,Mahmood Akhtar
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,Board,Director,Khalid Niaz Khawaja
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,Board,Director,Usama Mahmud
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,Board,Director,Shahzad Ahmad Malik
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,N1,CFO,Inayat Ullah Niazi
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,N1,CIO,N...
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,N1,Secretary,K...
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,N1,Marketing & Director,F...
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,N1,Technical Operations & Dire...,A...
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,N1,Administration,B...
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,N1,Hub Plant,S...
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,N1,Khairpur Plant,S...
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,N1,Mechanical,N...
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,N2,Finance & Director,A...
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,N2,Accounts & Reporting,M...
D G Khan Cement,http://www.dgcement.com, +92 423 636 0154,N2,Administration Hub Plant,N...
D&B Properties,http://dandbdubai.com, +971 4871 9200,Board,CEO,Adham Younis
D&B Properties,http://dandbdubai.com, +971 4871 9200,Board,Chairman of the Board,Husni Al Bayari
D&B Properties,http://dandbdubai.com, +971 4871 9200,N1,CFO,Yazan Shames Abdelkarim ...
D&B Properties,http://dandbdubai.com, +971 4871 9200,N1,HR,A...
D&B Properties,http://dandbdubai.com, +971 4871 9200,N1,Commercial,H...
D&B Properties,http://dandbdubai.com, +971 4871 9200,N1,Deputy CEO,M...
D&B Properties,http://dandbdubai.com, +971 4871 9200,N1,Operations & BusDev,O...
D&B Properties,http://dandbdubai.com, +971 4871 9200,N1,CIO,H...
D&B Properties,http://dandbdubai.com, +971 4871 9200,N2,Sales & Leasing,M...
D&B Properties,http://dandbdubai.com, +971 4871 9200,N2,Sales & Leasing,A...
D&B Properties,http://dandbdubai.com, +971 4871 9200,N2,Information & Comms Technolo...,M...
D&G Technology,http://dgtechnology.com, +852 2542 2872,Board,CEO,Kwan Li Choi
