company_name,url,number,category,position,person_name
J Alexanders,http://www.jalexanders.com, +1 615 269 1900,Board,Lead Director,Frank Martire
J Alexanders,http://www.jalexanders.com, +1 615 269 1900,Board,Director,Douglas Ammerman
J Alexanders,http://www.jalexanders.com, +1 615 269 1900,Board,Director,Carl Grassi
J Alexanders,http://www.jalexanders.com, +1 615 269 1900,Board,Director,Raymond Quirk
J Alexanders,http://www.jalexanders.com, +1 615 269 1900,N1,COO,Michael Moore
J Alexanders,http://www.jalexanders.com, +1 615 269 1900,N2,Accounting,G...
J Alexanders,http://www.jalexanders.com, +1 615 269 1900,N2,Construction,B...
J Alexanders,http://www.jalexanders.com, +1 615 269 1900,N2,Culinary Operations,I...
J & P Avax,http://www.jp-avax.gr, +30 210 637 5000,Board,Managing Director,Konstantinos Mitzalis
J & P Avax,http://www.jp-avax.gr, +30 210 637 5000,Board,Chairman of the Board,Christos Ioannou
J & P Avax,http://www.jp-avax.gr, +30 210 637 5000,Board,Vice Chairman of the Board,Konstantinos Kouvaras
J & P Avax,http://www.jp-avax.gr, +30 210 637 5000,Board,Vice Chairman of the Board,Konstantinos Lysaridis
J & P Avax,http://www.jp-avax.gr, +30 210 637 5000,Board,Vice Chairman of the Board,Ekaterini Pistiolis
J & P Avax,http://www.jp-avax.gr, +30 210 637 5000,Board,Director,Michael Hatzipavlou
J & P Avax,http://www.jp-avax.gr, +30 210 637 5000,Board,Director,Theodora Monohartzi
J & P Avax,http://www.jp-avax.gr, +30 210 637 5000,Board,Director,Alexios Sotirakopoulos
J & P Avax,http://www.jp-avax.gr, +30 210 637 5000,N1,Executive Director,A...
J García Carrión,http://garciacarrion.com, +34 926 260 104,Board,CEO,Jose Garcia-Carrion
J García Carrión,http://garciacarrion.com, +34 926 260 104,Board,Director,Jose JmgomezN
J García Carrión,http://garciacarrion.com, +34 926 260 104,N1,Art,M...
J García Carrión,http://garciacarrion.com, +34 926 260 104,N1,Data & Digital,F...
J García Carrión,http://garciacarrion.com, +34 926 260 104,N1,Fabric,J...
J García Carrión,http://garciacarrion.com, +34 926 260 104,N1,Operations,J...
J García Carrión,http://garciacarrion.com, +34 926 260 104,N1,Sparkling,F...
J García Carrión,http://garciacarrion.com, +34 926 260 104,N1,Sales,R...
J García Carrión,http://garciacarrion.com, +34 926 260 104,N1,Secretary,A...
