company_name,url,number,category,position,person_name
K Health,http://www.khealth.ai, +1 781 744 8253,Board,CEO,Allon Bloch
K Health,http://www.khealth.ai, +1 781 744 8253,Board,Director,Antonio Gracias
K Health,http://www.khealth.ai, +1 781 744 8253,Board,Director,Vivian Riefberg
K Health,http://www.khealth.ai, +1 781 744 8253,Board,Director,Adam Singolda
K Health,http://www.khealth.ai, +1 781 744 8253,Board,Director,Hans Tung
K Health,http://www.khealth.ai, +1 781 744 8253,N1,CFO,Yaron Savoray
K Health,http://www.khealth.ai, +1 781 744 8253,N1,Legal,C...
K Health,http://www.khealth.ai, +1 781 744 8253,N1,Medical,N...
K Health,http://www.khealth.ai, +1 781 744 8253,N1,Product,R...
K Health,http://www.khealth.ai, +1 781 744 8253,N1,CTO,A...
K Health,http://www.khealth.ai, +1 781 744 8253,N1,Legal,D...
K Health,http://www.khealth.ai, +1 781 744 8253,N1,HR & Culture,S...
K Health,http://www.khealth.ai, +1 781 744 8253,N2,Finance,B...
K Health,http://www.khealth.ai, +1 781 744 8253,N2,Corporate Development,E...
K Health,http://www.khealth.ai, +1 781 744 8253,N2,Advanced Practice Providers,H...
K Health,http://www.khealth.ai, +1 781 744 8253,N2,Learning & Practice Providers,H...
K Health,http://www.khealth.ai, +1 781 744 8253,N2,Pharmacy,N...
K Health,http://www.khealth.ai, +1 781 744 8253,N2,Medical,D...
K Health,http://www.khealth.ai, +1 781 744 8253,N2,Medical,S...
K Health,http://www.khealth.ai, +1 781 744 8253,N2,Clinical Operations,K...
K Health,http://www.khealth.ai, +1 781 744 8253,N2,Medical Sciences,Z...
K Health,http://www.khealth.ai, +1 781 744 8253,N2,Platform Architect,Z...
K Health,http://www.khealth.ai, +1 781 744 8253,N2,Product Management,D...
K Health,http://www.khealth.ai, +1 781 744 8253,N2,Analytics,N...
K Health,http://www.khealth.ai, +1 781 744 8253,N2,Product Management,K...
K Health,http://www.khealth.ai, +1 781 744 8253,N2,Automation & Quality,Y...
K Health,http://www.khealth.ai, +1 781 744 8253,N2,Data Science,R...
K Fund,http://kfund.vc, +1 859 257 6300,Board,Managing Partner,Iñaki Arrola
K Fund,http://kfund.vc, +1 859 257 6300,N1,CFO,Ignacio Larrú
K Fund,http://kfund.vc, +1 859 257 6300,N1,Legal & Risk,C...
K Friese + Associates,http://kfriese.com, +1 512 338 1704,N1,Executive Vice President,T...
K Friese + Associates,http://kfriese.com, +1 512 338 1704,N1,Senior Vice President,J...
K Friese + Associates,http://kfriese.com, +1 512 338 1704,N1,Senior Vice President,H...
K Friese + Associates,http://kfriese.com, +1 512 338 1704,N1,Vice President,C...
K Friese + Associates,http://kfriese.com, +1 512 338 1704,N1,Engineering Southeast Texas,T...
K Friese + Associates,http://kfriese.com, +1 512 338 1704,N1,Aviation,D...
K Friese + Associates,http://kfriese.com, +1 512 338 1704,N1,Water,M...
K S Oils,http://ksoils.com, +91 753 230 0000,Board,CEO,Ramesh Garg
K S Oils,http://ksoils.com, +91 753 230 0000,Board,Director,Boda Ram
K S Oils,http://ksoils.com, +91 753 230 0000,N1,CFO,Davesh Agarwal
K S Oils,http://ksoils.com, +91 753 230 0000,N1,HR,H...
K S Oils,http://ksoils.com, +91 753 230 0000,N1,Legal,K...
K S Oils,http://ksoils.com, +91 753 230 0000,N1,Production,A...
K S Oils,http://ksoils.com, +91 753 230 0000,N1,Sales,A...
K S Oils,http://ksoils.com, +91 753 230 0000,N2,Accounts & Finance,N...
K S Oils,http://ksoils.com, +91 753 230 0000,N2,Finance,R...
K S Oils,http://ksoils.com, +91 753 230 0000,N2,Procurement,J...
K S Oils,http://ksoils.com, +91 753 230 0000,N2,Commercial,M...
K Wah International,http://www.kwih.com, +852 2880 0178,Board,CEO,Che Woo Lui
K Wah International,http://www.kwih.com, +852 2880 0178,Board,Director,Mo Chi Cheng
K Wah International,http://www.kwih.com, +852 2880 0178,Board,Director,Kin Sang Cheung
K Wah International,http://www.kwih.com, +852 2880 0178,Board,Director,Yun Wing Nip
K Wah International,http://www.kwih.com, +852 2880 0178,Board,Director,Kwai Lam Wong
K Wah International,http://www.kwih.com, +852 2880 0178,N1,Finance,R...
K Wah International,http://www.kwih.com, +852 2880 0178,N1,Project,T...
K Wah International,http://www.kwih.com, +852 2880 0178,N1,Executive Director,Y...
K Wah International,http://www.kwih.com, +852 2880 0178,N1,Executive Director,W...
K Wah International,http://www.kwih.com, +852 2880 0178,N1,HR,C...
K Wah International,http://www.kwih.com, +852 2880 0178,N1,Hong Kong Properties,Y...
K Wah International,http://www.kwih.com, +852 2880 0178,N1,Talent & Organization Develo...,S...
K&L Gates,http://www.klgates.com, +1 617 261 3267,Board,Chairman,Michael Caccese
K&L Gates,http://www.klgates.com, +1 617 261 3267,N1,CFO,Charles Hokanson
K&L Gates,http://www.klgates.com, +1 617 261 3267,N1,COO,Gavin Gray
K&L Gates,http://www.klgates.com, +1 617 261 3267,N1,CIO Pricing & Legal,B...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N1,HR & Projects,A...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N1,CTO,H...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N1,Managing Partner,J...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N1,Strategic Growth,C...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N1,Europe & Middle East,T...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N1,Co-Head US & Diversity,P...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N1,Asia,R...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N1,Real Estate,M...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N2,Administration,R...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N2,Benefits & Compensation,N...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N2,Intellectual Property,C...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N2,Energy,S...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N2,Industry,R...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N2,Asset Mgmt & Investment Funds,N...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N2,Corporate & Transactional,A...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N2,Corporate,T...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N2,Finance,S...
K&L Gates,http://www.klgates.com, +1 617 261 3267,N2,Finance,R...
