company_name,url,number,category,position,person_name
N Field Co,http://www.nfield.co.jp, +81 663 430 600,Board,CEO & President,Akira Kubo
N Field Co,http://www.nfield.co.jp, +81 663 430 600,Board,Director,Miyoshi Takagi
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,Board,Interim Executive Chairman &...,Steve Johnson
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,Board,Director,David Alliance
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,Board,Director,Joshua Alliance
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,Board,Director,Meg Lustman
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,Board,Director,Dominic Platt
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,Board,Director,Michael Ross
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N1,CFO & Director,Dominic Appleton
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N1,COO,Nuno Miller
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N1,Financial Services,D...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N1,Retail,S...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N1,HR,N...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N1,CTO,T...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N1,Legal & Secretary,C...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N1,Supply Chain,C...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,Risk,R...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,IR,D...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,Tax & Compliance,G...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,JD Williams,L...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,Procurement,S...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,Brand Strategy,E...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,Transformation,P...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,Simply Be,H...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,Heritage Brands,J...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,Design,H...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,Brand,E...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,Creative,I...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,Interim Merchandising Footw...,V...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,HR Partnering,O...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,Talent Acquisition,T...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,Sustainability & Quality,A...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,Data,V...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,Engineering,G...
N Brown Group,http://www.nbrown.co.uk, +44 161 236 8256,N2,Legal,J...
N-Able Solutions,http://www.n-able.com, +44 138 230 9040,Board,CEO,John Pagliuca
N-Able Solutions,http://www.n-able.com, +44 138 230 9040,Board,Chairman of the Board,William Bock
N-Able Solutions,http://www.n-able.com, +44 138 230 9040,Board,Director,Mike Bingle
N-Able Solutions,http://www.n-able.com, +44 138 230 9040,Board,Director,Ann Johnson
