company_name,url,number,category,position,person_name
U M Cables,http://umcablesltd.com, +91 223 064 5400,Board,CEO,DM Karandikar
U M Cables,http://umcablesltd.com, +91 223 064 5400,N1,Sales & Marketing,S...
U M Cables,http://umcablesltd.com, +91 223 064 5400,N1,Project,S...
U and I Group,http://www.uandiplc.com, +44 207 828 4777,Board,CEO,Mike Hood
U and I Group,http://www.uandiplc.com, +44 207 828 4777,N1,Creative,M...
U and I Group,http://www.uandiplc.com, +44 207 828 4777,N1,Development,B...
U and I Group,http://www.uandiplc.com, +44 207 828 4777,N1,Communications,L...
U and I Group,http://www.uandiplc.com, +44 207 828 4777,N1,Marketing,P...
U and I Group,http://www.uandiplc.com, +44 207 828 4777,N1,Investment,J...
U and I Group,http://www.uandiplc.com, +44 207 828 4777,N1,Legal,J...
U and I Group,http://www.uandiplc.com, +44 207 828 4777,N1,Planning,M...
U and I Group,http://www.uandiplc.com, +44 207 828 4777,N1,Projects,J...
U and I Group,http://www.uandiplc.com, +44 207 828 4777,N2,Development Mayfield,L...
U and I Group,http://www.uandiplc.com, +44 207 828 4777,N2,Development Delivery,M...
U and I Group,http://www.uandiplc.com, +44 207 828 4777,N2,Project,K...
U Power,http://upincar.com, +86 191 0178 6831,Board,Chairman & CEO,Jia Li
U Power,http://upincar.com, +86 191 0178 6831,Board,Director,Quanshi Chen
U Power,http://upincar.com, +86 191 0178 6831,Board,Director,Xiaochun Li
U Power,http://upincar.com, +86 191 0178 6831,Board,Director,Jean Christophe von Pfet...
U Power,http://upincar.com, +86 191 0178 6831,N1,CFO,Bingyi Zhao
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,Board,Vice Chairman & Managing Dir...,Shachindra Nath
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,Board,Chairman of the Board,Satyananda Mishra
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,Board,Director,Rajeev Agarwal
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,Board,Director,Hemant Bhargava
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,Board,Director,Rohit Goyal
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,Board,Director,Chetan Gupta
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,Board,Director,Tabassum Inamdar
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,Board,Director,S Karuppasamy
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,Board,Director,Manoj Sehrawat
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,Board,Director,Karnam Sekar
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,N1,CFO,Kishore Lodha
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,N1,COO,Sharad Agarwal
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,N1,Business,J...
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,N1,Innovation,S...
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,N1,Legal & Compliance,S...
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,N1,HR,R...
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,N1,Revenue,A...
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,N1,Risk Management,A...
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,N2,Deputy CFO,A...
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,N2,Partnership & Alliances,T...
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,N2,CTO,R...
U Gro Capital,http://www.ugrocapital.com, +91 224 891 8686,N2,PR & Comms,A...
