company_name,url,number,category,position,person_name
V&A,http://www.vaengineering.com, +1 510 903 6600,Board,President,Debra Kaye
V&A,http://www.vaengineering.com, +1 510 903 6600,Board,Chairman,Jose Villalobos
V&A,http://www.vaengineering.com, +1 510 903 6600,N1,Operations,C...
V&A,http://www.vaengineering.com, +1 510 903 6600,N1,Technical Services,G...
V&A,http://www.vaengineering.com, +1 510 903 6600,N2,Central Region,C...
V&A,http://www.vaengineering.com, +1 510 903 6600,N2,Southeast,J...
V&A,http://www.vaengineering.com, +1 510 903 6600,N2,Southwestern Region,B...
V&A,http://www.vaengineering.com, +1 510 903 6600,N2,Western Region Operations,A...
V&A,http://www.vaengineering.com, +1 510 903 6600,N2,HR,M...
V&A,http://www.vaengineering.com, +1 510 903 6600,N2,Marketing,S...
V Technology,http://www.vtec.co.jp, +81 453 381 980,Board,CEO,Shigeto Sugimoto
V Technology,http://www.vtec.co.jp, +81 453 381 980,Board,Director,Junji Kido
V Technology,http://www.vtec.co.jp, +81 453 381 980,Board,Director,Hideto Nishimura
V Technology,http://www.vtec.co.jp, +81 453 381 980,Board,Director,Junko Tateyama
V Technology,http://www.vtec.co.jp, +81 453 381 980,N1,Finance & Accounting,T...
V Technology,http://www.vtec.co.jp, +81 453 381 980,N1,Senior Managing Executive Of...,Y...
V Technology,http://www.vtec.co.jp, +81 453 381 980,N1,Managing Executive Officer,M...
V Technology,http://www.vtec.co.jp, +81 453 381 980,N1,Managing Executive Officer,M...
V Technology,http://www.vtec.co.jp, +81 453 381 980,N1,Agriculture Business,K...
V Technology,http://www.vtec.co.jp, +81 453 381 980,N2,Executive Officer,T...
V Technology,http://www.vtec.co.jp, +81 453 381 980,N2,Executive Officer,Y...
V Technology,http://www.vtec.co.jp, +81 453 381 980,N2,Executive Officer,H...
V Technology,http://www.vtec.co.jp, +81 453 381 980,N2,Executive Officer,T...
V Technology,http://www.vtec.co.jp, +81 453 381 980,N2,Executive Officer,K...
V Technology,http://www.vtec.co.jp, +81 453 381 980,N2,Executive Officer,I...
V Technology,http://www.vtec.co.jp, +81 453 381 980,N2,Executive Officer,Y...
V-Cube,http://www.vcube.com, +81 354 757 250,Board,CEO,Naoaki Mashita
V-Cube,http://www.vcube.com, +81 354 757 250,Board,Director,Naomi Koshi
V-Cube,http://www.vcube.com, +81 354 757 250,Board,Director,Norio Murakami
V-Cube,http://www.vcube.com, +81 354 757 250,Board,Director,Kenichi Nishimura
V-Cube,http://www.vcube.com, +81 354 757 250,N1,CFO,Kazuki Yamamoto
V-Cube,http://www.vcube.com, +81 354 757 250,N1,COO,Masaya Takada
V-Cube,http://www.vcube.com, +81 354 757 250,N1,CTO,Y...
V-Cube,http://www.vcube.com, +81 354 757 250,N1,Revenue,J...
V-Guard Industries,http://www.vguard.in, +91 484433 5000,Board,Managing Director,Mithun K Chittilappilly
V-Guard Industries,http://www.vguard.in, +91 484433 5000,Board,Chairman Emeritus,Kochouseph Chittilappilly
V-Guard Industries,http://www.vguard.in, +91 484433 5000,Board,Chairman of the Board,Radha Unni
V-Guard Industries,http://www.vguard.in, +91 484433 5000,Board,Director,George Muthoot Jacob
V-Guard Industries,http://www.vguard.in, +91 484433 5000,Board,Director,Antony Sebastian
V-Guard Industries,http://www.vguard.in, +91 484433 5000,Board,Director,Ishwar Subramanian
V-Guard Industries,http://www.vguard.in, +91 484433 5000,Board,Director,Biju Varkkey
V-Guard Industries,http://www.vguard.in, +91 484433 5000,N1,CFO,Gopika Unnikrishnan
V-Guard Industries,http://www.vguard.in, +91 484433 5000,N1,COO,Ramachandran Venkataraman
V-Guard Industries,http://www.vguard.in, +91 484433 5000,N1,Compliance & Secretary,V...
V-Guard Industries,http://www.vguard.in, +91 484433 5000,N1,HR,S...
V-Guard Industries,http://www.vguard.in, +91 484433 5000,N1,CIO,A...
V-Guard Industries,http://www.vguard.in, +91 484433 5000,N1,R&D,G...
V-Guard Industries,http://www.vguard.in, +91 484433 5000,N1,Logistics & Warehousing,S...
V-Guard Industries,http://www.vguard.in, +91 484433 5000,N2,Administration,R...
V-Guard Industries,http://www.vguard.in, +91 484433 5000,N2,Supply Chain Management,F...
V-Guard Industries,http://www.vguard.in, +91 484433 5000,N2,Product,K...
V-Guard Industries,http://www.vguard.in, +91 484433 5000,N2,Learning & Development,P...
V B H,http://www.vbh.de, +49 715 0150,Board,Co-Managing Director,John Smits
V B H,http://www.vbh.de, +49 715 0150,Board,Chairman of the Board,Thorsten Albrecht
V B H,http://www.vbh.de, +49 715 0150,N1,Logistics,M...
V B H,http://www.vbh.de, +49 715 0150,N1,Sales,W...
V B H,http://www.vbh.de, +49 715 0150,N2,Business Control,R...
V-Markt,http://www.v-markt.de, +49 8341 8070,Board,Managing Director,Helmut Hermann
V-Markt,http://www.v-markt.de, +49 8341 8070,N1,Managing Director,C...
V-Markt,http://www.v-markt.de, +49 8341 8070,N1,Managing Director,M...
V-Mart,http://www.vmart.co.in, +91 931 369 9995,Board,Managing Director,Lalit Agarwal
V-Mart,http://www.vmart.co.in, +91 931 369 9995,Board,Chairman of the Board,Aakash Moondhra
V-Mart,http://www.vmart.co.in, +91 931 369 9995,Board,Director,Madan Agarwal
V-Mart,http://www.vmart.co.in, +91 931 369 9995,Board,Director,Sonal Mattoo
V-Mart,http://www.vmart.co.in, +91 931 369 9995,Board,Director,Murli Ramachandran
V-Mart,http://www.vmart.co.in, +91 931 369 9995,Board,Director,Govind Shridhar Shrikhan...
V-Mart,http://www.vmart.co.in, +91 931 369 9995,N1,CFO,Anand Agarwal
V-Mart,http://www.vmart.co.in, +91 931 369 9995,N1,COO,Vineet Jain
V-Mart,http://www.vmart.co.in, +91 931 369 9995,N1,LimeRoad,S...
V-Mart,http://www.vmart.co.in, +91 931 369 9995,N1,Compliance & Secretary,M...
V-Mart,http://www.vmart.co.in, +91 931 369 9995,N1,Merchandising,J...
V-Mart,http://www.vmart.co.in, +91 931 369 9995,N1,Projects & BusDev,S...
V-Mart,http://www.vmart.co.in, +91 931 369 9995,N1,Analytics & Digital Transfor...,J...
V-Mart,http://www.vmart.co.in, +91 931 369 9995,N1,Supply Chain Management,R...
V-Mart,http://www.vmart.co.in, +91 931 369 9995,N1,CSR & Skill Development Init...,S...
V-Mart,http://www.vmart.co.in, +91 931 369 9995,N1,HR,A...
V-Mart,http://www.vmart.co.in, +91 931 369 9995,N2,Internal Controls,K...
V-Mart,http://www.vmart.co.in, +91 931 369 9995,N2,Partner Brands,R...
V-Mart,http://www.vmart.co.in, +91 931 369 9995,N2,Procurement & Sourcing,M...
V-Mart,http://www.vmart.co.in, +91 931 369 9995,N2,Talent Acquisition,V...
V-Mart,http://www.vmart.co.in, +91 931 369 9995,N2,Assistant IT,D...
V-Mart,http://www.vmart.co.in, +91 931 369 9995,N2,Assistant Planning,N...
V-Soft Consulting,http://www.vsoftconsulting.com, +1 502 425 8425,Board,CEO,Radhika Veer
V-Soft Consulting,http://www.vsoftconsulting.com, +1 502 425 8425,N1,President,P...
V-Soft Consulting,http://www.vsoftconsulting.com, +1 502 425 8425,N1,Legal,P...
V-Soft Consulting,http://www.vsoftconsulting.com, +1 502 425 8425,N1,ServiceNow Practice,V...
V-Soft Consulting,http://www.vsoftconsulting.com, +1 502 425 8425,N1,Testing Center of Excellence,S...
V-Soft Consulting,http://www.vsoftconsulting.com, +1 502 425 8425,N1,Resource Management,S...
V-Soft Consulting,http://www.vsoftconsulting.com, +1 502 425 8425,N2,Control,B...
V-Trans,http://www.vtransgroup.com, +91 226 739 999,Board,Managing Director,Mahendra Shah
V-Trans,http://www.vtransgroup.com, +91 226 739 999,Board,Director,Ronak Shah
V-Trans,http://www.vtransgroup.com, +91 226 739 999,Board,Director,Aditya Shah
V-Trans,http://www.vtransgroup.com, +91 226 739 999,Board,Director,Hasmukh Shah
V-Trans,http://www.vtransgroup.com, +91 226 739 999,Board,Director,Viral Shah
V-Trans,http://www.vtransgroup.com, +91 226 739 999,Board,Director,Vishal Shah
V-Trans,http://www.vtransgroup.com, +91 226 739 999,Board,Director,Rajesh V. Shah
V-Trans,http://www.vtransgroup.com, +91 226 739 999,N1,Area,S...
V-Trans,http://www.vtransgroup.com, +91 226 739 999,N1,Delivery,A...
V-Trans,http://www.vtransgroup.com, +91 226 739 999,N1,Franchise,H...
V-Trans,http://www.vtransgroup.com, +91 226 739 999,N1,Cluster,G...
V-Trans,http://www.vtransgroup.com, +91 226 739 999,N1,IT,C...
V-Trans,http://www.vtransgroup.com, +91 226 739 999,N1,Brand Marketing,H...
V-Trans,http://www.vtransgroup.com, +91 226 739 999,N1,Integrated Sales,V...
V-Trans,http://www.vtransgroup.com, +91 226 739 999,N1,Solution Design,Y...
V-Trans,http://www.vtransgroup.com, +91 226 739 999,N1,Regional,P...
V-Trans,http://www.vtransgroup.com, +91 226 739 999,N1,Traffic,V...
V-Trans,http://www.vtransgroup.com, +91 226 739 999,N1,HR,S...
V-Trans,http://www.vtransgroup.com, +91 226 739 999,N1,Strategy & Projects,R...
V-Trans,http://www.vtransgroup.com, +91 226 739 999,N2,Customer Service,P...
V-me,http://www.vmetv.com, +1 212 273 4800,Board,CEO,Carmen DiRienzo
V-me,http://www.vmetv.com, +1 212 273 4800,Board,Chairman of the Board,Mario Baeza
V-me,http://www.vmetv.com, +1 212 273 4800,Board,Director,William Baker
V-me,http://www.vmetv.com, +1 212 273 4800,Board,Director,Robert Freinberg
V-me,http://www.vmetv.com, +1 212 273 4800,Board,Director,Carlos Gill
V-me,http://www.vmetv.com, +1 212 273 4800,Board,Director,Terry Jones
V-me,http://www.vmetv.com, +1 212 273 4800,Board,Director,Manuel Polanco Moreno
V-me,http://www.vmetv.com, +1 212 273 4800,N1,Accounting & Admin,E...
V-me,http://www.vmetv.com, +1 212 273 4800,N1,Post Production,V...
V-me,http://www.vmetv.com, +1 212 273 4800,N1,Marketing,R...
V-me,http://www.vmetv.com, +1 212 273 4800,N1,Programming & Operations,D...
V-me,http://www.vmetv.com, +1 212 273 4800,N2,Marketing,L...
V-me,http://www.vmetv.com, +1 212 273 4800,N2,Traffic,C...
V-me,http://www.vmetv.com, +1 212 273 4800,N2,Programming Operations,A...
V-Wave,http://www.vwavemedical.com, +972 773 168 550,Board,CEO,Neal Eigler
V-Wave,http://www.vwavemedical.com, +972 773 168 550,Board,Chairman of the Board,Frank Litvack
V-Wave,http://www.vwavemedical.com, +972 773 168 550,Board,Director,Andrew ElBardissi
V-Wave,http://www.vwavemedical.com, +972 773 168 550,Board,Director,Jacques Essinger
V-Wave,http://www.vwavemedical.com, +972 773 168 550,Board,Director,Tomer Kariv
V-Wave,http://www.vwavemedical.com, +972 773 168 550,Board,Director,Alon Maor
V-Wave,http://www.vwavemedical.com, +972 773 168 550,Board,Director,Es Sabar
V-Wave,http://www.vwavemedical.com, +972 773 168 550,N1,CFO,Bill Hughes
V-Wave,http://www.vwavemedical.com, +972 773 168 550,N1,President,E...
V-Wave,http://www.vwavemedical.com, +972 773 168 550,N1,Medical,W...
V-Wave,http://www.vwavemedical.com, +972 773 168 550,N1,Executive Vice President,M...
V-Wave,http://www.vwavemedical.com, +972 773 168 550,N1,Operations,W...
V-Wave,http://www.vwavemedical.com, +972 773 168 550,N1,Quality Assurance,G...
V-Wave,http://www.vwavemedical.com, +972 773 168 550,N1,R&D,L...
V-Wave,http://www.vwavemedical.com, +972 773 168 550,N1,Regulation,L...
V-Wave,http://www.vwavemedical.com, +972 773 168 550,N2,Finance,D...
V-Wave,http://www.vwavemedical.com, +972 773 168 550,N2,Clinical Affairs,D...
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,Board,CEO & Director,René Kofod-Olsen
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,Board,Chairman of the Board,Graham Westgarth
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,Board,Director,James Brocklebank
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,Board,Director,John Deahl
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,Board,Director,Peter James
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,Board,Director,Paddy Rodgers
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,Board,Director,Jabine Van Der Meijs
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,N1,CFO & Director,Petter Traaholt
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,N1,Marine Services,E...
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,N1,Ship Management,B...
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,N1,HR,G...
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,N1,CIO,S...
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,N1,Legal & Secretary,N...
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,N1,Sales,R...
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,N2,Financial Planning & Analysis,S...
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,N2,Tax,F...
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,N2,Sales Marine Services,A...
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,N2,Training Services,S...
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,N2,COO Ship Management,A...
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,N2,Sustainability & Decarbonisa...,M...
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,N2,Strategy & Corporate Develop...,M...
V.Group,http://www.vgrouplimited.com, +44 141 305 1290,N2,Sales Asia,N...
Vālenz Health,http://www.valenzhealth.com, +1 877 601 2200,Board,CEO,Rob Gelb
Vālenz Health,http://www.valenzhealth.com, +1 877 601 2200,Board,Chairman of the Board,Josh Carder
Vālenz Health,http://www.valenzhealth.com, +1 877 601 2200,N1,CFO,Christina Morrison
Vālenz Health,http://www.valenzhealth.com, +1 877 601 2200,N1,COO,Chris Harber
Vālenz Health,http://www.valenzhealth.com, +1 877 601 2200,N1,CIO,S...
Vālenz Health,http://www.valenzhealth.com, +1 877 601 2200,N1,CIO,E...
Vālenz Health,http://www.valenzhealth.com, +1 877 601 2200,N1,HR,M...
Vālenz Health,http://www.valenzhealth.com, +1 877 601 2200,N1,Product,M...
Vālenz Health,http://www.valenzhealth.com, +1 877 601 2200,N1,Revenue,N...
