company_name,url,number,category,position,person_name
W Capital Partners,http://www.wcapgroup.com, +1 212 561 5240,Board,Managing Partner,David Wachter
W Capital Partners,http://www.wcapgroup.com, +1 212 561 5240,N1,CFO,John Lambrech
W Capital Partners,http://www.wcapgroup.com, +1 212 561 5240,N1,Administration,K...
W Capital Partners,http://www.wcapgroup.com, +1 212 561 5240,N1,Venture Capital,R...
W Capital Partners,http://www.wcapgroup.com, +1 212 561 5240,N1,Investment Banking,S...
W Capital Partners,http://www.wcapgroup.com, +1 212 561 5240,N1,Liquidity Solutions ,T...
W Capital Partners,http://www.wcapgroup.com, +1 212 561 5240,N1,Private Equity,B...
W Capital Partners,http://www.wcapgroup.com, +1 212 561 5240,N1,New Transaction,K...
W Capital Partners,http://www.wcapgroup.com, +1 212 561 5240,N1,Vice President,C...
W Capital Partners,http://www.wcapgroup.com, +1 212 561 5240,N2,Office & Administration,L...
W Kohlhammer,http://www.kohlhammer.de, +49 7117 8630,Board,Managing Director,Leopold Freiherr von und...
W Kohlhammer,http://www.kohlhammer.de, +49 7117 8630,N1,IT,D...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,Board,CEO,Tracy Krohn
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,Board,Director,Virginia Boulet
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,Board,Director,John Buchanan
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,Board,Director,Nancy Chang
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,Board,Director,Daniel Conwill
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,Board,Director,Frank Stanley
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N1,CFO,Sameer Parasnis
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N1,COO,William Williford
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N1,Legal & Secretary,G...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N1,Marketing,A...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N1,CIO,A...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N1,BusDev,H...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N1,Land,F...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N1,Midstream,J...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N1,HR,K...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N2,Finance,B...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N2,Accounting,T...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N2,Treasury,T...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N2,Infrastructure Operations,B...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N2,Reservoir Engineering,M...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N2,HSE & Regulatory,J...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N2,Marketing,T...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N2,Marketing,K...
W&T Offshore,http://wtoffshore.com, +1 713 626 8525,N2,Marketing,J...
