company_name,url,number,category,position,person_name
X,http://www.twitter.com, +1 415 222 9670,Board,CEO,Linda Yaccarino
X,http://www.twitter.com, +1 415 222 9670,Board,Chairman & CTO,Elon Musk
X,http://www.twitter.com, +1 415 222 9670,N1,Americas,M...
X,http://www.twitter.com, +1 415 222 9670,N1,Marketing,A...
X,http://www.twitter.com, +1 415 222 9670,N1,Technology & Automotive,R...
X,http://www.twitter.com, +1 415 222 9670,N1,France & DACH,L...
X,http://www.twitter.com, +1 415 222 9670,N1,Enterprise & Government,S...
X,http://www.twitter.com, +1 415 222 9670,N1,HR & Talent,W...
X,http://www.twitter.com, +1 415 222 9670,N1,HR Experience,L...
X,http://www.twitter.com, +1 415 222 9670,N1,Tax & Treasury,T...
X,http://www.twitter.com, +1 415 222 9670,N1,Product,K...
X,http://www.twitter.com, +1 415 222 9670,N2,Brazil,G...
X,http://www.twitter.com, +1 415 222 9670,N2,Canada & LATAM,M...
X,http://www.twitter.com, +1 415 222 9670,N2,Brand Strategy & Creative,J...
X,http://www.twitter.com, +1 415 222 9670,N2,Media & Entertainment,N...
X,http://www.twitter.com, +1 415 222 9670,N2,Engineering,H...
X,http://www.twitter.com, +1 415 222 9670,N2,Product Management,P...
X,http://www.twitter.com, +1 415 222 9670,N2,Content Partnerships,R...
X,http://www.twitter.com, +1 415 222 9670,N2,Strategic Partnerships,A...
X,http://www.twitter.com, +1 415 222 9670,N2,Advertising Solutions,Y...
X,http://www.twitter.com, +1 415 222 9670,N2,Content Talent & Brand,B...
X,http://www.twitter.com, +1 415 222 9670,N2,Brand Strategy,A...
X,http://www.twitter.com, +1 415 222 9670,N2,Industry,E...
X,http://www.twitter.com, +1 415 222 9670,N2,Retail & Luxury,S...
X,http://www.twitter.com, +1 415 222 9670,N2,Revenue Operations,R...
X,http://x.company, +1 650 253 0000,Board,CEO,Astro Teller
X,http://x.company, +1 650 253 0000,N1,CFO & COO,Helen Riley
X,http://x.company, +1 650 253 0000,N1,Science,D...
X,http://x.company, +1 650 253 0000,N1,CTO,B...
X,http://x.company, +1 650 253 0000,N1,Communications,L...
X,http://x.company, +1 650 253 0000,N1,HR Operations,J...
X,http://x.company, +1 650 253 0000,N1,Tidal,N...
X,http://x.company, +1 650 253 0000,N1,Electric Grid,P...
X,http://x.company, +1 650 253 0000,N1,BusDev,D...
X,http://x.company, +1 650 253 0000,N2,Control,B...
X,http://x.company, +1 650 253 0000,N2,Strategy,A...
X,http://x.company, +1 650 253 0000,N2,Early Stage Portfolio,S...
X,http://x.company, +1 650 253 0000,N2,Project Taara,M...
X,http://x.company, +1 650 253 0000,N2,AI Photonics Design,P...
