company_name,url,number,category,position,person_name
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,Board,CEO,Garry Tan
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Chief of Staff,R...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Partner,G...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Partner,T...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Partner,P...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Partner,N...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Partner,A...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Partner,B...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Partner,D...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Partner,P...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Partner,S...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Alumni Relations,R...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Data,E...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,HR & Workplace,R...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Infrastructure & Security,M...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Public Policy,L...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Interim Media,S...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Batch & Group Partner,M...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Finance,K...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Investments & Group Partner,D...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Knowledge,H...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Legal,C...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Partnerships,J...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N1,Software,J...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N2,Principal,A...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N2,Payroll & Benefits,T...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N2,Batch,E...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N2,Events Batch,L...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N2,Tax,S...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N2,Fund Control,A...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N2,Control,C...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N2,Finance,V...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N2,Legal,G...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N2,Legal,B...
Y Combinator,http://www.ycombinator.com, +1 617 576 0605,N2,Legal,A...
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,Board,General Manager,Kenji Hall
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,N1,COO Hospitality,David Kopasz
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,N1,Food & Beverage,C...
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,N1,Accounting & Finance,S...
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,N1,Culinary Operations,O...
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,N1,Entertainment,D...
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,N1,Property Marketing,K...
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,N1,Slot Operations,R...
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,N1,Casino Construction & Develo...,B...
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,N1,Strategic Marketing,C...
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,N1,Table Games,S...
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,N2,Catering,G...
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,N2,Food & Beverage,R...
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,N2,Slot Performance,A...
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,N2,Casino Design & Construction,P...
Yaamava' Resort and Casino,http://yaamava.com, +1 800 359 2464,N2,Database Marketing,P...
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,Board,CEO & Director,Michael Rossi
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,Board,Director,Gerard Ber
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,Board,Director,David Gill
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,Board,Director,Laura Hamill
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,Board,Director,James Healy
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,Board,Director,Mary Tagliaferri
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,Board,Director,Ashutosh Tyagi
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,Board,Director,Johan Wedell-Wedellsborg
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,N1,CFO,Peter Pfreundschuh
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,N1,COO,Joris Wilms
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,N1,Development,N...
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,N1,Commercial,S...
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,N1,Medical,V...
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,N1,Technical Operations,T...
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,N1,Business & Vice Chairman,T...
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,N2,IR,C...
Y-mAbs Therapeutics,http://www.ymabs.com, +1 646 885 8505,N2,Finance & Control,R...
Y Media Labs,http://ymedialabs.com, +1 415 839 8584,Board,CEO,Ashish Toshniwal
Y Media Labs,http://ymedialabs.com, +1 415 839 8584,N1,CFO,Hamish MacPhail
Y Media Labs,http://ymedialabs.com, +1 415 839 8584,N1,President & CTO,S...
Y Media Labs,http://ymedialabs.com, +1 415 839 8584,N1,HR & Culture,M...
Y Media Labs,http://ymedialabs.com, +1 415 839 8584,N1,Program,C...
Y Media Labs,http://ymedialabs.com, +1 415 839 8584,N1,Strategy,K...
Y Media Labs,http://ymedialabs.com, +1 415 839 8584,N1,Engineering,P...
Y Media Labs,http://ymedialabs.com, +1 415 839 8584,N1,Growth & Brand,S...
Y's table,http://www.ystable.co.jp, +81 354 120 065,Board,Chairman & CEO,Seizaburo Kanayama
Y's table,http://www.ystable.co.jp, +81 354 120 065,Board,Vice Chairman of the Board,Salvatore Shigeta
Y's table,http://www.ystable.co.jp, +81 354 120 065,Board,Director,Tetsujiro Hayashi
Y's table,http://www.ystable.co.jp, +81 354 120 065,Board,Director,Yusuke Miki
Y's table,http://www.ystable.co.jp, +81 354 120 065,Board,Director,Keinosuke Ohkawa
Y's table,http://www.ystable.co.jp, +81 354 120 065,Board,Director,Yasushi Shoji
Y's table,http://www.ystable.co.jp, +81 354 120 065,Board,Director,Shigeru Yoshida
Y's table,http://www.ystable.co.jp, +81 354 120 065,N1,President,M...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N1,Managing Director,T...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N1,Senior Managing Director,T...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N1,Managing Director,A...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N2,Executive Officer,Y...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N2,Executive Officer,D...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N2,Executive Officer,H...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N2,Executive Officer,D...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N2,Executive Officer,K...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N2,Executive Officer,K...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N2,Executive Officer,S...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N2,Executive Officer,M...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N2,Executive Officer,N...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N2,Senior Executive Officer,I...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N2,Senior Executive Officer,S...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N2,Senior Executive Officer,E...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N2,Senior Executive Officer,Y...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N2,Senior Executive Officer,T...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N2,Senior Executive Officer,J...
Y's table,http://www.ystable.co.jp, +81 354 120 065,N2,Senior Executive Officer,M...
Yadea,http://yadea.com, +86 510 8810 0267,Board,CEO & Vice Chairman,Jinghong Qian
Yadea,http://yadea.com, +86 510 8810 0267,Board,Chairman of the Board,Jinggui Dong
Yadea,http://yadea.com, +86 510 8810 0267,Board,Director,Mingyu Chen
Yadea,http://yadea.com, +86 510 8810 0267,Board,Director,Qin Liang
Yadea,http://yadea.com, +86 510 8810 0267,Board,Director,Chenguang Ma
