company_name,url,number,category,position,person_name
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,Board,CEO,James Zenni
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,Board,Director,Brad Oates
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,Board,Director,Katherine Zanotti
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,N1,Director & IT,R...
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,N1,Communications,N...
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,N1,Legal & Compliance,E...
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,N1,C-Suite Advisory,G...
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,N1,Insurance & Risk,P...
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,N1,Real Estate & Infrastructure,O...
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,N1,Talent,J...
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,N1,Credit,S...
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,N1,Supply Chain & Logistics,J...
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,N1,Development,S...
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,N1,Accounting & Finance,B...
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,N1,Private Equity,B...
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,N1,Private Equity,R...
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,N2,Credit,C...
Z Capital Group,http://www.zcapgroup.net, +1 212 595 8400,N2,Control,M...
Z Energy,http://www.z.co.nz, +64 800 474 355,Board,CEO & Director,Lindis Jones
Z Energy,http://www.z.co.nz, +64 800 474 355,Board,Director,Blair O'Keeffe
Z Energy,http://www.z.co.nz, +64 800 474 355,N1,CFO,Nicola Law
Z Energy,http://www.z.co.nz, +64 800 474 355,N1,Digital,M...
Z Energy,http://www.z.co.nz, +64 800 474 355,N1,Legal Z Energy & Climate Ch...,D...
Z Energy,http://www.z.co.nz, +64 800 474 355,N1,Customer,A...
Z Energy,http://www.z.co.nz, +64 800 474 355,N1,Strategy & Risk,N...
Z Energy,http://www.z.co.nz, +64 800 474 355,N1,Supply,J...
Z Energy,http://www.z.co.nz, +64 800 474 355,N1,HR & Culture,H...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Financial Reporting,S...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Business Analyst & Scrum,A...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Finance Projects,S...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Performance & Value,K...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Ventures,R...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Data & Analytics,J...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Data Solutions,K...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Digital Delivery,V...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Digital Low Carbon Futures,A...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Information Security,M...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Infrastructure,J...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Site Systems,C...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Software Development,A...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Sustainability & Community,A...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Commercial,A...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Commercial Industries,M...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Communications,H...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Data Insights,M...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Marketing,D...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Pricing,L...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Product & Design,B...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,SMEs,D...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Testing,E...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Z Retail,T...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Electric Vehicles Charging,K...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Electricity,C...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Food & Drinks,N...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Low Carbon Innovation,P...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Strategic Alignment,R...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Supply Chain,E...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Organisational Development,D...
Z Energy,http://www.z.co.nz, +64 800 474 355,N2,Safety Wellbeing & Risk,A...
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,Board,CEO,Jack Wade
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,N1,President,J...
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,N1,COO,John Howell
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,N1,Engineering,M...
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,N1,Sales,F...
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,N1,Marketing & Product,K...
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,N1,Regulatory Affairs & Quality,K...
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,N2,Purchasing & Planning,D...
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,N2,Operations,M...
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,N2,Program,T...
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,N2,BusDev,M...
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,N2,Engineering Project,I...
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,N2,Engineering Project,D...
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,N2,Engineering Test,L...
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,N2,Customer Service,J...
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,N2,Sales,J...
Z Microsystems,http://www.zmicro.com, +1 858 831 7000,N2,Sales Northeast Region,T...
Z Holdings,http://www.z-holdings.co.jp, +81 364 406 000,Board,CEO Marketing & Sales,Takeshi Idezawa
Z Holdings,http://www.z-holdings.co.jp, +81 364 406 000,Board,Chairman of the Board,Kentaro Kawabe
Z Holdings,http://www.z-holdings.co.jp, +81 364 406 000,Board,Director,Maiko Hasumi
Z Holdings,http://www.z-holdings.co.jp, +81 364 406 000,Board,Director,Rehito Hatoyama
Z Holdings,http://www.z-holdings.co.jp, +81 364 406 000,Board,Director,Tadashi Kunihiro
Z Holdings,http://www.z-holdings.co.jp, +81 364 406 000,Board,Director,Yoshio Usumi
Z Holdings,http://www.z-holdings.co.jp, +81 364 406 000,N1,CFO,Ryosuke Sakaue
Z Holdings,http://www.z-holdings.co.jp, +81 364 406 000,N1,Synergy E-Commerce,T...
Z Holdings,http://www.z-holdings.co.jp, +81 364 406 000,N1,Strategy & Director,T...
Z Holdings,http://www.z-holdings.co.jp, +81 364 406 000,N1,Entertainment,J...
Z Holdings,http://www.z-holdings.co.jp, +81 364 406 000,N1,Product & Director,J...
Z Holdings,http://www.z-holdings.co.jp, +81 364 406 000,N1,Co-CTO,C...
Z Holdings,http://www.z-holdings.co.jp, +81 364 406 000,N1,Co-CTO,E...
Z Holdings,http://www.z-holdings.co.jp, +81 364 406 000,N2,Investment,J...
Z Holdings,http://www.z-holdings.co.jp, +81 364 406 000,N2,Data & Technology Group,K...
Z Gallerie,http://www.zgallerie.com, +1 310 630 1200,Board,CEO,Joseph Zeiden
Z Gallerie,http://www.zgallerie.com, +1 310 630 1200,N1,General Manager,E...
Z Gallerie,http://www.zgallerie.com, +1 310 630 1200,N1,Creative,S...
Z Gallerie,http://www.zgallerie.com, +1 310 630 1200,N1,Planning & eCommerce,S...
Západoslovenská Distribučná,http://www.zsdis.sk, +420 850 333 999,Board,CEO & Chairman,Tomáš Turek
Západoslovenská Distribučná,http://www.zsdis.sk, +420 850 333 999,Board,Chairman of the Board,Radoslav Haluška
Západoslovenská Distribučná,http://www.zsdis.sk, +420 850 333 999,Board,Vice Chairman of the Board,Jana Somorovská
Západoslovenská Distribučná,http://www.zsdis.sk, +420 850 333 999,N1,Control,J...
Západoslovenská Distribučná,http://www.zsdis.sk, +420 850 333 999,N1,IT Projects & Architecture,J...
Západoslovenská Distribučná,http://www.zsdis.sk, +420 850 333 999,N1,Integrated IT,M...
Západoslovenská Distribučná,http://www.zsdis.sk, +420 850 333 999,N1,Security,P...
Západoslovenská Distribučná,http://www.zsdis.sk, +420 850 333 999,N1,Strategy & Architecture,M...
Západoslovenská Distribučná,http://www.zsdis.sk, +420 850 333 999,N1,General Manager,M...
Západoslovenská Distribučná,http://www.zsdis.sk, +420 850 333 999,N1,General Manager,M...
Z Modular,http://www.z-modular.com, +1 312 275 1600,Board,President,Mickey McNamara
Z Modular,http://www.z-modular.com, +1 312 275 1600,N1,Design,P...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N1,Financial Planning & Analysis,K...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N1,Projects,P...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N1,HR,T...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N1,Logistics,D...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N1,Plant,T...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N1,Procurement,S...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N1,Design,Y...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N1,Production,L...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N1,Development & Field Services,W...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N1,Engineering R&D,M...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N1,Yard & Inventory,A...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N2,Construction Project,R...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N2,Project,T...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N2,Health & Safety,T...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N2,BusDev,C...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N2,National Sales,T...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N2,Manufacturing & Field Servic...,J...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N2,Field Services,B...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N2,Contracts & Reporting,J...
Z Modular,http://www.z-modular.com, +1 312 275 1600,N2,R&D,H...
Zühlke Austria,http://www.zuehlke.com/en/locations/austria, +43 120 511 6800,Board,CEO,Nikolaus Kawka
